id,vip_level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg
1,8,LEVEL_GE,10,,ADD_RESOURCE,DIAMOND,888
2,8,LEVEL_GE,20,,ADD_RESOURCE,DIAMOND,888
3,8,LEVEL_GE,30,,ADD_RESOURCE,DIAMOND,888
4,8,LEVEL_GE,40,,ADD_RESOURCE,DIAMOND,888
5,8,LEVEL_GE,50,,ADD_RESOURCE,DIAMOND,888
6,8,LEVEL_GE,60,,ADD_RESOURCE,DIAMOND,888
7,8,LEVEL_GE,70,,ADD_RESOURCE,DIAMOND,888
8,8,LEVEL_GE,80,,ADD_RESOURCE,DIAMOND,1888
9,8,LEVEL_GE,90,,ADD_RESOURCE,DIAMOND,1888
10,8,LEVEL_GE,100,,ADD_RESOURCE,DIAMOND,2888
11,8,LEVEL_GE,110,,ADD_RESOURCE,DIAMOND,2888
12,8,LEVEL_GE,120,,ADD_RESOURCE,DIAMOND,8888
