id,name,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest,quests.auto_quest,quests.event_quest
1,默认,850001,800001,850002,800002,850003,800003,850004,800004,850005,800005,850006,800006,850007,800007,850008,800008,850009,800009,850010,800010,850011,800011
2,次周4,850101,800101,850102,800102,850103,800103,850104,800104,,,,,,,,,,,,,,
3,次周5,850201,800201,850202,800202,850203,800203,850204,800204,,,,,,,,,,,,,,
4,次周6,850301,800301,850302,800302,850303,800303,850304,800304,,,,,,,,,,,,,,
5,次周7,850401,800401,850402,800402,850403,800403,850404,800404,,,,,,,,,,,,,,
6,三周1-3,850501,800501,850502,800502,850503,800503,850504,800504,850505,800505,850506,800506,850507,800507,,,,,,,,
7,三周4,850601,800601,850602,800602,850603,800603,850604,800604,,,,,,,,,,,,,,
8,三周5,850701,800701,850702,800702,850703,800703,850704,800704,,,,,,,,,,,,,,
9,三周6,850801,800801,850802,800802,850803,800803,850804,800804,,,,,,,,,,,,,,
10,三周7,850901,800901,850902,800902,850903,800903,850904,800904,,,,,,,,,,,,,,
11,四周4,851001,801001,851002,801002,851003,801003,851004,801004,,,,,,,,,,,,,,
12,四周5,851101,801101,851102,801102,851103,801103,851104,801104,,,,,,,,,,,,,,
13,四周6,851201,801201,851202,801202,851203,801203,851204,801204,,,,,,,,,,,,,,
14,四周7,851301,801301,851302,801302,851303,801303,851304,801304,,,,,,,,,,,,,,
