id,vip_level,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg
1,4,LEVEL_GE,10,,ADD_RESOURCE,DIAMOND,188
2,4,LEVEL_GE,20,,ADD_RESOURCE,DIAMOND,188
3,4,LEVEL_GE,30,,ADD_RESOURCE,DIAMOND,288
4,4,LEVEL_GE,40,,ADD_RESOURCE,DIAMOND,288
5,4,LEVEL_GE,50,,ADD_RESOURCE,DIAMOND,388
6,4,LEVEL_GE,60,,ADD_RESOURCE,DIAMOND,388
7,4,LEVEL_GE,70,,ADD_RESOURCE,DIAMOND,488
8,4,LEVEL_GE,80,,ADD_RESOURCE,DIAMOND,488
9,4,LEVEL_GE,90,,ADD_RESOURCE,DIAMOND,588
10,4,LEVEL_GE,100,,ADD_RESOURCE,DIAMOND,688
11,4,LEVEL_GE,110,,ADD_RESOURCE,DIAMOND,988
