id,on_add.content,on_add.expression,on_remove.content,on_remove.expression,on_skillin.content,on_skillin.expression,on_skillout.content,on_skillout.expression,on_damagein.content,on_damagein.expression,on_damageout.content,on_damageout.expression,on_healin.content,on_healin.expression,on_healout.content,on_healout.expression,on_attackin.content,on_attackin.expression,on_buffin.content,on_buffin.expression,on_turn.content,on_turn.expression,on_turn_end.content,on_turn_end.expression,on_killout.content,on_killout.expression,on_killin.content,on_killin.expression,on_round.content,on_round.expression,on_roundend.content,on_roundend.expression,on_boomin.content,on_boomin.expression,on_boomout.content,on_boomout.expression,on_reviveout.content,on_reviveout.expression,on_revivein.content,on_revivein.expression,on_dodgein.content,on_dodgein.expression,on_dodgeout.content,on_dodgeout.expression
1,,,,,,,,,,,,,,,,,,,,,叱云南！我劝你们趁早收手。,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,哼！只要我在，就不允许你们胡作非为！,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,殿下莫怕，我来助您！,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,高阳王殿下，您何必要插手此事呢？,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,既然执迷不悟，那可别怪我不留情面！,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,我、我必须要保护主人！,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,还执迷不悟，来人！把他们全抓起来！,,,,,,,,,,,,,,,,,,,,,,,
7000101,,,,,,,,,你再打一下试试？打狗不看主人的吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000201,,,,,,,,,,,,,,,,,,,,,你叫破喉咙了也没人救你！,,,,,,,,,,,,,,,,,,,,,,,
7000301,,,,,,,,,,,,,,,,,,,,,来，吃我一招。,,,,,,,,,,,,,,,,,,,,,,,
7000401,,,,,,,,,,,,,,,,,,,,,我可从来没失过手。,,,,,,,,,,,,,,,,,,,,,,,
7000501,,,,,,,,,,,,,,,,,,,,,在宫里，我也算是排的上号的美男子了吧？,,,,,,,,,,,,,,,,,,,,,,,
7000601,,,,,,,,,,,,,,,,,,,,,哎呦哎，惹了我，你可摊上大事了！,,,,,,,,,,,,,,,,,,,,,,,
7000701,,,,,,,,,,,,,,,,,,,,,你就省省吧，你能美的过我？,,,,,,,,,,,,,,,,,,,,,,,
7000801,,,,,,,,,,,,,,,,,,,,,让你嘴贱，掌嘴！,,,,,,,,,,,,,,,,,,,,,,,
7000901,,,,,,,,,,,,,,,,,,,,,没人可以挡我。,,,,,,,,,,,,,,,,,,,,,,,
7001001,,,,,,,,,,,,,,,,,,,,,你会后悔的。,,,,,,,,,,,,,,,,,,,,,,,
7001101,,,,,,,,,,,,,,,,,,,,,只能教训你一下了。,,,,,,,,,,,,,,,,,,,,,,,
7001201,,,,,,,,,,,,,,,,,,,,,争斗……究竟有什么意义？,,,,,,,,,,,,,,,,,,,,,,,
7001301,,,,,,,,,,,,,,,,,,,,,受死吧！,,,,,,,,,,,,,,,,,,,,,,,
7001401,,,,,,,,,,,,,,,,,,,,,常茹不会手下留情。,,,,,,,,,,,,,,,,,,,,,,,
7001501,,,,,,,,,,,,,,,,,,,,,敏德会保护你的。,,,,,,,,,,,,,,,,,,,,,,,
7001601,,,,,,,,,,,,,,,,,,,,,竟然要我出手。,,,,,,,,,,,,,,,,,,,,,,,
7001701,,,,,,,,,,,,,,,,,,,,,敢挡在本公主面前？,,,,,,,,,,,,,,,,,,,,,,,
7001801,,,,,,,,,,,,,,,,,,,,,无理取闹。,,,,,,,,,,,,,,,,,,,,,,,
7001901,,,,,,,,,,,,,,,,,,,,,真是一群可怜虫。,,,,,,,,,,,,,,,,,,,,,,,
7002001,,,,,,,,,,,,,,,,,,,,,想试试小黑的吻么？,,,,,,,,,,,,,,,,,,,,,,,
7002101,,,,,,,,,,,,,,,,,,,,,天命不可违！,,,,,,,,,,,,,,,,,,,,,,,
