id,visit_plot.plot,visit_plot.plot,visit_plot.plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.head_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.chest_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.legs_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.all_plot,visit_plot.plot,visit_plot.thank_plot,visit_plot.thank_plot,visit_plot.head_plot,visit_plot.chest_plot,visit_plot.legs_plot,visit_plot.all_plot,visit_scene,visit_scene,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot,star_plot.star,star_plot.plot
101,310101,310102,310103,310104,310105,310106,310109,310101,310102,310103,310110,310111,,,,,,,310114,310115,310116,310117,310107,310108,310118,310119,310120,310121,310122,,310112,310113,,,,,后花园,后花园,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
102,310201,310202,310203,310204,310205,310206,310201,310202,310203,310207,,,310208,310209,310210,310211,,,310214,310215,310216,310217,,,310218,310219,310220,310221,310222,,310212,310213,,,,,皇宫白昼,皇宫白昼,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
103,310301,310302,310303,310304,310305,310306,310301,310302,310303,310307,,,310308,310309,310310,310311,,,310314,310315,310316,310317,,,310318,310319,310320,310321,310322,,310312,310313,,,,,皇宫子夜,皇宫子夜,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
104,310401,310402,310403,310404,310405,310406,310401,310402,310403,310407,,,310408,310409,310410,310411,,,310414,310415,310416,310417,,,310418,310419,310420,310421,310422,,310412,310413,,,,,议事厅,议事厅,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
105,310501,310502,310503,310504,310505,310506,310501,310502,310503,310507,310508,310509,,,,,,,310510,310511,310514,310515,310516,310517,310518,310519,310520,310521,310522,,310512,310513,,,,,观雨棋院,观雨棋院,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
106,310601,310602,310603,310604,310605,310606,310601,310602,310603,310607,,,310608,310609,310610,310611,,,310614,310615,310616,310617,,,310618,310619,310620,310621,310622,,310612,310613,,,,,后花园,后花园,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
107,310701,310702,310703,310704,310705,310706,310701,310702,310703,310707,,,310708,310709,310710,310711,,,310714,310715,310716,310717,,,310718,310719,310720,310721,310722,,310712,310713,,,,,白日李府,白日李府,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
108,310801,310802,310803,310804,310805,310806,310801,310802,310803,310807,,,310808,310809,310810,310811,,,310814,310815,310816,310817,,,310818,310819,310820,310821,310822,,310812,310813,,,,,后花园,后花园,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
109,310901,310902,310903,310904,310905,310906,310901,310902,310903,310907,310908,310909,310910,310911,310914,310915,310916,310917,,,,,,,310918,310919,310920,310921,310922,,310912,310913,,,,,月夜李府,月夜李府,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
110,311001,311002,311003,311004,311005,311006,311001,311002,311003,311007,,,311008,311009,311010,311011,,,311014,311015,311016,311017,,,311018,311019,311020,311021,311022,,311012,311013,,,,,议事厅,议事厅,1,310101,2,310101,3,310101,4,310101,5,310101,6,310101
201,320101,320102,320107,320103,320104,,320101,320102,320105,,,,320106,320107,320109,,,,,,,,,,320110,320111,320112,,,,320108,,,,,,书房,书房,,,,,,,,,,,,
202,320201,320202,320207,320203,320204,,320201,320202,320205,,,,,,,,,,320206,320207,320209,,,,320210,320211,320212,,,,320208,,,,,,戏楼,戏楼,,,,,,,,,,,,
203,320301,320302,320307,320303,320304,,320301,320302,320305,,,,,,,,,,320306,320307,320309,,,,320310,320311,320312,,,,320308,,,,,,书房,书房,,,,,,,,,,,,
