id,common_effects,common_effects,common_effects,common_effects,common_effects,common_effects,battle_common_effects,battle_hit_effects,hanxuan_effects.intimacy_star,hanxuan_effects.sound_effects,hanxuan_effects.intimacy_star,hanxuan_effects.sound_effects,xieli_effects.intimacy_star,xieli_effects.sound_effects,xieli_effects.intimacy_star,xieli_effects.sound_effects,tiaoxi_effects.intimacy_star,tiaoxi_effects.sound_effects,tiaoxi_effects.intimacy_star,tiaoxi_effects.sound_effects
1,soundeffects/nvzhu1,soundeffects/nvzhu2,soundeffects/nvzhu3,soundeffects/nvzhu4,soundeffects/nvzhu5,soundeffects/nvzhu6,,,,,,,,,,,,,,
2,soundeffects/nanzhu1,soundeffects/nanzhu2,soundeffects/nanzhu3,soundeffects/nanzhu4,soundeffects/nanzhu5,soundeffects/nanzhu6,,,,,,,,,,,,,,
101,soundeffects/liminde1,soundeffects/liminde2,soundeffects/liminde3,soundeffects/liminde4,soundeffects/liminde5,soundeffects/liminde6,,,,,,,,,,,,,,
102,soundeffects/tuobajun1,soundeffects/tuobajun2,soundeffects/tuobajun3,soundeffects/tuobajun4,soundeffects/tuobajun5,soundeffects/tuobajun6,,,,,,,,,,,,,,
103,soundeffects/tuobayu1,soundeffects/tuobayu2,soundeffects/tuobayu3,soundeffects/tuobayu4,soundeffects/tuobayu5,soundeffects/tuobayu6,,,,,,,,,,,,,,
104,soundeffects/chiyunyan1,soundeffects/chiyunyan2,soundeffects/chiyunyan3,soundeffects/chiyunyan4,soundeffects/chiyunyan5,soundeffects/chiyunyan6,,,,,,,,,,,,,,
105,soundeffects/tuobajin1,soundeffects/tuobajin2,soundeffects/tuobajin3,soundeffects/tuobajin4,soundeffects/tuobajin5,soundeffects/tuobajin6,,,,,,,,,,,,,,
106,soundeffects/lichangle1,soundeffects/lichangle2,soundeffects/lichangle3,soundeffects/lichangle4,soundeffects/lichangle5,soundeffects/lichangle6,,,,,,,,,,,,,,
107,soundeffects/lichangru1,soundeffects/lichangru2,soundeffects/lichangru3,soundeffects/lichangru4,soundeffects/lichangru5,soundeffects/lichangru6,,,,,,,,,,,,,,
108,soundeffects/tuobadi1,soundeffects/tuobadi2,soundeffects/tuobadi3,soundeffects/tuobadi4,soundeffects/tuobadi5,soundeffects/tuobadi6,,,,,,,,,,,,,,
109,soundeffects/liweiyang1,soundeffects/liweiyang2,soundeffects/liweiyang3,soundeffects/liweiyang4,soundeffects/liweiyang5,soundeffects/liweiyang6,,,,,,,,,,,,,,
110,soundeffects/chiyunnan1,soundeffects/chiyunnan2,soundeffects/chiyunnan3,soundeffects/chiyunnan4,soundeffects/chiyunnan5,soundeffects/chiyunnan6,,,,,,,,,,,,,,
201,soundeffects/tuobazhi1,soundeffects/tuobazhi2,soundeffects/tuobazhi3,soundeffects/tuobazhi4,,,,,,,,,,,,,,,,
202,soundeffects/tuobahan1,soundeffects/tuobahan2,soundeffects/tuobahan3,soundeffects/tuobahan4,,,,,,,,,,,,,,,,
203,soundeffects/tuobakang1,soundeffects/tuobakang2,soundeffects/tuobakang3,soundeffects/tuobakang4,,,,,,,,,,,,,,,,
204,soundeffects/lichangxi1,soundeffects/lichangxi2,soundeffects/lichangxi3,soundeffects/lichangxi4,,,,,,,,,,,,,,,,
205,soundeffects/lichangyue1,soundeffects/lichangyue2,soundeffects/lichangyue3,soundeffects/lichangyue4,,,,,,,,,,,,,,,,
206,soundeffects/chiyunrou1,soundeffects/chiyunrou2,soundeffects/chiyunrou3,soundeffects/chiyunrou4,,,,,,,,,,,,,,,,
207,soundeffects/chiyunhai1,soundeffects/chiyunhai2,soundeffects/chiyunhai3,soundeffects/chiyunhai4,,,,,,,,,,,,,,,,
208,soundeffects/chiyunhua1,soundeffects/chiyunhua2,soundeffects/chiyunhua3,soundeffects/chiyunhua4,,,,,,,,,,,,,,,,
209,soundeffects/chiyuntian1,soundeffects/chiyuntian2,soundeffects/chiyuntian3,soundeffects/chiyuntian4,,,,,,,,,,,,,,,,
210,soundeffects/liminfeng1,soundeffects/liminfeng2,soundeffects/liminfeng3,soundeffects/liminfeng4,,,,,,,,,,,,,,,,
211,soundeffects/lixiaoran1,soundeffects/lixiaoran2,soundeffects/lixiaoran3,soundeffects/lixiaoran4,,,,,,,,,,,,,,,,
212,soundeffects/taizifei1,soundeffects/taizifei2,soundeffects/taizifei3,soundeffects/taizifei4,,,,,,,,,,,,,,,,
213,soundeffects/lvzhaoyi1,soundeffects/lvzhaoyi2,soundeffects/lvzhaoyi3,soundeffects/lvzhaoyi4,,,,,,,,,,,,,,,,
214,soundeffects/zhoushi1,soundeffects/zhoushi2,soundeffects/zhoushi3,soundeffects/zhoushi4,,,,,,,,,,,,,,,,
215,soundeffects/wenshi1,soundeffects/wenshi2,soundeffects/wenshi3,soundeffects/wenshi4,,,,,,,,,,,,,,,,
216,soundeffects/tanshi1,soundeffects/tanshi2,soundeffects/tanshi3,soundeffects/tanshi4,,,,,,,,,,,,,,,,
217,soundeffects/juntao1,soundeffects/juntao2,soundeffects/juntao3,soundeffects/juntao4,,,,,,,,,,,,,,,,
218,soundeffects/baizhi1,soundeffects/baizhi2,soundeffects/baizhi3,soundeffects/baizhi4,,,,,,,,,,,,,,,,
219,soundeffects/ziyan1,soundeffects/ziyan2,soundeffects/ziyan3,soundeffects/ziyan4,,,,,,,,,,,,,,,,
220,soundeffects/tanxiang1,soundeffects/tanxiang2,soundeffects/tanxiang3,soundeffects/tanxiang4,,,,,,,,,,,,,,,,
221,soundeffects/jiaotongling1,soundeffects/jiaotongling2,soundeffects/jiaotongling3,soundeffects/jiaotongling4,,,,,,,,,,,,,,,,
222,soundeffects/chunming1,soundeffects/chunming2,soundeffects/chunming3,soundeffects/chunming4,,,,,,,,,,,,,,,,
223,soundeffects/chengde1,soundeffects/chengde2,soundeffects/chengde3,soundeffects/chengde4,,,,,,,,,,,,,,,,
224,soundeffects/chengan1,soundeffects/chengan2,soundeffects/chengan3,soundeffects/chengan4,,,,,,,,,,,,,,,,
225,soundeffects/zhouwangchen1,soundeffects/zhouwangchen2,soundeffects/zhouwangchen3,soundeffects/zhouwangchen4,,,,,,,,,,,,,,,,
226,soundeffects/zhanganshou1,soundeffects/zhanganshou2,soundeffects/zhanganshou3,soundeffects/zhanganshou4,,,,,,,,,,,,,,,,
227,soundeffects/hongluo1,soundeffects/hongluo2,soundeffects/hongluo3,,,,,,,,,,,,,,,,,
228,soundeffects/mingshu1,soundeffects/mingshu2,soundeffects/mingshu3,soundeffects/mingshu4,,,,,,,,,,,,,,,,
229,soundeffects/jingfei1,soundeffects/jingfei2,soundeffects/jingfei3,soundeffects/jingfei4,,,,,,,,,,,,,,,,
230,soundeffects/wanangongzhu1,soundeffects/wanangongzhu2,soundeffects/wanangongzhu3,soundeffects/wanangongzhu4,,,,,,,,,,,,,,,,
301,soundeffects/fengqianmo1,soundeffects/fengqianmo2,soundeffects/fengqianmo3,,,,,,,,,,,,,,,,,
302,soundeffects/baifashi1,soundeffects/baifashi2,soundeffects/baifashi3,soundeffects/baifashi4,,,,,,,,,,,,,,,,
303,soundeffects/suyuyin1,soundeffects/suyuyin2,soundeffects/suyuyin3,,,,,,,,,,,,,,,,,
304,soundeffects/ouyangya1,soundeffects/ouyangya2,soundeffects/ouyangya3,,,,,,,,,,,,,,,,,
305,soundeffects/lvchan1,soundeffects/lvchan2,soundeffects/lvchan3,,,,,,,,,,,,,,,,,
306,soundeffects/luoshuihe1,soundeffects/luoshuihe2,soundeffects/luoshuihe3,,,,,,,,,,,,,,,,,
307,soundeffects/yuyin1,soundeffects/yuyin2,soundeffects/yuyin3,,,,,,,,,,,,,,,,,
308,soundeffects/azi1,soundeffects/azi2,soundeffects/azi3,,,,,,,,,,,,,,,,,
309,soundeffects/ouyanglan1,soundeffects/ouyanglan2,soundeffects/ouyanglan3,,,,,,,,,,,,,,,,,
310,soundeffects/guye1,soundeffects/guye2,soundeffects/guye3,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,
