id,first_name,second_name,chapters,chapters,chapters,red,blue,big_image,small_image,type
1,第一章,荒唐身份,1,,,10001,10002,ui/fuben(lulu)/zhangjie_da1,ui/fuben(lulu)/zhangjie_xiao1,AT_ZHUXIAN
2,第二章,初入李府,2,,,,,ui/fuben(lulu)/zhangjie_da2,ui/fuben(lulu)/zhangjie_xiao2,AT_ZHUXIAN
3,第三章,祖母寿宴,3,,,10003,,ui/fuben(lulu)/zhangjie_da3,ui/fuben(lulu)/zhangjie_xiao3,AT_ZHUXIAN
4,第四章,舌战法师,4,,,,10004,ui/fuben(lulu)/zhangjie_da4,ui/fuben(lulu)/zhangjie_xiao4,AT_ZHUXIAN
5,第五章,救灾之策,5,,,,,ui/fuben(lulu)/zhangjie_da5,ui/fuben(lulu)/zhangjie_xiao5,AT_ZHUXIAN
6,第六章,锋芒显现,6,,,,,ui/fuben(lulu)/zhangjie_da6,ui/fuben(lulu)/zhangjie_xiao6,AT_ZHUXIAN
7,第七章,珠胎暗结,7,,,,,ui/fuben(lulu)/zhangjie_da7,ui/fuben(lulu)/zhangjie_xiao7,AT_ZHUXIAN
8,第八章,可怜女子,8,,,,,ui/fuben(lulu)/zhangjie_da8,ui/fuben(lulu)/zhangjie_xiao8,AT_ZHUXIAN
9,第九章,花灯残魂,9,,,,,ui/fuben(lulu)/zhangjie_da9,ui/fuben(lulu)/zhangjie_xiao9,AT_ZHUXIAN
10,第十章,敏峰落狱,10,,,10018,,ui/fuben(lulu)/zhangjie_da10,ui/fuben(lulu)/zhangjie_xiao10,AT_ZHUXIAN
11,第十一章,暗流涌动,11,,,,,ui/fuben(lulu)/zhangjie_da11,ui/fuben(lulu)/zhangjie_xiao11,AT_ZHUXIAN
12,第十二章,诬陷落难,12,,,,,ui/fuben(lulu)/zhangjie_da12,ui/fuben(lulu)/zhangjie_xiao12,AT_ZHUXIAN
13,第十三章,真假风波,13,,,10019,,ui/fuben(lulu)/zhangjie_da13,ui/fuben(lulu)/zhangjie_xiao13,AT_ZHUXIAN
14,第十四章,滴血认亲,14,,,,,ui/fuben(lulu)/zhangjie_da14,ui/fuben(lulu)/zhangjie_xiao14,AT_ZHUXIAN
15,第十五章,北魏明珠,15,,,,,ui/fuben(lulu)/zhangjie_da15,ui/fuben(lulu)/zhangjie_xiao15,AT_ZHUXIAN
16,第十六章,北凉密信,16,,,,10012,ui/fuben(lulu)/zhangjie_da16,ui/fuben(lulu)/zhangjie_xiao16,AT_ZHUXIAN
17,第十七章,矿场危机,17,,,,,ui/fuben(lulu)/zhangjie_da17,ui/fuben(lulu)/zhangjie_xiao17,AT_ZHUXIAN
18,第十八章,神秘女子,18,,,,10016,ui/fuben(lulu)/zhangjie_da18,ui/fuben(lulu)/zhangjie_xiao18,AT_ZHUXIAN
19,第十九章,叱云将军,19,,,,,ui/fuben(lulu)/zhangjie_da19,ui/fuben(lulu)/zhangjie_xiao19,AT_ZHUXIAN
20,第二十章,深夜敌袭,20,,,10008,,ui/fuben(lulu)/zhangjie_da22,ui/fuben(lulu)/zhangjie_xiao22,AT_ZHUXIAN
21,第二十一章,异邦之人（上）,21,,,,,ui/fuben(lulu)/zhangjie_da21,ui/fuben(lulu)/zhangjie_xiao21,AT_ZHUXIAN
22,第二十二章,异邦之人（下）,22,,,,,ui/fuben(lulu)/zhangjie_da21,ui/fuben(lulu)/zhangjie_xiao21,AT_ZHUXIAN
23,第二十三章,深陷泥潭（上）,23,,,,10015,ui/fuben(lulu)/zhangjie_da47,ui/fuben(lulu)/zhangjie_xiao20,AT_ZHUXIAN
24,第二十四章,深陷泥潭（下）,24,,,,,ui/fuben(lulu)/zhangjie_da47,ui/fuben(lulu)/zhangjie_xiao20,AT_ZHUXIAN
25,第二十五章,玉阶竹飞（上）,25,,,10014,,ui/fuben(lulu)/zhangjie_da23,ui/fuben(lulu)/zhangjie_xiao23,AT_ZHUXIAN
26,第二十六章,玉阶竹飞（下）,26,,,,,ui/fuben(lulu)/zhangjie_da23,ui/fuben(lulu)/zhangjie_xiao23,AT_ZHUXIAN
27,第二十七章,君意阑珊（上）,27,,,,10017,ui/fuben(lulu)/zhangjie_da24,ui/fuben(lulu)/zhangjie_xiao24,AT_ZHUXIAN
28,第二十八章,君意阑珊（下）,28,,,,,ui/fuben(lulu)/zhangjie_da24,ui/fuben(lulu)/zhangjie_xiao24,AT_ZHUXIAN
29,第二十九章,猎场猎物（上）,29,,,,10007,ui/fuben(lulu)/zhangjie_da25,ui/fuben(lulu)/zhangjie_xiao25,AT_ZHUXIAN
30,第三十章,猎场猎物（下）,30,,,,,ui/fuben(lulu)/zhangjie_da25,ui/fuben(lulu)/zhangjie_xiao25,AT_ZHUXIAN
31,第三十一章,调虎离山（上）,31,,,10005,,ui/fuben(lulu)/zhangjie_da26,ui/fuben(lulu)/zhangjie_xiao26,AT_ZHUXIAN
32,第三十二章,调虎离山（下）,32,,,,,ui/fuben(lulu)/zhangjie_da26,ui/fuben(lulu)/zhangjie_xiao26,AT_ZHUXIAN
33,第三十三章,棠雨花宴（上）,33,,,,10006,ui/fuben(lulu)/zhangjie_da27,ui/fuben(lulu)/zhangjie_xiao27,AT_ZHUXIAN
34,第三十四章,棠雨花宴（下）,34,,,,,ui/fuben(lulu)/zhangjie_da27,ui/fuben(lulu)/zhangjie_xiao27,AT_ZHUXIAN
35,第三十五章,铲除异己（上）,35,,,10009,10013,ui/fuben(lulu)/zhangjie_da28,ui/fuben(lulu)/zhangjie_xiao28,AT_ZHUXIAN
36,第三十六章,铲除异己（下）,36,,,,,ui/fuben(lulu)/zhangjie_da28,ui/fuben(lulu)/zhangjie_xiao28,AT_ZHUXIAN
37,第三十七章,以身犯险（上）,37,,,10010,,ui/fuben(lulu)/zhangjie_da29,ui/fuben(lulu)/zhangjie_xiao29,AT_ZHUXIAN
38,第三十八章,以身犯险（下）,38,,,,,ui/fuben(lulu)/zhangjie_da29,ui/fuben(lulu)/zhangjie_xiao29,AT_ZHUXIAN
39,第三十九章,杯盏离愁（上）,39,,,10011,,ui/fuben(lulu)/zhangjie_da30,ui/fuben(lulu)/zhangjie_xiao30,AT_ZHUXIAN
40,第四十章,杯盏离愁（下）,40,,,,,ui/fuben(lulu)/zhangjie_da30,ui/fuben(lulu)/zhangjie_xiao30,AT_ZHUXIAN
1001,红罗,红罗,30001,30002,30003,,,ui/liezhuan/liechuan_2,liezhuan2,AT_LIEZHUAN
1002,叱云天,叱云天,20001,20002,20003,,,ui/liezhuan/liechuan_6,liezhuan6,AT_LIEZHUAN
