id,name,icon,day_times_limit,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,battle_pttid,battle_drop_pttid,show_win_conditions,plot_pttid,huanzhuang_pttid,desc,sweep_conditions.conditions.type,sweep_conditions.conditions.arg
1,第一关,icon/touxiang/touxiang_juntao,,,,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50004,35,ADD_ITEM,5010,3,,,,,1,赶紧换上一身适合宴会，并能彰显身份的衣服吧！,,
2,第二关,icon/touxiang/touxiang_shibin,99,PASS_ADVENTURE,1,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,1,1,1,,,,,
3,第三关,icon/touxiang/touxiang_tuobajun,,PASS_ADVENTURE,2,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_FEIGE_CG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,
4,第四关,icon/touxiang/touxiang_chiyunnan,99,PASS_ADVENTURE,3,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,2,1,1,,,,,
5,第五关,icon/touxiang/touxiang_chiyunnan,,PASS_ADVENTURE,4,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,
6,第六关,icon/touxiang/touxiang_daniang,,PASS_ADVENTURE,5,,,,,,,,,,,ADD_RESOURCE,EXP,50,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100001,HP_TOUFA,200001,ADD_HUANZHUANG_COLLECTION,HP_YIFU,110001,HP_YIFU,210001,ADD_HUANZHUANG_COLLECTION,HP_SHOUCHI,140001,HP_SHOUCHI,240001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,
7,第七关,icon/touxiang/touxiang_baizhi,,PASS_ADVENTURE,6,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,5009,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_ITEM,50008,35,ADD_ITEM,5010,3,,,,,2,去尚书府的行程路途奔波，少不了一身简单得体的衣服。,,
8,第八关,icon/touxiang/touxiang_daniang,,PASS_ADVENTURE,7,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ACTOR,219,,,,ADD_ACTOR,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,
9,第九关,icon/touxiang/touxiang_heiyiren,10,PASS_ADVENTURE,8,,,,,COST_RESOURCE,POWER,5,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_ITEM,223,5,,,ADD_EQUIPMENT,2251,2,,,ADD_EQUIPMENT,2252,2,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,1000,ADD_RESOURCE,EXP,50,ADD_RESOURCE,ACTOR_EXP,200,,,,,,,3,101,1,,,,,
10,第十关,icon/touxiang/touxiang_tuobajun,,PASS_ADVENTURE,9,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,5,,,ADD_RESOURCE,EXP,50,,,ADD_ITEM,223,10,,,ADD_FEIGE_CG,4,,,,TRIGGER_MAJOR_CITY_BUBBLE,1,,,,ADD_FEIGE_CHUANWEN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,
