id,ips.origin,ips.end_point,ips.area_id,ips.area_name
1,1.0.0.0,1.0.0.255,1014,大洋州地区
2,1.0.1.0,1.0.3.255,1001,华东地区
3,1.0.4.0,1.0.7.255,1014,大洋州地区
4,1.0.8.0,1.0.15.255,1002,华南地区
5,1.0.32.0,1.0.63.255,1002,华南地区
6,1.0.128.0,1.0.255.255,1011,东南亚地区
7,1.1.0.0,1.1.0.255,1001,华东地区
8,1.1.1.0,1.1.1.255,1014,大洋州地区
9,1.1.2.0,1.1.7.255,1001,华东地区
10,1.1.8.0,1.1.63.255,1002,华南地区
11,1.1.128.0,1.1.255.255,1011,东南亚地区
12,1.2.0.0,1.2.1.255,1001,华东地区
13,1.2.2.0,1.2.2.255,1004,华北地区
14,1.2.3.0,1.2.3.255,1014,大洋州地区
15,1.2.4.0,1.2.4.255,1004,华北地区
16,1.2.5.0,1.2.7.255,1001,华东地区
17,1.2.9.0,1.2.127.255,1002,华南地区
18,1.2.128.0,1.2.255.255,1011,东南亚地区
19,1.3.0.0,1.3.255.255,1002,华南地区
20,1.4.0.0,1.4.0.255,1014,大洋州地区
21,1.4.1.0,1.4.3.255,1001,华东地区
22,1.4.4.0,1.4.4.255,1004,华北地区
23,1.4.5.0,1.4.7.255,1001,华东地区
24,1.4.8.0,1.4.127.255,1002,华南地区
25,1.4.128.0,1.4.255.255,1011,东南亚地区
26,1.8.0.0,1.8.255.255,1004,华北地区
27,1.9.0.0,1.9.255.255,1011,东南亚地区
28,1.10.0.0,1.10.7.255,1002,华南地区
29,1.10.8.0,1.10.9.255,1001,华东地区
30,1.10.10.0,1.10.10.255,1014,大洋州地区
31,1.10.11.0,1.10.15.255,1001,华东地区
32,1.10.16.0,1.10.127.255,1002,华南地区
33,1.10.128.0,1.10.255.255,1011,东南亚地区
34,1.12.0.0,1.13.223.255,1004,华北地区
35,1.13.224.0,1.13.255.255,1007,东北地区
36,1.14.0.0,1.15.255.255,1004,华北地区
37,1.20.0.0,1.20.255.255,1011,东南亚地区
38,1.24.0.0,1.31.255.255,1004,华北地区
39,1.32.0.0,1.32.255.255,1011,东南亚地区
40,1.34.0.0,1.36.255.255,1008,港澳台地区
41,1.37.0.0,1.37.255.255,1011,东南亚地区
42,1.44.0.0,1.44.255.255,1014,大洋州地区
43,1.45.0.0,1.45.255.255,1004,华北地区
44,1.46.0.0,1.47.255.255,1011,东南亚地区
45,1.48.0.0,1.49.255.255,1006,西南地区
46,1.50.0.0,1.50.255.255,1005,西北地区
47,1.51.0.0,1.51.15.255,1004,华北地区
48,1.51.16.0,1.51.255.255,1001,华东地区
49,1.52.0.0,1.55.255.255,1011,东南亚地区
50,1.56.0.0,1.63.255.255,1007,东北地区
51,1.64.0.0,1.65.255.255,1008,港澳台地区
52,1.68.0.0,1.71.255.255,1004,华北地区
53,1.80.0.0,1.87.255.255,1005,西北地区
54,1.88.0.0,1.95.255.255,1004,华北地区
55,1.116.0.0,1.119.255.255,1004,华北地区
56,1.120.0.0,1.159.255.255,1014,大洋州地区
57,1.160.0.0,1.175.255.255,1008,港澳台地区
58,1.178.0.0,1.179.127.255,1014,大洋州地区
59,1.179.128.0,1.179.255.255,1011,东南亚地区
60,1.180.0.0,1.180.235.255,1004,华北地区
61,1.180.236.0,1.180.236.255,1007,东北地区
62,1.180.237.0,1.180.239.255,1004,华北地区
63,1.180.240.0,1.180.240.255,1007,东北地区
64,1.180.241.0,1.183.255.255,1004,华北地区
65,1.184.0.0,1.185.255.255,1002,华南地区
66,1.188.0.0,1.191.255.255,1007,东北地区
67,1.192.0.0,1.199.255.255,1003,华中地区
68,1.200.0.0,1.200.255.255,1008,港澳台地区
69,1.202.0.0,1.203.255.255,1004,华北地区
70,1.204.0.0,1.207.255.255,1006,西南地区
71,2.0.0.0,2.15.255.255,1010,欧洲地区
72,2.16.6.0,2.16.7.255,1010,欧洲地区
73,2.16.68.0,2.16.71.255,1010,欧洲地区
74,2.16.132.0,2.16.133.255,1010,欧洲地区
75,2.16.170.0,2.16.173.255,1010,欧洲地区
76,2.16.178.0,2.16.179.255,1010,欧洲地区
77,2.16.220.0,2.16.223.255,1010,欧洲地区
78,2.16.240.0,2.16.255.255,1010,欧洲地区
79,2.17.20.0,2.17.23.255,1010,欧洲地区
80,2.17.196.0,2.17.207.255,1009,北美地区
81,2.17.252.0,2.17.255.255,1010,欧洲地区
82,2.18.80.0,2.18.95.255,1010,欧洲地区
83,2.18.185.0,2.18.185.255,1010,欧洲地区
84,2.19.16.0,2.19.31.255,1010,欧洲地区
85,2.19.240.0,2.19.255.255,1010,欧洲地区
86,2.20.4.0,2.20.7.255,1010,欧洲地区
87,2.20.60.0,2.20.63.255,1010,欧洲地区
88,2.20.179.0,2.20.187.255,1010,欧洲地区
89,2.21.0.0,2.21.63.255,1010,欧洲地区
90,2.21.88.0,2.21.127.255,1010,欧洲地区
91,2.21.240.0,2.21.253.255,1010,欧洲地区
92,2.21.255.0,2.21.255.255,1010,欧洲地区
93,2.22.12.0,2.22.23.255,1010,欧洲地区
94,2.22.48.0,2.22.49.255,1010,欧洲地区
95,2.22.55.0,2.22.60.255,1010,欧洲地区
96,2.22.96.0,2.22.227.255,1010,欧洲地区
97,2.22.230.0,2.22.233.255,1010,欧洲地区
98,2.22.246.0,2.22.247.255,1010,欧洲地区
99,2.22.252.0,2.22.255.255,1010,欧洲地区
100,2.23.112.0,2.23.127.255,1010,欧洲地区
101,2.24.0.0,2.47.255.255,1010,欧洲地区
102,2.56.0.0,2.71.255.255,1010,欧洲地区
103,2.80.0.0,2.87.255.255,1010,欧洲地区
104,2.92.0.0,2.131.255.255,1010,欧洲地区
105,2.136.0.0,2.143.255.255,1010,欧洲地区
106,2.148.0.0,2.175.255.255,1010,欧洲地区
107,2.192.0.0,2.255.255.255,1010,欧洲地区
108,3.0.0.0,4.255.255.255,1009,北美地区
109,5.1.0.0,5.1.39.255,1010,欧洲地区
110,5.1.48.0,5.1.103.255,1010,欧洲地区
111,5.1.112.0,5.2.79.255,1010,欧洲地区
112,5.2.88.0,5.8.127.255,1010,欧洲地区
113,5.8.160.0,5.8.239.255,1010,欧洲地区
114,5.8.248.0,5.10.31.255,1010,欧洲地区
115,5.10.40.0,5.10.223.255,1010,欧洲地区
116,5.10.232.0,5.10.239.255,1010,欧洲地区
117,5.11.0.0,5.11.39.255,1010,欧洲地区
118,5.11.48.0,5.11.127.255,1010,欧洲地区
119,5.12.0.0,5.20.255.255,1010,欧洲地区
120,5.22.136.0,5.22.191.255,1010,欧洲地区
121,5.22.224.0,5.22.255.255,1010,欧洲地区
122,5.23.2.0,5.23.2.255,1010,欧洲地区
123,5.23.4.0,5.23.4.3,1010,欧洲地区
124,5.23.9.0,5.23.9.31,1010,欧洲地区
