rank,reward_events.events.type,reward_events.events.arg,reward_events.events.arg,reward_events.events.type,reward_events.events.arg,reward_events.events.arg,reward_events.events.type,reward_events.events.arg,reward_events.events.arg
1,ADD_RESOURCE,DIAMOND,600,ADD_RESOURCE,GOLD,100000,ADD_RESOURCE,ARENA_REPUTATION,800
2,ADD_RESOURCE,DIAMOND,550,ADD_RESOURCE,GOLD,95000,ADD_RESOURCE,ARENA_REPUTATION,775
3,ADD_RESOURCE,DIAMOND,500,ADD_RESOURCE,GOLD,90000,ADD_RESOURCE,ARENA_REPUTATION,750
4,ADD_RESOURCE,DIAMOND,450,ADD_RESOURCE,GOLD,85000,ADD_RESOURCE,ARENA_REPUTATION,725
5,ADD_RESOURCE,DIAMOND,400,ADD_RESOURCE,GOLD,80000,ADD_RESOURCE,ARENA_REPUTATION,700
6,ADD_RESOURCE,DIAMOND,380,ADD_RESOURCE,GOLD,75000,ADD_RESOURCE,ARENA_REPUTATION,680
7,ADD_RESOURCE,DIAMOND,360,ADD_RESOURCE,GOLD,70000,ADD_RESOURCE,ARENA_REPUTATION,660
8,ADD_RESOURCE,DIAMOND,340,ADD_RESOURCE,GOLD,65000,ADD_RESOURCE,ARENA_REPUTATION,640
9,ADD_RESOURCE,DIAMOND,320,ADD_RESOURCE,GOLD,60000,ADD_RESOURCE,ARENA_REPUTATION,620
10,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,GOLD,55000,ADD_RESOURCE,ARENA_REPUTATION,600
11,ADD_RESOURCE,DIAMOND,290,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,ARENA_REPUTATION,580
21,ADD_RESOURCE,DIAMOND,280,ADD_RESOURCE,GOLD,45000,ADD_RESOURCE,ARENA_REPUTATION,560
31,ADD_RESOURCE,DIAMOND,260,ADD_RESOURCE,GOLD,40000,ADD_RESOURCE,ARENA_REPUTATION,540
51,ADD_RESOURCE,DIAMOND,250,ADD_RESOURCE,GOLD,35000,ADD_RESOURCE,ARENA_REPUTATION,520
71,ADD_RESOURCE,DIAMOND,240,ADD_RESOURCE,GOLD,30000,ADD_RESOURCE,ARENA_REPUTATION,500
101,ADD_RESOURCE,DIAMOND,220,ADD_RESOURCE,GOLD,25000,ADD_RESOURCE,ARENA_REPUTATION,475
201,ADD_RESOURCE,DIAMOND,200,ADD_RESOURCE,GOLD,22500,ADD_RESOURCE,ARENA_REPUTATION,450
301,ADD_RESOURCE,DIAMOND,190,ADD_RESOURCE,GOLD,20000,ADD_RESOURCE,ARENA_REPUTATION,400
501,ADD_RESOURCE,DIAMOND,120,ADD_RESOURCE,GOLD,16000,ADD_RESOURCE,ARENA_REPUTATION,350
701,ADD_RESOURCE,DIAMOND,100,ADD_RESOURCE,GOLD,14000,ADD_RESOURCE,ARENA_REPUTATION,300
1001,ADD_RESOURCE,DIAMOND,90,ADD_RESOURCE,GOLD,12000,ADD_RESOURCE,ARENA_REPUTATION,260
2001,ADD_RESOURCE,DIAMOND,80,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,ARENA_REPUTATION,220
3001,ADD_RESOURCE,DIAMOND,50,ADD_RESOURCE,GOLD,9000,ADD_RESOURCE,ARENA_REPUTATION,150
5001,ADD_RESOURCE,DIAMOND,50,ADD_RESOURCE,GOLD,8000,ADD_RESOURCE,ARENA_REPUTATION,100
7001,ADD_RESOURCE,DIAMOND,45,ADD_RESOURCE,GOLD,7000,ADD_RESOURCE,ARENA_REPUTATION,50
10001,ADD_RESOURCE,DIAMOND,45,ADD_RESOURCE,GOLD,5000,,,
