type,node
BTRT_TICK,10000
BTRT_MANSION_HELP_QUEST,2001
BTRT_MANSION_ACCEPT_QUEST,2000
BTRT_ARENA_CHALLENGE,2003
BTRT_GONGDOU,1013
BTRT_HUANZHUANG_PVP_VOTE,29
BTRT_HUANZHUANG_PVP_UPVOTE,30
BTRT_ROLE_UPVOTE,31
BTRT_LEAGUE_JOIN,4007
BTRT_LEAGUE_DONATION,4000
BTRT_LEAGUE_QUEST_APPEAL,4001
BTRT_LEAGUE_QUEST_HELP,4002
BTRT_LEAGUE_LUCKY_BAG_ISSUE,4003
BTRT_LEAGUE_LUCKY_BAG_OPEN,4004
BTRT_FIEF_AREA_INCIDENT_INVITE,5000
BTRT_FIEF_AREA_INCIDENT_JOIN,5001
BTRT_RELATION,5200
BTRT_ADVENTURE_CHALLENGE,3000
BTRT_MANSION_UPVOTE,2002
BTRT_MANSION_GAME,1010
BTRT_MULTI_LIEMING_CHALLENGE,5400
BTRT_HUANZHUANG_PVP_UPDATE_SELECTION,1020
BTRT_CHAT,62
BTRT_MULTI_LIEMING,5400
BTRT_GUANPIN,5500
BTRT_MULTI_LIEMING_ENTER_BY_INVATE,5600
BTRT_ACTIVITY,5800
BTRT_MANSION_FARM_PLANT,5700
BTRT_MARRIAGE,3002
BTRT_MANSION_KITCHEN_COOK,330
BTRT_LEAGUE_WAR_ENROLL,340
BTRT_LEAGUE_CREATE_OR_JOIN,4007
BTRT_IN_MARRIAGE,5900
BTRT_CHILD,1027
BTRT_MULTI_LIEMING_ENTER_ROOM,200
