id,type,desc,player_action.type,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_action.arg,player_condition.type,player_condition.arg,player_condition.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,battle_action.type,battle_action.arg,parallel.threshold,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children,children
1,BNT_ACTION,PAT_ARENA_CHALLENGE,PAT_ARENA_CHALLENGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BNT_ACTION,PAT_MANSION_ENTER MBT_HALL,PAT_MANSION_ENTER,MBT_HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BNT_ACTION,PAT_MANSION_ENTER MBT_POND,PAT_MANSION_ENTER,MBT_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BNT_ACTION,PAT_MANSION_ENTER MBT_KITCHEN,PAT_MANSION_ENTER,MBT_KITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BNT_ACTION,PAT_MANSION_ENTER MBT_VEGETABLE_PLOT,PAT_MANSION_ENTER,MBT_VEGETABLE_PLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BNT_ACTION,PAT_MANSION_LEAVE,PAT_MANSION_LEAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BNT_ACTION,PAT_MANSION_ACCEPT_QUEST,PAT_MANSION_ACCEPT_QUEST,201,202,203,204,205,206,207,208,209,210,211,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BNT_ACTION,PAT_MANSION_ACCEPT_QUEST,PAT_MANSION_ACCEPT_QUEST,301,302,303,304,305,306,307,308,309,310,311,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BNT_ACTION,PAT_MANSION_ACCEPT_QUEST,PAT_MANSION_ACCEPT_QUEST,401,402,403,404,405,406,407,408,409,410,411,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BNT_ACTION,PAT_MANSION_ENTER_FRIEND MBT_HALL,PAT_MANSION_ENTER_FRIEND,MBT_HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BNT_ACTION,PAT_MANSION_ENTER_FRIEND MBT_POND,PAT_MANSION_ENTER_FRIEND,MBT_POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BNT_ACTION,PAT_MANSION_ENTER_FRIEND MBT_KITCHEN,PAT_MANSION_ENTER_FRIEND,MBT_KITCHEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BNT_ACTION,PAT_MANSION_ENTER_FRIEND MBT_VEGETABLE_PLOT,PAT_MANSION_ENTER_FRIEND,MBT_VEGETABLE_PLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BNT_ACTION,PAT_MANSION_HELP_QUEST,PAT_MANSION_HELP_QUEST,201,202,203,204,205,206,207,208,209,210,211,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BNT_ACTION,PAT_MANSION_HELP_QUEST,PAT_MANSION_HELP_QUEST,301,302,303,304,305,306,307,308,309,310,311,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BNT_ACTION,PAT_MANSION_HELP_QUEST,PAT_MANSION_HELP_QUEST,401,402,403,404,405,406,407,408,409,410,411,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BNT_ACTION,PAT_MANSION_UPVOTE,PAT_MANSION_UPVOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BNT_ACTION,PAT_ARENA_JOIN,PAT_ARENA_JOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BNT_CONDITION,,,,,,,,,,,,,,,,,,COST_RESOURCE,ARENA_CHANCE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BNT_ACTION,PAT_MANSION_INVITE_GAME MGT_FISHING,PAT_MANSION_INVITE_GAME,MGT_FISHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BNT_ACTION,PAT_MANSION_GAME_WAIT_ACCEPT,PAT_MANSION_GAME_WAIT_ACCEPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BNT_ACTION,PAT_MANSION_PLAY_GAME,PAT_MANSION_PLAY_GAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BNT_CONDITION,PCT_MANSION_HAS_GAME_INVITATION,,,,,,,,,,,,,,PCT_MANSION_HAS_GAME_INVITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BNT_ACTION,PAT_MANSION_ACCEPT_GAME_INVITATION,PAT_MANSION_ACCEPT_GAME_INVITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BNT_CONDITION,RESOURCE_GE POWER 100,,,,,,,,,,,,,,,,,RESOURCE_GE,POWER,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BNT_ACTION,PAT_ADVENTURE_CHALLENGE_NEW,PAT_ADVENTURE_CHALLENGE_NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BNT_ACTION,PAT_ADVENTURE_CHALLENGE,PAT_ADVENTURE_CHALLENGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BNT_ACTION,PAT_ADVENTURE_SWEEP,PAT_ADVENTURE_SWEEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BNT_ACTION,PAT_HUANZHUANG_PVP_VOTE,PAT_HUANZHUANG_PVP_VOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BNT_ACTION,PAT_HUANZHUANG_PVP_UPVOTE,PAT_HUANZHUANG_PVP_UPVOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BNT_ACTION,PAT_ROLE_UPVOTE,PAT_ROLE_UPVOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BNT_ACTION,PAT_GONGDOU GT_SLAP,PAT_GONGDOU,GT_SLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BNT_ACTION,PAT_GONGDOU GT_POISON,PAT_GONGDOU,GT_POISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BNT_ACTION,PAT_GONGDOU GT_LASH,PAT_GONGDOU,GT_LASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BNT_ACTION,PAT_GONGDOU GT_SLANDER,PAT_GONGDOU,GT_SLANDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BNT_ACTION,PAT_GONGDOU GT_DEFORM,PAT_GONGDOU,GT_DEFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BNT_ACTION,PAT_GONGDOU GT_SORCERY,PAT_GONGDOU,GT_SORCERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,BNT_ACTION,PAT_RELATION_SEND_GIFT_TO_FRIEND,PAT_RELATION_SEND_GIFT_TO_FRIEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,BNT_ACTION,PAT_RELATION_SEND_GIFT_TO_SPOUSE,PAT_RELATION_SEND_GIFT_TO_SPOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,BNT_ACTION,PAT_LEAGUE_FIND_TO_JOIN,PAT_LEAGUE_FIND_TO_JOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BNT_ACTION,PAT_LEAGUE_DONATION MEAN,PAT_LEAGUE_DONATION,MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BNT_ACTION,PAT_LEAGUE_QUEST_APPEAL,PAT_LEAGUE_QUEST_APPEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BNT_ACTION,PAT_LEAGUE_QUEST_HELP,PAT_LEAGUE_QUEST_HELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BNT_ACTION,PAT_LEAGUE_LUCKY_BAG_ISSUE,PAT_LEAGUE_LUCKY_BAG_ISSUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BNT_ACTION,PAT_LEAGUE_LUCKY_BAG_OPEN,PAT_LEAGUE_LUCKY_BAG_OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BNT_CONDITION,LEAGUE_JOINED,,,,,,,,,,,,,,,,,LEAGUE_JOINED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BNT_ACTION,PAT_LEAGUE_CREATE,PAT_LEAGUE_CREATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BNT_ACTION,PAT_LEAGUE_APPROVE_JOINER,PAT_LEAGUE_APPROVE_JOINER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
