id,type,player_action.type,player_action.arg,player_condition.type,player_condition.arg,conditions.conditions.type,conditions.conditions.arg,battle_action.type,battle_action.arg,battle_action.arg,battle_action.arg,parallel.threshold,children,children,children,children,children
100001,BNT_ACTION,,,,,,,CAST_SKILL,,,,,,,,,
100002,BNT_ACTION,,,,,,,EASY_CAST_SKILL,,,,,,,,,
100011,BNT_ACTION,,,,,,,SELECT_SKILL,DAMAGE,,,,,,,,
100012,BNT_ACTION,,,,,,,SELECT_SKILL,HEAL,,,,,,,,
100013,BNT_ACTION,,,,,,,SELECT_SKILL,CONTROL,,,,,,,,
100014,BNT_ACTION,,,,,,,SELECT_SKILL,BENEFICIAL,,,,,,,,
100015,BNT_ACTION,,,,,,,SELECT_SKILL,DETRIMENTAL,,,,,,,,
100016,BNT_ACTION,,,,,,,SELECT_SKILL,REVIVE,,,,,,,,
100017,BNT_ACTION,,,,,,,SELECT_SKILL_AUTO,,,,,,,,,
100018,BNT_ACTION,,,,,,,SELECT_SKILL,CAN_LIGHT_GRID,,,,,,,,
100021,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,HP_PERCENT_LIMIT,<,800,,,,,,
1000211,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,HP_PERCENT_LIMIT,<,500,,,,,,
100022,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,MOST_HP_PERCENT,,,,,,,,
100023,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,LEAST_HP_PERCENT,,,,,,,,
100024,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,ZHANLI_MAX,,,,,,,,
100025,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,ACTOR_TYPE,DPS,,,,,,,
100026,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,ACTOR_TYPE,ASSIST,,,,,,,
100027,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,ACTOR_TYPE,ZHU,,,,,,,
100028,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,ACTOR_TYPE,TANK,,,,,,,
100029,BNT_ACTION,,,,,,,SELECT_TARGET_AFTER_SKILL,MAX_TARGETS,,,,,,,,
100101,BNT_SEQUENCE,,,,,,,,,,,,100012,100021,100023,100201,100001
100102,BNT_SEQUENCE,,,,,,,,,,,,100014,100201,100024,100001,
100103,BNT_SEQUENCE,,,,,,,,,,,,100017,100029,100023,100001,
100104,BNT_SEQUENCE,,,,,,,,,,,,100017,1000211,100023,100001,
100105,BNT_SEQUENCE,,,,,,,,,,,,100012,100023,100001,,
100201,BNT_FALLBACK,,,,,,,,,,,,100025,100028,100027,100026,
100202,BNT_FALLBACK,,,,,,,,,,,,100025,100028,100027,100026,
200000,BNT_FALLBACK,,,,,,,,,,,,100002,,,,
200011,BNT_FALLBACK,,,,,,,,,,,,100104,100103,100002,,
200021,BNT_FALLBACK,,,,,,,,,,,,100101,100102,100103,100105,100002
200031,BNT_FALLBACK,,,,,,,,,,,,100104,100103,100002,,
