id,icon,name,desc,male,files,repell,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,tags.type,tags.value,tags.invisible,quality,pos.x,pos.y,bone,idle_anim,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.decos.decos.type,fix_attr.decos.decos.change_value,fix_attr.decos.decos.change_percent,fix_attr.levelup_growth,levelup_pttid,origins
120005,ui/hzicon/yichu/beishi_yemao,夜猫,天底下竟有如此精致考究的夜行衣！,False,spines/zhujue/huanzhuangNv/yemaonv_beishi,,HZ_HUOPO,162,,HZ_FENGLIUWUMEI,116,,HZ_CHENGSHU,105,,HZ_QINGLIANG,150,,FG_YEXING,400,,FG_DONGWU,300,,,,,3,,,beishi,,HP,461,,ATTACK,46,,20021,1,100
120009,ui/hzicon/yichu/beishi_mizong,秘踪,愿我化作一道夜空中的光。,False,spines/zhujue/huanzhuangNv/mizongnv_beishi,,HZ_YONGMENGYINGZI,166,,HZ_JIANYUE,144,,HZ_CHENGSHU,140,,HZ_SHIWEN,150,,FG_JIANGHU,400,,FG_YUNDONG,300,,WQ_DAO,1000,是,3,,,beishi,,HP,447,,ATTACK,45,,20033,1,30002
120011,ui/hzicon/yichu/beishi_moran,墨染,赫于城邦闹市何如？隐于乡郊绿野何如？所见所闻所思所想，皆有收获。,False,spines/zhujue/huanzhuangNv/morannv_beishi,,HZ_JIANYUE,170,,HZ_QINGCHUN,148,,HZ_HUOPO,132,,HZ_SHIWEN,150,,FG_XIUXIAN,400,,FG_HUAYU,300,,,,,3,,,beishi,,HP,461,,ATTACK,46,,20040,1,100
120015,ui/hzicon/yichu/beishi_huahuo,花火,花火的光芒照亮了整个夜空，好美……,False,spines/zhujue/huanzhuangNv/huahuonv_beishi,,HZ_FANHUA,138,,HZ_RUYADUANZHUANG,135,,HZ_JIANYUE,110,,HZ_BAONUAN,150,,FG_XIJU,400,,FG_GUANCHANG,300,,,,,3,,,,,HP,461,,ATTACK,46,,20054,1,30002
120016,ui/hzicon/yichu/beishi_gongxin,宫心,这深宫中的心事，岂是三言两语能道明。,False,spines/zhujue/huanzhuangNv/gongxinnv_beishi,,HZ_RUYADUANZHUANG,214,,HZ_TONGZHEN,168,,HZ_FANHUA,153,,HZ_BAONUAN,210,,FG_GUANCHANG,400,,FG_YUANYOU,300,,,,,4,,,beishi,,HP,1451,,ATTACK,145,,20057,1,100
120021,ui/hzicon/yichu/beishi_shufang,淑芳,赵女弹箜篌，复能邯郸舞。,False,spines/zhujue/huanzhuangNv/jinxiunv_beishi,,HZ_HUOPO,254,,HZ_TONGZHEN,204,,HZ_CAIZIJIAREN,172,,HZ_SHIWEN,210,,FG_DONGWU,400,,FG_YUANYOU,300,,,,,4,,,,,HP,1451,,ATTACK,145,,20074,1,100
120022,ui/hzicon/yichu/beishi_wangdie,王蝶,小小的蝴蝶飞啊飞，在天上，在地上，在你我的心头上。,False,spines/zhujue/huanzhuangNv/wangdienv_beishi,,HZ_QINGCHUN,202,,HZ_HUOPO,183,,HZ_JIANYUE,151,,HZ_QINGLIANG,210,,FG_XIJU,400,,FG_WUYI,300,,,,,4,,,beishi,,HP,1451,,ATTACK,145,,20077,1,100
120026,ui/hzicon/yichu/beishi_jinyiwei,锦衣卫,饮马渡秋水，水寒风似刀。,False,spines/zhujue/huanzhuangNv/jinyiweinv_beishi_r,,HZ_YONGMENGYINGZI,244,,HZ_FANHUA,208,,HZ_CHENGSHU,178,,HZ_SHIWEN,210,,FG_YEXING,400,,FG_JIANGHU,300,,FG_ZHENGZHAN,150,,4,,,root,,HP,1658,,ATTACK,166,,20093,1,30002
120028,ui/hzicon/yichu/beishi_chushang,龙凤,皇恩浩荡，万民景仰。,False,spines/zhujue/huanzhuangNv/longfengnv_beishi_r,,HZ_FANHUA,333,,HZ_RUYADUANZHUANG,266,,HZ_CHENGSHU,241,,HZ_SHIWEN,280,,FG_DIWANG,500,,,,,,,,5,,,root,,HP,3105,,ATTACK,311,,20100,1,100
120029,ui/hzicon/yichu/beishi_mengzhiyao,梦之瑶,有美人兮，见之不忘。一日不见兮，思之如狂。,False,spines/zhujue/huanzhuangNv/mengzhiyaonv_beishi,,HZ_QINGCHUN,248,,HZ_CAIZIJIAREN,210,,HZ_FANHUA,172,,HZ_SHIWEN,210,,FG_ZOUYUE,500,,,,,,,,4,,,beishi,,HP,1451,,ATTACK,145,,20104,1,100
