id,name,item,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,child_events.events.type,child_events.events.arg,child_events.events.arg,child_events.events.type,child_events.events.arg,child_events.events.arg,child_events.events.type,child_events.events.arg,child_events.events.arg,pay_conditions.conditions.type,pay_conditions.conditions.arg,pay_conditions.conditions.arg,pay_child_conditions.conditions.type,pay_child_conditions.conditions.arg,pay_child_conditions.conditions.arg,pay_child_conditions.conditions.type,pay_child_conditions.conditions.arg,pay_child_conditions.conditions.arg,pay_child_events.events.type,pay_child_events.events.arg,pay_child_events.events.arg,pay_child_events.events.type,pay_child_events.events.arg,pay_child_events.events.arg,cd
1,喂养,9400,,,,CCT_PHASE_IN,CP_BABY,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,10,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_BABY,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
2,喂养,6100,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
3,喂养,6101,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
4,喂养,6102,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
5,喂养,6103,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
6,喂养,6104,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
7,喂养,6105,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
8,喂养,6106,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
9,喂养,6107,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
10,喂养,6108,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
11,喂养,6109,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
12,喂养,6110,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
13,喂养,6111,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
14,喂养,6112,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
15,喂养,6113,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,CET_CHANGE_VALUE,CVT_HUNGERY,30,CET_CHANGE_CONTRIBUTION,1,,,,,,,,CCT_PHASE_IN,CP_CHILD,CP_ADULT,CCT_VALUE_NOT_FULL,CVT_HUNGERY,,,,,CET_CHANGE_CONTRIBUTION,1,,0
