skill,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,change_conditions.conditions.type,change_conditions.conditions.arg,change_conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,child_conditions.conditions.type,child_conditions.conditions.arg,child_conditions.conditions.arg,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg
800111,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,101,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
800112,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,3,CCT_VALUE_GE,CVT_SKILL_EXP,200
800113,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,3,CCT_VALUE_GE,CVT_SKILL_EXP,300
800114,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,3,CCT_VALUE_GE,CVT_SKILL_EXP,400
800211,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,5,CCT_VALUE_GE,CVT_SKILL_EXP,500
800212,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,5,CCT_VALUE_GE,CVT_SKILL_EXP,700
800213,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,5,CCT_VALUE_GE,CVT_SKILL_EXP,900
800214,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,7,CCT_VALUE_GE,CVT_SKILL_EXP,1100
800311,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,7,CCT_VALUE_GE,CVT_SKILL_EXP,1300
800312,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,7,CCT_VALUE_GE,CVT_SKILL_EXP,1600
800313,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,9,CCT_VALUE_GE,CVT_SKILL_EXP,1900
800314,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,9,CCT_VALUE_GE,CVT_SKILL_EXP,2200
800316,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,9,CCT_VALUE_GE,CVT_SKILL_EXP,2500
800317,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,12,CCT_VALUE_GE,CVT_SKILL_EXP,2800
800318,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,12,CCT_VALUE_GE,CVT_SKILL_EXP,3200
800319,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,12,CCT_VALUE_GE,CVT_SKILL_EXP,3600
800411,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,15,CCT_VALUE_GE,CVT_SKILL_EXP,4000
800412,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,15,CCT_VALUE_GE,CVT_SKILL_EXP,4400
800413,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,15,CCT_VALUE_GE,CVT_SKILL_EXP,4800
800414,,,,COST_ITEM,9053,1,,,,CCT_ACTOR_STAR_GE,101,20,CCT_FAIL,SKILL_LEVEL_MAX,
800511,,,,COST_ITEM,9053,1,CCT_PHASE_IN,CP_TEENAGER,CP_ADULT,CCT_ACTOR_STAR_GE,102,1,CCT_VALUE_GE,CVT_SKILL_EXP,100
