item,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg
9501,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HP,1,15,CET_CHANGE_VALUE,CVT_HP_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9502,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HP,16,30,CET_CHANGE_VALUE,CVT_HP_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9503,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HP,31,37,CET_CHANGE_VALUE,CVT_HP_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9504,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ATTACK,1,15,CET_CHANGE_VALUE,CVT_ATTACK_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9505,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ATTACK,16,30,CET_CHANGE_VALUE,CVT_ATTACK_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9506,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ATTACK,31,37,CET_CHANGE_VALUE,CVT_ATTACK_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9507,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,PHYSICAL_DEFENCE,1,15,CET_CHANGE_VALUE,CVT_DEFENCE_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9508,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,PHYSICAL_DEFENCE,16,30,CET_CHANGE_VALUE,CVT_DEFENCE_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9509,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,PHYSICAL_DEFENCE,31,37,CET_CHANGE_VALUE,CVT_DEFENCE_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9510,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,BOOM_RATE,1,15,CET_CHANGE_VALUE,CVT_BOOM_RATE_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9511,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,BOOM_RATE,16,30,CET_CHANGE_VALUE,CVT_BOOM_RATE_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9512,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,BOOM_RATE,31,37,CET_CHANGE_VALUE,CVT_BOOM_RATE_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9513,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HIT_RATE,1,15,CET_CHANGE_VALUE,CVT_HIT_RATE_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9514,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HIT_RATE,16,30,CET_CHANGE_VALUE,CVT_HIT_RATE_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9515,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,HIT_RATE,31,37,CET_CHANGE_VALUE,CVT_HIT_RATE_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9516,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ANTI_BOOM,1,15,CET_CHANGE_VALUE,CVT_ANTI_BOOM_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9517,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ANTI_BOOM,16,30,CET_CHANGE_VALUE,CVT_ANTI_BOOM_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9518,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,ANTI_BOOM,31,37,CET_CHANGE_VALUE,CVT_ANTI_BOOM_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
9519,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,DODGE_RATE,1,15,CET_CHANGE_VALUE,CVT_DODGE_RATE_EXP,300,CET_CHANGE_CONTRIBUTION,1,
9520,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,DODGE_RATE,16,30,CET_CHANGE_VALUE,CVT_DODGE_RATE_EXP,500,CET_CHANGE_CONTRIBUTION,1,
9521,CCT_PHASE_IN,CP_CHILD,CP_ADULT,,CCT_STUDY_LEVEL_IN,DODGE_RATE,31,37,CET_CHANGE_VALUE,CVT_DODGE_RATE_EXP,1000,CET_CHANGE_CONTRIBUTION,1,
