id,icon,name,male,arg,arg,arg,need.part,need.pttid,repell
110001,ui/nielian/1-0-chuncainv,原始,False,mouse6/sc0,mouse6/xc0,mouse6/sd,,,
111001,ui/nielian/1-1-chuncainv,一号,False,mouse6/sc1,mouse6/xc1,mouse6/sd,,,
112001,ui/nielian/1-2-chuncainv,二号,False,mouse6/sc2,mouse6/xc2,mouse6/sd,,,
113001,ui/nielian/1-3-chuncainv,三号,False,mouse6/sc3,mouse6/xc3,mouse6/sd,,,
110002,ui/nielian/2-0-chuncainv,原始,False,mouse1/sc0,mouse1/xc0,mouse1/sd,,,
111002,ui/nielian/2-1-chuncainv,一号,False,mouse1/sc1,mouse1/xc1,mouse1/sd,,,
112002,ui/nielian/2-2-chuncainv,二号,False,mouse1/sc2,mouse1/xc2,mouse1/sd,,,
113002,ui/nielian/2-3-chuncainv,三号,False,mouse1/sc3,mouse1/xc3,mouse1/sd,,,
110003,ui/nielian/3-0-chuncainv,原始,False,mouse2/sc0,mouse2/xc0,mouse2/sd,,,
111003,ui/nielian/3-1-chuncainv,一号,False,mouse2/sc1,mouse2/xc1,mouse2/sd,,,
112003,ui/nielian/3-2-chuncainv,二号,False,mouse2/sc2,mouse2/xc2,mouse2/sd,,,
113003,ui/nielian/3-3-chuncainv,三号,False,mouse2/sc3,mouse2/xc3,mouse2/sd,,,
110004,ui/nielian/4-0-chuncainv,原始,False,mouse3/sc0,mouse3/xc0,mouse3/sd,,,
111004,ui/nielian/4-1-chuncainv,一号,False,mouse3/sc1,mouse3/xc1,mouse3/sd,,,
112004,ui/nielian/4-2-chuncainv,二号,False,mouse3/sc2,mouse3/xc2,mouse3/sd,,,
113004,ui/nielian/4-3-chuncainv,三号,False,mouse3/sc3,mouse3/xc3,mouse3/sd,,,
110005,ui/nielian/5-0-chuncainv,原始,False,mouse4/sc0,mouse4/xc0,mouse4/sd,,,
111005,ui/nielian/5-1-chuncainv,一号,False,mouse4/sc1,mouse4/xc1,mouse4/sd,,,
