id,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft,stars.star,stars.craft
1,1,QI_ZHI,3,QI_ZHI,6,WU_YI,9,WU_YI,12,WU_YI,15,QI_ZHI
2,1,QI_ZHI,3,LING_HUI,6,QI_ZHI,9,LING_HUI,12,QI_ZHI,15,LING_HUI
3,1,LING_HUI,3,QI_ZHI,6,LING_HUI,9,QI_ZHI,12,LING_HUI,15,QI_ZHI
4,1,WU_YI,3,QI_ZHI,6,WU_YI,9,QI_ZHI,12,WU_YI,15,QI_ZHI
5,1,KOU_CAI,3,QI_ZHI,6,KOU_CAI,9,KOU_CAI,12,KOU_CAI,15,KOU_CAI
6,1,QIAO_SHOU,3,QI_ZHI,6,QIAO_SHOU,9,QI_ZHI,12,QIAO_SHOU,15,QI_ZHI
7,1,YI_LI,3,QIAO_SHOU,6,YI_LI,9,QIAO_SHOU,12,YI_LI,15,QIAO_SHOU
8,1,WU_YI,3,YI_LI,6,WU_YI,9,YI_LI,12,WU_YI,15,YI_LI
9,1,LING_HUI,3,QI_ZHI,6,LING_HUI,9,QI_ZHI,12,LING_HUI,15,QI_ZHI
10,1,YI_LI,3,WU_YI,6,YI_LI,9,WU_YI,12,YI_LI,15,WU_YI
11,1,QI_ZHI,3,QI_ZHI,6,WU_YI,9,LING_HUI,12,WU_YI,15,QI_ZHI
12,1,WU_YI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
13,1,WU_YI,3,QI_ZHI,6,WU_YI,9,LING_HUI,12,WU_YI,15,LING_HUI
14,1,QI_ZHI,3,WU_YI,6,YI_LI,9,LING_HUI,12,LING_HUI,15,LING_HUI
15,1,LING_HUI,3,LING_HUI,6,WU_YI,9,QI_ZHI,12,LING_HUI,15,WU_YI
16,1,QIAO_SHOU,3,QI_ZHI,6,QIAO_SHOU,9,QI_ZHI,12,QIAO_SHOU,15,QI_ZHI
17,1,YI_LI,3,LING_HUI,6,YI_LI,9,LING_HUI,12,YI_LI,15,LING_HUI
18,1,QI_ZHI,3,QI_ZHI,6,YI_LI,9,WU_YI,12,WU_YI,15,WU_YI
19,1,LING_HUI,3,QI_ZHI,6,LING_HUI,9,QIAO_SHOU,12,QIAO_SHOU,15,LING_HUI
20,1,QIAO_SHOU,3,QI_ZHI,6,WU_YI,9,LING_HUI,12,WU_YI,15,LING_HUI
