id,quest,min_level,max_level,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg
1,2001,1,999,ADD_RESOURCE,EXP,300,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
2,2002,999,999,ADD_RESOURCE,EXP,0,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,0,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,0
3,2003,1,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
4,2004,1,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
5,2005,25,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
6,2006,25,50,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
7,2007,1,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
8,2008,1,999,ADD_RESOURCE,EXP,250,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
9,2009,1,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
10,2010,25,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
11,2011,35,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
12,2012,1,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
13,2013,25,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
14,2014,18,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
15,2015,18,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
16,2016,18,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
17,2017,30,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
18,2018,33,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
19,2019,27,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
20,2020,27,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
21,2021,27,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
22,2022,45,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
23,2023,31,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
24,2024,50,999,ADD_RESOURCE,EXP,200,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
25,2025,45,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
26,2026,999,999,ADD_RESOURCE,EXP,0,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,0,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,0
27,2027,45,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
28,2028,45,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
29,2029,1,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
30,2030,1,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
31,2031,60,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
32,2032,1,999,ADD_RESOURCE,EXP,150,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
33,2033,28,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
34,2034,28,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
35,2035,1,999,ADD_RESOURCE,EXP,100,ADD_RESOURCE,EVERYDAY_QUEST_SCORE,5,ADD_RESOURCE,EVERYDAY_QUEST_WEEK_SCORE,5
