id,type,name,describe,unlock_desc,show,small_show,plots,plots,bgm
1,CG,对决,剑融意远，歧路遥，意难决。,完成主线第一章第三关,plot/scg_duijue,icon/feige/small_duijue,601700,701700,music/jinzhang4
2,CG,泪水,月悬沽空，美人垂泪，天，何时明？,完成主线第一章第五关,plot/scg_yuexiajuntao,icon/feige/small_yuexiajuntao,601802,701802,music/shuqing1
3,CG,凝视,目掩高树下，星雨浸残衫。,完成主线第一章第五关,plot/scg_yuexiatuobajun,icon/feige/small_yuexiatuobajun,601801,701801,music/shuqing1
4,CG,烈焰中的身姿,红莲尽艳，比不过，绰绰身姿。,完成主线第一章第十关,plot/scg_huoyanmache,icon/feige/small_huoyanmache,602602,702602,music/huihong1
5,CG,一夫当关,长刀握，千钧破，任他谁来奈我何？,完成主线第十九章第十一关,plot/scg_chiyunnannormal,icon/feige/small_chiyunnannormal,621801,721801,music/jinzhang2
6,CG,蔑笑,笑语间，狼入羊群，歃血止渴。,完成主线第十九章第十一关,plot/scg_chiyunnansmile,icon/feige/small_chiyunnansmile,621802,721802,music/jinzhang2
7,CG,夏日欢,鸿雁长飞光不度，鱼龙潜跃水成文。,完成第十八章隐忍支线,plot/scg_limindexishui,icon/feige/small_xishui,1171700,2171700,music/yuehui
8,CG,抚琴,一弹新月白，数曲暮山青。,完成拓跋瑾飞鸽传书：政务,plot/scg_tobajintanqin,icon/feige/small_tanqin,40025104,50025104,music/shuqing2
9,CG,噤声,作为一步错棋，你已无处可逃。,完成主线第七章第十二关,plot/scg_tuobayubidong,icon/feige/small_bidong,608903,708903,music/jipo
10,CG,晚凉新浴,浴兰汤兮沐芳，华采衣兮若英。,完成高月离飞鸽传书：神秘邀约,plot/scg_gaoyuelixizao,icon/feige/small_xizao,40051101,50051101,music/shuqing2
11,CG,春暖,曲终人不见，江上数峰青。,完成主线第四章第一关,plot/scg_limindechuidi,icon/feige/small_chuidi,605100,705100,music/dizi1
12,CG,鸾歌凤舞,吴刀翦彩缝舞衣，扬眉转袖若雪飞。,完成主线第三十五章第一关,plot/scg_lichangletiaowu,icon/feige/small_changletiaowu,635101,735101,music/shenqing
13,CG,回眸,宝马雕车香满路。凤箫声动，玉壶光转，一夜鱼龙舞。,完成拓跋迪飞鸽传书：夜市,plot/scg_tuobadiguangjie,icon/feige/small_tuobadiguangjie,40011100,50011100,music/richang2
14,CG,贺寿,热闹欢腾的寿宴之中，却似是潜藏着危险的暗流。,完成主线第三章第十二关,plot/scg_tuobayuhetuobajin,icon/feige/small_tuobayuhetuobajin,604800,704800,music/chenzhong1
15,CG,对弈,本王虽精通棋术，但与你对弈，却处处皆是失守了。,完成拓跋余飞鸽传书：谪仙之人,plot/scg_tuobayuxiaqi,icon/feige/small_tuobayuxiaqi,40071100,50071100,music/xuanyi2
16,CG,挽雕弓,这世间至快，亦是快不过我的箭。,完成叱云南飞鸽传书：良弓,plot/scg_chiyunnanshejian,icon/feige/small_chiyunnanshejian,40011100,50011100,music/shuqing2
17,CG,醉卧星河,醉后不知天在水，满船清梦压星河。,完成拓跋浚飞鸽传书：白沙洲,plot/scg_tuobajucetang,icon/feige/small_tuobajuncetang,40086100,50086100,music/aiqing
18,CG,纸上之念,静静看着她身上披着月光，不想打破这一刻的宁静。,完成李未央飞鸽传书：遗失的书,plot/scg_liweiyangzhezhi,icon/feige/small_liweiyangzhezhi,40051100,50051100,music/shuqing1
19,CG,月影流萤,晶莹的绿光停在李长乐周围，像是漫天星河铺洒到人间。,完成李长乐飞鸽传书：解决之道,plot/scg_yinghuochonglichangle,icon/feige/small_yinghuochonglichangle,40062102,50062102,music/shenqing
20,CG,暮光飞鸿,傍水断云含暮色，拂檐高竹借秋声。,完成拓跋瑾飞鸽传书：宫宴受邀,plot/scg_tuobajinxiyang,icon/feige/small_tuobajinxiyang,40041100,50041100,music/shuqing2
21,CG,冷月如霜,苍月如霜，一度良夜一度飞光。,完成李敏德飞鸽传书：落霞,plot/scg_yuexialiminde,icon/feige/small_yuexialiminde,40036100,50036100,music/shuqing3
22,CG,探望,看着常茹尽力让自己表现的没事，却更让我担心。,完成李常茹飞鸽传书：病中,plot/scg_lichangruwochuang,icon/feige/small_lichangruwochuang,40093100,50093100,music/shuqing1
1001,MINGYUN,为爱而逝,,,,,1010300,2010300,
1002,MINGYUN,鲁莽拒绝,,,,,1020200,2020200,
1003,MINGYUN,窃取玉佩,,,,,1030600,2030600,
1004,MINGYUN,身份败露,,,,,1040300,2040300,
1005,MINGYUN,外子之灾,,,,,1050300,2050300,
1006,MINGYUN,巫蛊邪术,,,,,1061300,2061300,
1007,MINGYUN,七夕乞巧,,,,,1071000,2071000,
1008,MINGYUN,噬魂毒香,,,,,1080900,2080900,
1009,MINGYUN,丫鬟遇险,,,,,1091100,2091100,
1010,MINGYUN,花事未央,,,,,1101900,2101900,
1011,MINGYUN,外戚入京,,,,,1112000,2112000,
1012,MINGYUN,指婚之祸,,,,,1122000,2122000,
1013,MINGYUN,身份疑云,,,,,1131900,2131900,
1014,MINGYUN,锦绣霓裳,,,,,1143000,2143000,
1015,MINGYUN,初显锋芒,,,,,1151700,2151700,
1016,MINGYUN,茕茕白兔,,,,,1161900,2161900,
1017,MINGYUN,归隐山水,,,,,1171700,2171700,
1018,MINGYUN,朱砂劫,,,,,1182000,2182000,
1019,MINGYUN,问剑草庐,,,,,1191900,2191900,
1020,MINGYUN,风满楼,,,,,1202000,2202000,
