id,female_title,male_title,female_content,male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,comments.name,comments.icon,comments.celebrity,comments.female_content,comments.male_content,read_events.events.type,read_events.events.arg,read_events.events.arg
1,原北凉河西王蓄意谋反，叱云将军携皇令灭门,原北凉河西王蓄意谋反，叱云将军携皇令灭门,近日，传闻原北凉河西王假借回府探亲，蓄意谋反。被朝廷得知后，派出大将军叱云南，尚书李萧然之子李敏峰迅速赶往北凉，将其一举拿下。目前该消息已被证实，河西王府皆认罪伏诛，全门抄斩。\n原已归顺大魏的河西王因何而反，如今还是个谜，而据小道消息称，实际上北凉王府尚有一位公主在逃，下落不明……,近日，传闻原北凉河西王假借回府探亲，蓄意谋反。被朝廷得知后，派出大将军叱云南，尚书李萧然之子李敏峰迅速赶往北凉，将其一举拿下。目前该消息已被证实，河西王府皆认罪伏诛，全门抄斩。\n原已归顺大魏的河西王因何而反，如今还是个谜，而据小道消息称，实际上北凉王府尚有一位皇子在逃，下落不明……,纤夫孔顺,icon/touxiang/touxiang_yishi,False,我大魏好心收他归顺，这北凉果然是养不熟的狼，该杀该杀。,我大魏好心收他归顺，这北凉果然是养不熟的狼，该杀该杀。,茶馆张大爷,icon/touxiang/touxiang_taiyi,False,没经审讯直接诛杀满门，这个手段，啧啧啧。,没经审讯直接诛杀满门，这个手段，啧啧啧。,浣纱坊孙萍萍,icon/touxiang/touxiang_wuling,False,有个公主逃了？我觉得说不定另有隐情，此事究竟能不能水落石出呢？,有个皇子逃了？我觉得说不定另有隐情，此事究竟能不能水落石出呢？,李敏峰,icon/touxiang/touxiang_liminfeng,True,我等奉朝廷之命，缉拿叛党。北凉余孽，罪无可恕！,我等奉朝廷之命，缉拿叛党。北凉余孽，罪无可恕！,,,,,,ADD_RESOURCE,DIAMOND,5
2,尚书府老夫人寿宴，受皇上亲封,尚书府老夫人寿宴，受皇上亲封,尚书李萧然府上老夫人昨日寿辰，一时间李府门庭若市，各路朝中大臣，王公贵胄俱皆到场前来祝寿，因李尚书之子李敏峰先日缉拿原河西王有功，获得朝廷重赏，其祖母李府老夫人也因此获封，南平王、南安王亲自赐封，好不显贵！,尚书李萧然府上老夫人昨日寿辰，一时间李府门庭若市，各路朝中大臣，王公贵胄俱皆到场前来祝寿，因李尚书之子李敏峰先日缉拿原河西王有功，获得朝廷重赏，其祖母李府老夫人也因此获封，南平王、南安王亲自赐封，好不显贵！,面馆刘大头,icon/touxiang/touxiang_puren,False,这李尚书现在官场如日中天，李家小子也这般有出息，恐怕李府要飞黄腾达了。,这李尚书现在官场如日中天，李家小子也这般有出息，恐怕李府要飞黄腾达了。,浣纱坊孙茹茹,icon/touxiang/touxiang_yueling,False,我看到好像还有表演舞狮的呢？有钱人家就是不一样。,我看到好像还有表演舞狮的呢？有钱人家就是不一样。,浣纱坊孙萍萍,icon/touxiang/touxiang_wuling,False,啧，有什么好羡慕的，这种大门大户指不定里头多么勾心斗角呢。,啧，有什么好羡慕的，这种大门大户指不定里头多么勾心斗角呢。,老夫人,icon/touxiang/touxiang_lilaofuren,True,老身何德何能，受陛下封赏。全靠小辈光耀门楣，我李府未来有望啊。,老身何德何能，受陛下封赏。全靠小辈光耀门楣，我李府未来有望啊。,,,,,,ADD_RESOURCE,DIAMOND,5
3,大魏遭遇数十年不遇的大荒旱，难民纷纷外逃,大魏遭遇数十年不遇的大荒旱，难民纷纷外逃,大魏遭遇荒旱，已有数月未曾降雨，庄稼旱死田中，颗粒无收。目前荒旱已经蔓延至冀州等地，难民数目急剧增加。\n各地纷纷采取措施，祈雨祭祀，开仓放粮，但收效甚微。目前难民纷纷逃离原地，甚至有趋势赶往平城，朝廷全国征集良策，望有识之士献上救济之策，保我大魏。,大魏遭遇荒旱，已有数月未曾降雨，庄稼旱死田中，颗粒无收。目前荒旱已经蔓延至冀州等地，难民数目急剧增加。\n各地纷纷采取措施，祈雨祭祀，开仓放粮，但收效甚微。目前难民纷纷逃离原地，甚至有趋势赶往平城，朝廷全国征集良策，望有识之士献上救济之策，保我大魏。,书局孟莲儿,icon/touxiang/touxiang_yueling,False,开仓放粮，我怎么不太信呢？,开仓放粮，我怎么不太信呢？,司舞楼白落雁,icon/touxiang/touxiang_wuling,False,我老家的亲戚已经联络不上了，教人家好生担心。,我老家的亲戚已经联络不上了，教人家好生担心。,医馆柳闭月,icon/touxiang/touxiang_yahuan,False,我看平城周边的溪流都已经干涸了，平城尚且如此，不敢想象外面得多可怕。,我看平城周边的溪流都已经干涸了，平城尚且如此，不敢想象外面得多可怕。,拓跋翰,icon/touxiang/touxiang_tuobazhen,True,朝廷正在极力抗灾，切莫恐慌。,朝廷正在极力抗灾，切莫恐慌。,李萧然,icon/touxiang/touxiang_lixiaoran,True,广大民众若有良策，望积极献策，切莫延误灾情。,广大民众若有良策，望积极献策，切莫延误灾情。,ADD_RESOURCE,DIAMOND,5
4,尚书府大小姐李长乐进宫献策，缓解灾情义不容辞,尚书府大小姐李长乐进宫献策，缓解灾情义不容辞,听闻今日尚书府小姐李长乐进宫献策，未曾想平城第一美人，不仅琴棋书画样样精通，还通晓政事计策，着实是巾帼不让须眉。\n据宫中当差之人说当日李小姐献策，从善如流，调理明晰，皇上连连夸赞。而李小姐则说：护我大魏，本就是义不容辞之事。不知此计能否对缓解灾情有所帮助呢，还需我们拭目以待。,听闻今日尚书府小姐李长乐进宫献策，未曾想平城第一美人，不仅琴棋书画样样精通，还通晓政事计策，着实是巾帼不让须眉。\n据宫中当差之人说当日李小姐献策，从善如流，调理明晰，皇上连连夸赞。而李小姐则说：护我大魏，本就是义不容辞之事。不知此计能否对缓解灾情有所帮助呢，还需我们拭目以待。,卖花郎李群,icon/touxiang/touxiang_puren,False,我有幸卖花见过一次这位李大小姐，当真是连花儿见了都要羞愧三分的大美人呀！,我有幸卖花见过一次这位李大小姐，当真是连花儿见了都要羞愧三分的大美人呀！,眷春楼方如是,icon/touxiang/touxiang_wuling,False,平城第一美人，谁封的？敢情儿比奴家我还要漂亮不成？,平城第一美人，谁封的？敢情儿比奴家我还要漂亮不成？,教书先生洛成盒,icon/touxiang/touxiang_wenren,False,啧啧，美人要的是才貌俱全，隔江犹唱的野鸡就不要来比美了。,啧啧，美人要的是才貌俱全，隔江犹唱的野鸡就不要来比美了。,富贵公子苟到底,icon/touxiang/touxiang_wenhao,False,我看看谁敢说我家如是妹妹的坏话，给我如是妹妹疯狂站街！,我看看谁敢说我家如是妹妹的坏话，给我如是妹妹疯狂站街！,李长乐,icon/touxiang/touxiang_lichangle,True,我自幼父亲便教我饱读诗书，如今便是报国之时。,我自幼父亲便教我饱读诗书，如今便是报国之时。,ADD_RESOURCE,DIAMOND,5
5,李府二小姐力挽狂澜，解决灾情，受赐获封,李府二少爷力挽狂澜，解决灾情，受赐获封,前日尚书府李长乐、李敏峰联合献计，怎料出现巨大纰漏，导致计策实行不利，延误灾情。皇上大怒要治其罪，再次危难之际，李府二小姐力挽狂澜，再献一计，顺利解决灾情。龙颜大悦，赏赐金银财物并获得封地，未曾想李府这名不见经传的二女还有如此才智，实在令人刮目相看。,前日尚书府李长乐、李敏峰联合献计，怎料出现巨大纰漏，导致计策实行不利，延误灾情。皇上大怒要治其罪，再次危难之际，李府二少爷力挽狂澜，再献一计，顺利解决灾情。龙颜大悦，赏赐金银财物并获得封地，未曾想李府这名不见经传的二子还有如此才智，实在令人刮目相看。,纤夫孔顺,icon/touxiang/touxiang_yishi,False,真是富贵显赫一瞬间啊，我啥时候才能想出个好计策呢？,真是富贵显赫一瞬间啊，我啥时候才能想出个好计策呢？,面馆刘大头,icon/touxiang/touxiang_puren,False,我在李府做过大厨，怎么从来没听说过这个李家老二？,我在李府做过大厨，怎么从来没听说过这个李家老二？,眷春楼方如是,icon/touxiang/touxiang_wuling,False,听说这个李家老二是个庶出，在李府没什么地位的，肯定暗自憋着气呢。,听说这个李家老二是个庶出，在李府没什么地位的，肯定暗自憋着气呢。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
6,平城花灯会，千盏花灯祈平安,平城花灯会，千盏花灯祈平安,又是一年花灯时，各色彩灯交相辉映，流光溢彩。平城民众纷纷出门赏灯观光，好不热闹。\n今年花灯会的主要还是祈求平安，可年轻男女却仍旧相会花灯之下，浓情蜜意，羡煞旁人。据说若是能遇到同样颜色的河灯的青年男女，便可长长久久，携手一生。,又是一年花灯时，各色彩灯交相辉映，流光溢彩。平城民众纷纷出门赏灯观光，好不热闹。\n今年花灯会的主要还是祈求平安，可年轻男女却仍旧相会花灯之下，浓情蜜意，羡煞旁人。据说若是能遇到同样颜色的河灯的青年男女，便可长长久久，携手一生。,司舞楼白落雁,icon/touxiang/touxiang_wuling,False,那闭月怎还不来找我？哼，本姑娘要自己上街！,那闭月怎还不来找我？哼，本姑娘要自己上街！,富贵公子苟到底,icon/touxiang/touxiang_wenhao,False,如是妹妹果然是眷春楼的红人，今日恐怕是约不到了。不过好好的花灯会，那洛成盒找我作甚？,如是妹妹果然是眷春楼的红人，今日恐怕是约不到了。不过好好的花灯会，那洛成盒找我作甚？,医馆柳闭月,icon/touxiang/touxiang_yahuan,False,落雁妹妹莫急，街上不安全，且等等姐姐。,落雁妹妹莫急，街上不安全，且等等姐姐。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
7,神秘男子眷春阁一掷千金，现场客人皆言此人酷似南安王,神秘男子眷春阁一掷千金，现场客人皆言此人酷似南安王,昨日晚间，神秘男子光临东巷最大烟雨楼眷春阁，并一掷千金邀全部美眷伶人吹弹奏唱，一时间全阁大噪，春光无限。\n现场目击客人都说，那个一身黑衣的神秘男子，背影像极了南安王拓跋余……可惜没有一个人看到他的正脸。,昨日晚间，神秘男子光临东巷最大烟雨楼眷春阁，并一掷千金邀全部美眷伶人吹弹奏唱，一时间全阁大噪，春光无限。\n现场目击客人都说，那个一身黑衣的神秘男子，背影像极了南安王拓跋余……可惜没有一个人看到他的正脸。,拓跋余,icon/touxiang/touxiang_tuobayu,True,本王那日没去东巷。,本王那日没去东巷。,茶馆掌柜王玉春,icon/touxiang/touxiang_fushang,False,只见那人身高八尺，气度翩翩，虽一身黑但那衣服料子华贵的咯……啧啧啧，不是南安王还能是谁！,只见那人身高八尺，气度翩翩，虽一身黑但那衣服料子华贵的咯……啧啧啧，不是南安王还能是谁！,吉祥胡同张二狗,icon/touxiang/touxiang_jiading,False,我正好推着板车路过门口，被歌声吓了一跳，抬头一看那满楼的粉色灯火哟……那排场，这辈子都没见过哟……,我正好推着板车路过门口，被歌声吓了一跳，抬头一看那满楼的粉色灯火哟……那排场，这辈子都没见过哟……,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
8,内侍长徐长临实为朝中巨贪，家中私藏万两黄金令人咋舌,内侍长徐长临实为朝中巨贪，家中私藏万两黄金令人咋舌,原内侍长徐长临昨夜因涉嫌贪腐在家中被抓，被抓时因畏罪自缢而死，家中四十二口全部被擒。据透露昨夜在徐长临书房后的密室中发现大量黄金及与地方官员的往来书信，此案涉及金额巨大，大魏开国以来实属罕见。,原内侍长徐长临昨夜因涉嫌贪腐在家中被抓，被抓时因畏罪自缢而死，家中四十二口全部被擒。据透露昨夜在徐长临书房后的密室中发现大量黄金及与地方官员的往来书信，此案涉及金额巨大，大魏开国以来实属罕见。,挑担工李福,icon/touxiang/touxiang_puren,False,哼，克扣民脂民膏的狗官，死不足惜！,哼，克扣民脂民膏的狗官，死不足惜！,教书先生王逆舟,icon/touxiang/touxiang_wangye,False,据说那徐长临之前一直与太子殿下那边走的很近，虽然太子殿下已经不再了，可此事一出，恐怕会连累高阳王哟。,据说那徐长临之前一直与太子殿下那边走的很近，虽然太子殿下已经不再了，可此事一出，恐怕会连累高阳王哟。,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
9,上元佳节平城各处张灯结彩，千盏河灯随波飘摇,上元佳节平城各处张灯结彩，千盏河灯随波飘摇,时值上元佳节，平城各处张灯结彩，闹市之上人声鼎沸，人们结伴出行好一派盛世景象。平城的青年男女纷纷购置河灯在流水处点燃祈福。\n晚些时候皇城之外还燃放了烟火助兴，绚烂的烟火令人惊叹。,时值上元佳节，平城各处张灯结彩，闹市之上人声鼎沸，人们结伴出行好一派盛世景象。平城的青年男女纷纷购置河灯在流水处点燃祈福。\n晚些时候皇城之外还燃放了烟火助兴，绚烂的烟火令人惊叹。,眷春楼丁香,icon/touxiang/touxiang_yuanluoyahuan,False,奴家今日也放了河灯呢，见到一位顶英俊的公子，可惜却不是独身前往，可惜了人家一片芳心了。,奴家今日也放了河灯呢，见到一位顶英俊的公子，可惜却不是独身前往，可惜了人家一片芳心了。,纱坊许二娘,icon/touxiang/touxiang_daniang,False,我家男人终于戍边归来了，虽然瘦了些，脚也跛了，但能回来对我来说才算过了个上元团圆节啊。,我家男人终于戍边归来了，虽然瘦了些，脚也跛了，但能回来对我来说才算过了个上元团圆节啊。,,,,,,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
10,南平王频繁出入尚书府，恐将插手朝政,南平王频繁出入尚书府，恐将插手朝政,近日，以音律修为名噪天下的南平王拓跋瑾殿下频频出入尚书李萧然的府邸，疑似与李萧然交往亲密。南平王早年出宫自立门户，钻研音律不理政事，如今却与当朝尚书频繁见面，莫非是打算重新插手朝政，而此事对将来更立太子的走向又有什么影响呢？一切都还是未知的。,近日，以音律修为名噪天下的南平王拓跋瑾殿下频频出入尚书李萧然的府邸，疑似与李萧然交往亲密。南平王早年出宫自立门户，钻研音律不理政事，如今却与当朝尚书频繁见面，莫非是打算重新插手朝政，而此事对将来更立太子的走向又有什么影响呢？一切都还是未知的。,教书先生王逆舟,icon/touxiang/touxiang_wangye,False,数年没有重立太子，恐怕几个皇子殿下都各有打算吧，不过听闻这南平王殿下与皇上并不太亲近，我不信他会打算夺嫡。,数年没有重立太子，恐怕几个皇子殿下都各有打算吧，不过听闻这南平王殿下与皇上并不太亲近，我不信他会打算夺嫡。,吉祥胡同张二狗,icon/touxiang/touxiang_jiading,False,若说音律南平玩说是第一，没人敢说第二，可朝政他当真能行吗？,若说音律南平玩说是第一，没人敢说第二，可朝政他当真能行吗？,眷春楼丁香,icon/touxiang/touxiang_yuanluoyahuan,False,你们这都是瞎猜，据说南平王殿下其实是看上了尚书府的某位小姐。,你们这都是瞎猜，据说南平王殿下其实是看上了尚书府的某位小姐。,,,,,,,,,,,ADD_RESOURCE,DIAMOND,5
