id,delay,content,responses.content,responses.next_messages,responses.content,responses.next_messages,responses.content,responses.next_messages
1,1.5,看到信的时候想必姑娘已经平安到家了，伤势如何？#回去的路上一直在想你的事，那几个黑衣人我已经派人去调查了。,是高阳王殿下吗？谢谢您今天救了我，我已经没事了，劳烦您挂心。,2,我看到了信鸽脚上的铭牌，是高阳王殿下吗？没想到您还记挂着我。,33,没想到高阳王殿下会给我写信，我一切安好，黑衣人的事劳烦您费心了。,64
2,1.5,姑娘没事我就安心了。不用叫我高阳王，更不用叫我殿下，叫我拓跋浚吧。,殿下，您说笑了。您是我的救命恩人，更是高阳王，怎可对您直呼名讳……,3,自幼习得长幼尊卑之别，怎可直呼殿下名讳？何况还是我的救命恩人……小女不敢。,13,我很乐意。可是，这若是被别人知道了……,23
3,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#我们这般有缘，我希望姑娘能把我当做朋友，不知可否？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,4,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,7,殿下果然潇洒！能与殿下结识，我也很开心。,10
4,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,5,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,6,,
5,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
6,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
7,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,8,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,9,,
8,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
9,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
10,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,11,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,12,,
11,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
12,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
13,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#姑娘既然这般尊重我，何不听从我的建议呢？希望姑娘能把我当朋友。,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,14,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,17,殿下果然潇洒！能与殿下结识，我也很开心。,20
14,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,15,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,16,,
15,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
16,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
17,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,18,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,19,,
18,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
19,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
20,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,21,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,22,,
21,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
22,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
23,1.5,姑娘这是答应了吗？果然我没有看错，姑娘并非凡俗之子。#我很开心，有这般缘分，认识姑娘。而他人怎样，又与我们何干？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,24,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,27,殿下果然潇洒！能与殿下结识，我也很开心。,30
24,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,25,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,26,,
25,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
26,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
27,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,28,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,29,,
28,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
29,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
30,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,31,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,32,,
31,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
32,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
33,1.5,那是自然。姑娘，不用叫我高阳王，更不用叫我殿下，叫我拓跋浚吧。,殿下，您说笑了。您是我的救命恩人，更是高阳王，怎可对您直呼名讳……,34,自幼习得长幼尊卑之别，怎可直呼殿下名讳？何况还是我的救命恩人……小女不敢。,44,我很乐意。可是，这若是被别人知道了……,54
34,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#我们这般有缘，我希望姑娘能把我当做朋友，不知可否？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,35,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,38,殿下果然潇洒！能与殿下结识，我也很开心。,41
35,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,36,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,37,,
36,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
37,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
38,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,39,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,40,,
39,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
40,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
41,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,42,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,43,,
42,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
43,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
44,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#姑娘既然这般尊重我，何不听从我的建议呢？希望姑娘能把我当朋友。,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,45,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,48,殿下果然潇洒！能与殿下结识，我也很开心。,51
45,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,46,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,47,,
46,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
47,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
48,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,49,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,50,,
49,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
50,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
51,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,52,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,53,,
52,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
53,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
54,1.5,姑娘这是答应了吗？果然我没有看错，姑娘并非凡俗之子。#我很开心，有这般缘分，认识姑娘。而他人怎样，又与我们何干？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,55,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,58,殿下果然潇洒！能与殿下结识，我也很开心。,61
55,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,56,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,57,,
56,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
57,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
58,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,59,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,60,,
59,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
60,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
61,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,62,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,63,,
62,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
63,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
64,1.5,姑娘没事我就安心了。不用叫我高阳王，更不用叫我殿下，叫我拓跋浚吧。,殿下，您说笑了。您是我的救命恩人，更是高阳王，怎可对您直呼名讳……,65,自幼习得长幼尊卑之别，怎可直呼殿下名讳？何况还是我的救命恩人……小女不敢。,75,我很乐意。可是，这若是被别人知道了……,85
65,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#我们这般有缘，我希望姑娘能把我当做朋友，不知可否？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,66,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,69,殿下果然潇洒！能与殿下结识，我也很开心。,72
66,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,67,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,68,,
67,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
68,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
69,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,70,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,71,,
70,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
71,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
72,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,73,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,74,,
73,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
74,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
75,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#姑娘既然这般尊重我，何不听从我的建议呢？希望姑娘能把我当朋友。,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,76,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,79,殿下果然潇洒！能与殿下结识，我也很开心。,82
76,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,77,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,78,,
77,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
78,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
79,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,80,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,81,,
80,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
81,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
82,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,83,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,84,,
83,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
84,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
85,1.5,姑娘这是答应了吗？果然我没有看错，姑娘并非凡俗之子。#我很开心，有这般缘分，认识姑娘。而他人怎样，又与我们何干？,虽然你救了我，可你我毕竟只是第一次相见，小女惶恐……,86,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,89,殿下果然潇洒！能与殿下结识，我也很开心。,92
86,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,87,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,88,,
87,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
88,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
89,1.5,总感觉和姑娘似曾相识，始终挂怀，而姑娘这般容貌，很容易就打听到了。#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,90,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,91,,
90,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
91,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
92,1.5,怎么还称呼我殿下？总感觉和姑娘似曾相识，仿佛我们已经认识很久了……#姑娘若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,93,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,94,,
93,1.5,我也是，很高兴认识你，我以后会经常和二小姐联络的。,,,,,,
94,1.5,心之昭昭，日月可鉴。我会再传书于你，望能收到你的回信。,,,,,,
95,1.5,看到信的时候想必你已经平安到家了，伤势如何？#回去的路上一直在想你的事，那几个黑衣人我已经派人去调查了。,是高阳王殿下吗？谢谢您今天救了我，我已经没事了，劳烦您挂心。,96,我看到了信鸽脚上的铭牌，是高阳王殿下吗？没想到您还记挂着我。,127,没想到高阳王殿下会给我写信，我一切安好，黑衣人的事劳烦您费心了。,158
96,1.5,你没事我就安心了。不用叫我高阳王，更不用叫我殿下，叫我拓跋浚吧。,殿下，您说笑了。您是我的救命恩人，更是高阳王，怎可对您直呼名讳……,97,自幼习得长幼尊卑之别，怎可直呼殿下名讳？何况还是我的救命恩人……,107,我很乐意。可是，这若是被别人知道了……,117
97,1.5,可我觉得高阳王，殿下这些称呼，很疏离，我不喜欢。#我们这般有缘，我希望你能把我当做朋友，不知可否？,虽然你救了我，可你我毕竟只是第一次相见，在下惶恐……,98,我有些好奇，你是如何知道我的身份的？我进到李府还不到一日。,101,殿下果然潇洒！能与殿下结识，我也很开心。,104
98,1.5,可是看到你，我就感觉很熟悉，仿佛我们曾见过面，或是已经认识很久了……#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,99,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,100,,
99,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
100,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
101,1.5,总感觉和你似曾相识，始终挂怀，而你这般容貌，很容易就打听到了。#你若是不嫌弃，交个朋友吧！不是和高阳王，而是和拓跋浚。,好的……嗯……拓跋浚，谢谢你，很高兴认识你。,102,真的可以和殿下做朋友吗？殿下莫不是在调笑于我？,103,,
102,1.5,我也是，很高兴认识你，我以后会经常和二少爷联络的。,,,,,,
103,1.5,哈哈，我会再传书于你，望能收到你的回信。,,,,,,
