id,name,actor,start_responses.content,start_responses.next_messages,start_responses.content,start_responses.next_messages,start_responses.content,start_responses.next_messages,start_messages,end_plot,finish_events.events.type,finish_events.events.arg,finish_events.events.arg,finish_events.events.arg,finish_events.events.type,finish_events.events.arg,finish_events.events.arg,finish_events.events.arg,finish_events.events.type,finish_events.events.arg,finish_events.events.arg,finish_events.events.arg
1,信笺,102,,,,,,,1,,ADD_ITEM,102,1,,,,,,,,,
10001,信笺,102,,,,,,,95,,ADD_ITEM,102,1,,,,,,,,,
2,莫要嚣张,222,,,,,,,189,,ADD_ITEM,222,1,,,,,,,,,
3,七姨娘,216,,,,,,,202,,ADD_ITEM,216,1,,,,,,,,,
4,祝寿,512,,,,,,,215,,ADD_RESOURCE,DIAMOND,50,,,,,,,,,
5,计策,106,,,,,,,228,,ADD_ITEM,106,1,,,,,,,,,
6,营救敏峰,211,,,,,,,241,,ADD_ITEM,211,1,,,,,,,,,
7,威胁,210,,,,,,,281,,ADD_ITEM,210,1,,,,,,,,,
8,药,105,,,,,,,294,,ADD_ITEM,105,1,,,,,,,,,
10008,药,105,,,,,,,307,,ADD_ITEM,105,1,,,,,,,,,
9,邀约,103,,,,,,,320,,ADD_ITEM,103,1,,,,,,,,,
10009,邀约,103,,,,,,,333,,ADD_ITEM,103,1,,,,,,,,,
10,黄泉之人,102,,,,,,,346,,ADD_ITEM,102,1,,,,,,,,,
11,祝寿,103,,,,,,,386,,ADD_ITEM,103,1,,,,,,,,,
10011,祝寿,103,,,,,,,426,,ADD_ITEM,103,1,,,,,,,,,
12,入狱,103,,,,,,,466,,ADD_ITEM,103,1,,,,,,,,,
10012,入狱,103,,,,,,,506,,ADD_ITEM,103,1,,,,,,,,,
13,七姨娘,101,,,,,,,546,,ADD_ITEM,101,1,,,,,,,,,
10013,七姨娘,101,,,,,,,640,,ADD_ITEM,101,1,,,,,,,,,
14,花灯节,101,,,,,,,734,,ADD_ITEM,101,1,,,,,,,,,
10014,花灯节,101,,,,,,,855,,ADD_ITEM,101,1,,,,,,,,,
15,送衣服,101,此番身陷囹吾，归来又遇到冒充认亲之事，一时间竟忘了答谢敏德送衣之恩。,976,,,,,,40033100,ADD_ITEM,101,1,,,,,,,,,
10015,送衣服,101,此番身陷囹吾，归来又遇到冒充认亲之事，一时间竟忘了答谢敏德送衣之恩。,1016,,,,,,50033100,ADD_ITEM,101,1,,,,,,,,,
16,有关北凉,101,,,,,,,1056,,ADD_ITEM,101,1,,,,,,,,,
10016,有关北凉,101,,,,,,,1150,,ADD_ITEM,101,1,,,,,,,,,
17,关于拓跋余,110,,,,,,,1244,,ADD_ITEM,110,1,,,,,,,,,
10017,关于拓跋余,110,,,,,,,1284,,ADD_ITEM,110,1,,,,,,,,,
18,绝食,110,,,,,,,1324,40016100,ADD_ITEM,110,1,,,,,,,,,
10018,质问,110,,,,,,,1418,50016100,ADD_ITEM,110,1,,,,,,,,,
19,护送,110,,,,,,,1512,40017100,ADD_ITEM,110,1,,,,,,,,,
