level,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,organizer_rewards.events.type,organizer_rewards.events.arg,organizer_rewards.events.arg,attendee_rewards.events.type,attendee_rewards.events.arg,attendee_rewards.events.arg,organizer_extra_rewards.events.type,organizer_extra_rewards.events.arg,organizer_extra_rewards.events.arg,attendee_extra_rewards.events.type,attendee_extra_rewards.events.arg,attendee_extra_rewards.events.arg
1,ADD_RESOURCE,MANSION_FURNITURE_COIN,550,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,210,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
2,ADD_RESOURCE,MANSION_FURNITURE_COIN,600,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,220,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
3,ADD_RESOURCE,MANSION_FURNITURE_COIN,650,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,230,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
4,ADD_RESOURCE,MANSION_FURNITURE_COIN,700,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,240,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
5,ADD_RESOURCE,MANSION_FURNITURE_COIN,750,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,250,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
6,ADD_RESOURCE,MANSION_FURNITURE_COIN,800,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,260,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
7,ADD_RESOURCE,MANSION_FURNITURE_COIN,850,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,270,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
8,ADD_RESOURCE,MANSION_FURNITURE_COIN,900,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,280,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
9,ADD_RESOURCE,MANSION_FURNITURE_COIN,950,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,290,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
10,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,GOLD,50000,ADD_RESOURCE,MANSION_FURNITURE_COIN,300,ADD_RESOURCE,MANSION_FURNITURE_COIN,1000,ADD_RESOURCE,DIAMOND,30
