level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,QI_ZHI,COST_RESOURCE,FRT_MONEY,12,,,,ADD_RESOURCE,FRT_MONEY,3,,ADD_RESOURCE,FRT_MONEY,4,,ADD_RESOURCE,FRT_MONEY,5,,6055,6056,6057,449,,5,1,4,5
2,QI_ZHI,COST_RESOURCE,FRT_MONEY,30,,,,ADD_RESOURCE,FRT_MONEY,4,,ADD_RESOURCE,FRT_MONEY,5,,ADD_RESOURCE,FRT_MONEY,6,,6055,6056,6057,449,,15,1,4,5
3,QI_ZHI,COST_RESOURCE,FRT_MONEY,54,,,,ADD_RESOURCE,FRT_MONEY,5,,ADD_RESOURCE,FRT_MONEY,6,,ADD_RESOURCE,FRT_MONEY,7,,6058,6059,6060,449,,25,2,6,8
4,QI_ZHI,COST_RESOURCE,FRT_MONEY,84,,,,ADD_RESOURCE,FRT_MONEY,6,,ADD_RESOURCE,FRT_MONEY,7,,ADD_RESOURCE,FRT_MONEY,8,,6058,6059,6060,449,,35,2,6,8
5,QI_ZHI,COST_RESOURCE,FRT_MONEY,120,,,,ADD_RESOURCE,FRT_MONEY,7,,ADD_RESOURCE,FRT_MONEY,8,,ADD_RESOURCE,FRT_MONEY,9,,6058,6059,6060,449,,45,2,6,8
6,QI_ZHI,COST_RESOURCE,FRT_MONEY,162,,,,ADD_RESOURCE,FRT_MONEY,8,,ADD_RESOURCE,FRT_MONEY,9,,ADD_RESOURCE,FRT_MONEY,10,,6061,6062,6063,449,,55,3,10,12
7,QI_ZHI,COST_RESOURCE,FRT_MONEY,210,,,,ADD_RESOURCE,FRT_MONEY,9,,ADD_RESOURCE,FRT_MONEY,10,,ADD_RESOURCE,FRT_MONEY,11,,6061,6062,6063,449,,65,3,10,12
8,QI_ZHI,COST_RESOURCE,FRT_MONEY,264,,,,ADD_RESOURCE,FRT_MONEY,10,,ADD_RESOURCE,FRT_MONEY,11,,ADD_RESOURCE,FRT_MONEY,12,,6061,6062,6063,449,,75,3,10,12
9,QI_ZHI,COST_RESOURCE,FRT_MONEY,324,,,,ADD_RESOURCE,FRT_MONEY,11,,ADD_RESOURCE,FRT_MONEY,12,,ADD_RESOURCE,FRT_MONEY,13,,6064,6065,6066,449,,85,4,14,17
10,QI_ZHI,COST_RESOURCE,FRT_MONEY,390,,,,ADD_RESOURCE,FRT_MONEY,12,,ADD_RESOURCE,FRT_MONEY,13,,ADD_RESOURCE,FRT_MONEY,14,,6064,6065,6066,449,,95,4,14,17
