level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,12,,,,ADD_RESOURCE,FRT_MATERIAL,3,,ADD_RESOURCE,FRT_MATERIAL,4,,ADD_RESOURCE,FRT_MATERIAL,5,,6073,6074,6075,450,,5,1,4,5
2,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,30,,,,ADD_RESOURCE,FRT_MATERIAL,4,,ADD_RESOURCE,FRT_MATERIAL,5,,ADD_RESOURCE,FRT_MATERIAL,6,,6073,6074,6075,450,,15,1,4,5
3,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,54,,,,ADD_RESOURCE,FRT_MATERIAL,5,,ADD_RESOURCE,FRT_MATERIAL,6,,ADD_RESOURCE,FRT_MATERIAL,7,,6076,6077,6078,450,,25,2,6,8
4,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,84,,,,ADD_RESOURCE,FRT_MATERIAL,6,,ADD_RESOURCE,FRT_MATERIAL,7,,ADD_RESOURCE,FRT_MATERIAL,8,,6076,6077,6078,450,,35,2,6,8
5,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,120,,,,ADD_RESOURCE,FRT_MATERIAL,7,,ADD_RESOURCE,FRT_MATERIAL,8,,ADD_RESOURCE,FRT_MATERIAL,9,,6076,6077,6078,450,,45,2,6,8
6,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,162,,,,ADD_RESOURCE,FRT_MATERIAL,8,,ADD_RESOURCE,FRT_MATERIAL,9,,ADD_RESOURCE,FRT_MATERIAL,10,,6079,6080,6081,450,,55,3,10,12
7,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,210,,,,ADD_RESOURCE,FRT_MATERIAL,9,,ADD_RESOURCE,FRT_MATERIAL,10,,ADD_RESOURCE,FRT_MATERIAL,11,,6079,6080,6081,450,,65,3,10,12
8,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,264,,,,ADD_RESOURCE,FRT_MATERIAL,10,,ADD_RESOURCE,FRT_MATERIAL,11,,ADD_RESOURCE,FRT_MATERIAL,12,,6079,6080,6081,450,,75,3,10,12
9,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,324,,,,ADD_RESOURCE,FRT_MATERIAL,11,,ADD_RESOURCE,FRT_MATERIAL,12,,ADD_RESOURCE,FRT_MATERIAL,13,,6082,6083,6084,450,,85,4,14,17
10,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,390,,,,ADD_RESOURCE,FRT_MATERIAL,12,,ADD_RESOURCE,FRT_MATERIAL,13,,ADD_RESOURCE,FRT_MATERIAL,14,,6082,6083,6084,450,,95,4,14,17
11,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,462,,,,ADD_RESOURCE,FRT_MATERIAL,13,,ADD_RESOURCE,FRT_MATERIAL,14,,ADD_RESOURCE,FRT_MATERIAL,15,,6082,6083,6084,450,,105,4,14,17
12,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,540,,,,ADD_RESOURCE,FRT_MATERIAL,14,,ADD_RESOURCE,FRT_MATERIAL,15,,ADD_RESOURCE,FRT_MATERIAL,16,,6085,6086,6087,450,,115,5,20,23
13,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,624,,,,ADD_RESOURCE,FRT_MATERIAL,15,,ADD_RESOURCE,FRT_MATERIAL,16,,ADD_RESOURCE,FRT_MATERIAL,17,,6085,6086,6087,450,,125,5,20,23
14,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,714,,,,ADD_RESOURCE,FRT_MATERIAL,16,,ADD_RESOURCE,FRT_MATERIAL,17,,ADD_RESOURCE,FRT_MATERIAL,18,,6085,6086,6087,450,,135,5,20,23
15,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,810,,,,ADD_RESOURCE,FRT_MATERIAL,17,,ADD_RESOURCE,FRT_MATERIAL,18,,ADD_RESOURCE,FRT_MATERIAL,19,,6088,6089,6090,450,,145,6,26,30
16,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,912,,,,ADD_RESOURCE,FRT_MATERIAL,18,,ADD_RESOURCE,FRT_MATERIAL,19,,ADD_RESOURCE,FRT_MATERIAL,20,,6088,6089,6090,450,,155,6,26,30
17,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1020,,,,ADD_RESOURCE,FRT_MATERIAL,19,,ADD_RESOURCE,FRT_MATERIAL,20,,ADD_RESOURCE,FRT_MATERIAL,21,,6088,6089,6090,450,,165,6,26,30
18,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1134,,,,ADD_RESOURCE,FRT_MATERIAL,20,,ADD_RESOURCE,FRT_MATERIAL,21,,ADD_RESOURCE,FRT_MATERIAL,22,,6088,6089,6090,450,,175,6,26,30
19,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1254,,,,ADD_RESOURCE,FRT_MATERIAL,21,,ADD_RESOURCE,FRT_MATERIAL,22,,ADD_RESOURCE,FRT_MATERIAL,23,,6088,6089,6090,450,,185,6,26,30
20,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1380,,,,ADD_RESOURCE,FRT_MATERIAL,22,,ADD_RESOURCE,FRT_MATERIAL,23,,ADD_RESOURCE,FRT_MATERIAL,24,,6088,6089,6090,450,,195,6,26,30
21,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1512,,,,ADD_RESOURCE,FRT_MATERIAL,23,,ADD_RESOURCE,FRT_MATERIAL,24,,ADD_RESOURCE,FRT_MATERIAL,25,,6088,6089,6090,450,,205,6,26,30
22,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1650,,,,ADD_RESOURCE,FRT_MATERIAL,24,,ADD_RESOURCE,FRT_MATERIAL,25,,ADD_RESOURCE,FRT_MATERIAL,26,,6088,6089,6090,450,,215,6,26,30
23,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1794,,,,ADD_RESOURCE,FRT_MATERIAL,25,,ADD_RESOURCE,FRT_MATERIAL,26,,ADD_RESOURCE,FRT_MATERIAL,27,,6088,6089,6090,450,,225,6,26,30
24,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,1944,,,,ADD_RESOURCE,FRT_MATERIAL,26,,ADD_RESOURCE,FRT_MATERIAL,27,,ADD_RESOURCE,FRT_MATERIAL,28,,6088,6089,6090,450,,235,6,26,30
25,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2100,,,,ADD_RESOURCE,FRT_MATERIAL,27,,ADD_RESOURCE,FRT_MATERIAL,28,,ADD_RESOURCE,FRT_MATERIAL,29,,6088,6089,6090,450,,245,6,26,30
26,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2262,,,,ADD_RESOURCE,FRT_MATERIAL,28,,ADD_RESOURCE,FRT_MATERIAL,29,,ADD_RESOURCE,FRT_MATERIAL,30,,6088,6089,6090,450,,255,6,26,30
27,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2430,,,,ADD_RESOURCE,FRT_MATERIAL,29,,ADD_RESOURCE,FRT_MATERIAL,30,,ADD_RESOURCE,FRT_MATERIAL,31,,6088,6089,6090,450,,265,6,26,30
28,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2604,,,,ADD_RESOURCE,FRT_MATERIAL,30,,ADD_RESOURCE,FRT_MATERIAL,31,,ADD_RESOURCE,FRT_MATERIAL,32,,6088,6089,6090,450,,275,6,26,30
29,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2784,,,,ADD_RESOURCE,FRT_MATERIAL,31,,ADD_RESOURCE,FRT_MATERIAL,32,,ADD_RESOURCE,FRT_MATERIAL,33,,6088,6089,6090,450,,285,6,26,30
30,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,2970,,,,ADD_RESOURCE,FRT_MATERIAL,32,,ADD_RESOURCE,FRT_MATERIAL,33,,ADD_RESOURCE,FRT_MATERIAL,34,,6088,6089,6090,450,,295,6,26,30
31,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,3162,,,,ADD_RESOURCE,FRT_MATERIAL,33,,ADD_RESOURCE,FRT_MATERIAL,34,,ADD_RESOURCE,FRT_MATERIAL,35,,6088,6089,6090,450,,305,6,26,30
32,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,3360,,,,ADD_RESOURCE,FRT_MATERIAL,34,,ADD_RESOURCE,FRT_MATERIAL,35,,ADD_RESOURCE,FRT_MATERIAL,36,,6088,6089,6090,450,,315,6,26,30
33,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,3564,,,,ADD_RESOURCE,FRT_MATERIAL,35,,ADD_RESOURCE,FRT_MATERIAL,36,,ADD_RESOURCE,FRT_MATERIAL,37,,6088,6089,6090,450,,325,6,26,30
34,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,3774,,,,ADD_RESOURCE,FRT_MATERIAL,36,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,6088,6089,6090,450,,335,6,26,30
35,QIAO_SHOU,COST_RESOURCE,FRT_MATERIAL,3990,,,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,ADD_RESOURCE,FRT_MATERIAL,39,,6088,6089,6090,450,,345,6,26,30
36,QIAO_SHOU,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,ADD_RESOURCE,FRT_MATERIAL,39,,6088,6089,6090,450,,355,6,26,30
