level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,KOU_CAI,COST_RESOURCE,FRT_MONEY,12,,,,ADD_RESOURCE,FRT_MONEY,3,,ADD_RESOURCE,FRT_MONEY,4,,ADD_RESOURCE,FRT_MONEY,5,,6091,6092,6093,457,,5,1,4,5
2,KOU_CAI,COST_RESOURCE,FRT_MONEY,30,,,,ADD_RESOURCE,FRT_MONEY,4,,ADD_RESOURCE,FRT_MONEY,5,,ADD_RESOURCE,FRT_MONEY,6,,6091,6092,6093,457,,15,1,4,5
3,KOU_CAI,COST_RESOURCE,FRT_MONEY,54,,,,ADD_RESOURCE,FRT_MONEY,5,,ADD_RESOURCE,FRT_MONEY,6,,ADD_RESOURCE,FRT_MONEY,7,,6094,6095,6096,457,,25,2,6,8
4,KOU_CAI,COST_RESOURCE,FRT_MONEY,84,,,,ADD_RESOURCE,FRT_MONEY,6,,ADD_RESOURCE,FRT_MONEY,7,,ADD_RESOURCE,FRT_MONEY,8,,6094,6095,6096,457,,35,2,6,8
5,KOU_CAI,COST_RESOURCE,FRT_MONEY,120,,,,ADD_RESOURCE,FRT_MONEY,7,,ADD_RESOURCE,FRT_MONEY,8,,ADD_RESOURCE,FRT_MONEY,9,,6094,6095,6096,457,,45,2,6,8
6,KOU_CAI,COST_RESOURCE,FRT_MONEY,162,,,,ADD_RESOURCE,FRT_MONEY,8,,ADD_RESOURCE,FRT_MONEY,9,,ADD_RESOURCE,FRT_MONEY,10,,6097,6098,6099,457,,55,3,10,12
7,KOU_CAI,COST_RESOURCE,FRT_MONEY,210,,,,ADD_RESOURCE,FRT_MONEY,9,,ADD_RESOURCE,FRT_MONEY,10,,ADD_RESOURCE,FRT_MONEY,11,,6097,6098,6099,457,,65,3,10,12
8,KOU_CAI,COST_RESOURCE,FRT_MONEY,264,,,,ADD_RESOURCE,FRT_MONEY,10,,ADD_RESOURCE,FRT_MONEY,11,,ADD_RESOURCE,FRT_MONEY,12,,6097,6098,6099,457,,75,3,10,12
9,KOU_CAI,COST_RESOURCE,FRT_MONEY,324,,,,ADD_RESOURCE,FRT_MONEY,11,,ADD_RESOURCE,FRT_MONEY,12,,ADD_RESOURCE,FRT_MONEY,13,,6100,6101,6102,457,,85,4,14,17
10,KOU_CAI,COST_RESOURCE,FRT_MONEY,390,,,,ADD_RESOURCE,FRT_MONEY,12,,ADD_RESOURCE,FRT_MONEY,13,,ADD_RESOURCE,FRT_MONEY,14,,6100,6101,6102,457,,95,4,14,17
11,KOU_CAI,COST_RESOURCE,FRT_MONEY,462,,,,ADD_RESOURCE,FRT_MONEY,13,,ADD_RESOURCE,FRT_MONEY,14,,ADD_RESOURCE,FRT_MONEY,15,,6100,6101,6102,457,,105,4,14,17
12,KOU_CAI,COST_RESOURCE,FRT_MONEY,540,,,,ADD_RESOURCE,FRT_MONEY,14,,ADD_RESOURCE,FRT_MONEY,15,,ADD_RESOURCE,FRT_MONEY,16,,6103,6104,6105,457,,115,5,20,23
13,KOU_CAI,COST_RESOURCE,FRT_MONEY,624,,,,ADD_RESOURCE,FRT_MONEY,15,,ADD_RESOURCE,FRT_MONEY,16,,ADD_RESOURCE,FRT_MONEY,17,,6103,6104,6105,457,,125,5,20,23
14,KOU_CAI,COST_RESOURCE,FRT_MONEY,714,,,,ADD_RESOURCE,FRT_MONEY,16,,ADD_RESOURCE,FRT_MONEY,17,,ADD_RESOURCE,FRT_MONEY,18,,6103,6104,6105,457,,135,5,20,23
15,KOU_CAI,COST_RESOURCE,FRT_MONEY,810,,,,ADD_RESOURCE,FRT_MONEY,17,,ADD_RESOURCE,FRT_MONEY,18,,ADD_RESOURCE,FRT_MONEY,19,,6106,6107,6108,457,,145,6,26,30
16,KOU_CAI,COST_RESOURCE,FRT_MONEY,912,,,,ADD_RESOURCE,FRT_MONEY,18,,ADD_RESOURCE,FRT_MONEY,19,,ADD_RESOURCE,FRT_MONEY,20,,6106,6107,6108,457,,155,6,26,30
17,KOU_CAI,COST_RESOURCE,FRT_MONEY,1020,,,,ADD_RESOURCE,FRT_MONEY,19,,ADD_RESOURCE,FRT_MONEY,20,,ADD_RESOURCE,FRT_MONEY,21,,6106,6107,6108,457,,165,6,26,30
