level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,WU_YI,COST_RESOURCE,FRT_ORDER,12,,,,ADD_RESOURCE,FRT_ORDER,3,,ADD_RESOURCE,FRT_ORDER,4,,ADD_RESOURCE,FRT_ORDER,5,,6019,6020,6021,425,,5,1,4,5
2,WU_YI,COST_RESOURCE,FRT_ORDER,30,,,,ADD_RESOURCE,FRT_ORDER,4,,ADD_RESOURCE,FRT_ORDER,5,,ADD_RESOURCE,FRT_ORDER,6,,6019,6020,6021,425,,15,1,4,5
3,WU_YI,COST_RESOURCE,FRT_ORDER,54,,,,ADD_RESOURCE,FRT_ORDER,5,,ADD_RESOURCE,FRT_ORDER,6,,ADD_RESOURCE,FRT_ORDER,7,,6022,6023,6024,425,,25,2,6,8
4,WU_YI,COST_RESOURCE,FRT_ORDER,84,,,,ADD_RESOURCE,FRT_ORDER,6,,ADD_RESOURCE,FRT_ORDER,7,,ADD_RESOURCE,FRT_ORDER,8,,6022,6023,6024,425,,35,2,6,8
5,WU_YI,COST_RESOURCE,FRT_ORDER,120,,,,ADD_RESOURCE,FRT_ORDER,7,,ADD_RESOURCE,FRT_ORDER,8,,ADD_RESOURCE,FRT_ORDER,9,,6022,6023,6024,425,,45,2,6,8
6,WU_YI,COST_RESOURCE,FRT_ORDER,162,,,,ADD_RESOURCE,FRT_ORDER,8,,ADD_RESOURCE,FRT_ORDER,9,,ADD_RESOURCE,FRT_ORDER,10,,6025,6026,6027,425,,55,3,10,12
7,WU_YI,COST_RESOURCE,FRT_ORDER,210,,,,ADD_RESOURCE,FRT_ORDER,9,,ADD_RESOURCE,FRT_ORDER,10,,ADD_RESOURCE,FRT_ORDER,11,,6025,6026,6027,425,,65,3,10,12
8,WU_YI,COST_RESOURCE,FRT_ORDER,264,,,,ADD_RESOURCE,FRT_ORDER,10,,ADD_RESOURCE,FRT_ORDER,11,,ADD_RESOURCE,FRT_ORDER,12,,6025,6026,6027,425,,75,3,10,12
9,WU_YI,COST_RESOURCE,FRT_ORDER,324,,,,ADD_RESOURCE,FRT_ORDER,11,,ADD_RESOURCE,FRT_ORDER,12,,ADD_RESOURCE,FRT_ORDER,13,,6028,6029,6030,425,,85,4,14,17
10,WU_YI,COST_RESOURCE,FRT_ORDER,390,,,,ADD_RESOURCE,FRT_ORDER,12,,ADD_RESOURCE,FRT_ORDER,13,,ADD_RESOURCE,FRT_ORDER,14,,6028,6029,6030,425,,95,4,14,17
