level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,LING_HUI,COST_RESOURCE,FRT_LABOUR,12,,,,ADD_RESOURCE,FRT_LABOUR,3,,ADD_RESOURCE,FRT_LABOUR,4,,ADD_RESOURCE,FRT_LABOUR,5,,6001,6002,6003,403,,5,1,4,5
2,LING_HUI,COST_RESOURCE,FRT_LABOUR,30,,,,ADD_RESOURCE,FRT_LABOUR,4,,ADD_RESOURCE,FRT_LABOUR,5,,ADD_RESOURCE,FRT_LABOUR,6,,6001,6002,6003,403,,15,1,4,5
3,LING_HUI,COST_RESOURCE,FRT_LABOUR,54,,,,ADD_RESOURCE,FRT_LABOUR,5,,ADD_RESOURCE,FRT_LABOUR,6,,ADD_RESOURCE,FRT_LABOUR,7,,6004,6005,6006,403,,25,2,6,8
4,LING_HUI,COST_RESOURCE,FRT_LABOUR,84,,,,ADD_RESOURCE,FRT_LABOUR,6,,ADD_RESOURCE,FRT_LABOUR,7,,ADD_RESOURCE,FRT_LABOUR,8,,6004,6005,6006,403,,35,2,6,8
5,LING_HUI,COST_RESOURCE,FRT_LABOUR,120,,,,ADD_RESOURCE,FRT_LABOUR,7,,ADD_RESOURCE,FRT_LABOUR,8,,ADD_RESOURCE,FRT_LABOUR,9,,6004,6005,6006,403,,45,2,6,8
6,LING_HUI,COST_RESOURCE,FRT_LABOUR,162,,,,ADD_RESOURCE,FRT_LABOUR,8,,ADD_RESOURCE,FRT_LABOUR,9,,ADD_RESOURCE,FRT_LABOUR,10,,6007,6008,6009,403,,55,3,10,12
7,LING_HUI,COST_RESOURCE,FRT_LABOUR,210,,,,ADD_RESOURCE,FRT_LABOUR,9,,ADD_RESOURCE,FRT_LABOUR,10,,ADD_RESOURCE,FRT_LABOUR,11,,6007,6008,6009,403,,65,3,10,12
8,LING_HUI,COST_RESOURCE,FRT_LABOUR,264,,,,ADD_RESOURCE,FRT_LABOUR,10,,ADD_RESOURCE,FRT_LABOUR,11,,ADD_RESOURCE,FRT_LABOUR,12,,6007,6008,6009,403,,75,3,10,12
9,LING_HUI,COST_RESOURCE,FRT_LABOUR,324,,,,ADD_RESOURCE,FRT_LABOUR,11,,ADD_RESOURCE,FRT_LABOUR,12,,ADD_RESOURCE,FRT_LABOUR,13,,6010,6011,6012,403,,85,4,14,17
10,LING_HUI,COST_RESOURCE,FRT_LABOUR,390,,,,ADD_RESOURCE,FRT_LABOUR,12,,ADD_RESOURCE,FRT_LABOUR,13,,ADD_RESOURCE,FRT_LABOUR,14,,6010,6011,6012,403,,95,4,14,17
11,LING_HUI,COST_RESOURCE,FRT_LABOUR,462,,,,ADD_RESOURCE,FRT_LABOUR,13,,ADD_RESOURCE,FRT_LABOUR,14,,ADD_RESOURCE,FRT_LABOUR,15,,6010,6011,6012,403,,105,4,14,17
