id,name,building,weight,condition_weight.weight_conditions.conditions.type,condition_weight.weight_conditions.conditions.arg,condition_weight.weight_conditions.conditions.arg,condition_weight.change_value,plot_pttid,minutes,expire_plot
1001,医闹事件,FBT_HOSPITAL,10,RESOURCE_GE,FRT_MONEY,100,50,100000,,
1002,医馆价格过高事件,FBT_HOSPITAL,50,RESOURCE_GE,FRT_MONEY,100,-50,100020,,
1003,医馆意外事件,FBT_HOSPITAL,10,,,,,100030,,
1004,医馆装修,FBT_HOSPITAL,10,,,,,100040,,
1005,医馆纠纷,FBT_HOSPITAL,10,,,,,100050,,
1006,医馆卫生问题,FBT_HOSPITAL,10,,,,,100060,,
1007,年轻医生的烦恼,FBT_HOSPITAL,10,,,,,100070,,
1008,幸福的烦恼,FBT_HOSPITAL,10,,,,,100080,,
1009,整治无赖,FBT_HOSPITAL,10,,,,,100090,,
1010,原谅还是惩治,FBT_HOSPITAL,10,,,,,100100,,
1011,老人奇遇,FBT_HOSPITAL,10,,,,,100110,,
1012,老人奇遇,FBT_HOSPITAL,10,,,,,100120,,
1013,老人怪病,FBT_HOSPITAL,10,,,,,100130,,
1014,西域药商,FBT_HOSPITAL,10,,,,,100140,,
1015,野兽奇遇,FBT_HOSPITAL,10,,,,,100150,,
1016,新发明：易容术,FBT_HOSPITAL,10,,,,,100160,180,100125
1017,易容术的新应用,FBT_HOSPITAL,10,,,,,100170,,
1018,瘟疫救治,FBT_HOSPITAL,10,,,,,100180,,
1019,伤员救治,FBT_HOSPITAL,10,,,,,100190,,
1020,救治坏蛋,FBT_HOSPITAL,10,,,,,100200,,
1021,药材定价,FBT_HOSPITAL,10,,,,,100210,,
1022,计划生育,FBT_HOSPITAL,10,,,,,100220,,
1023,流感爆发,FBT_HOSPITAL,10,,,,,100230,,
1024,食物中毒事件,FBT_HOSPITAL,10,RESOURCE_LESS,FRT_ORDER,3000,50,100240,,
1025,食物中毒事件,FBT_HOSPITAL,10,,,,,100250,,
1026,寻找凶手,FBT_HOSPITAL,10,RESOURCE_GE,FRT_LABOUR,3000,50,100260,,
1027,抓捕凶手,FBT_HOSPITAL,10,,,,,100270,,
1028,西域药材售卖,FBT_HOSPITAL,10,,,,,100280,,
1029,猫咪医治,FBT_HOSPITAL,10,,,,,100290,,
1030,医疗事故,FBT_HOSPITAL,10,,,,,100300,,
1101,医闹事件,FBT_HOSPITAL,10,RESOURCE_GE,FRT_MONEY,100,50,100000,,
1102,医馆价格过高事件,FBT_HOSPITAL,10,RESOURCE_GE,FRT_MONEY,100,-50,100020,,
1103,医馆意外事件,FBT_HOSPITAL,10,,,,,100030,,
1104,医馆装修,FBT_HOSPITAL,10,,,,,100040,,
1105,医馆纠纷,FBT_HOSPITAL,10,,,,,100050,,
1106,医馆卫生问题,FBT_HOSPITAL,10,,,,,100060,,
1107,年轻医生的烦恼,FBT_HOSPITAL,10,,,,,100070,,
1108,幸福的烦恼,FBT_HOSPITAL,10,,,,,100080,,
1109,整治无赖,FBT_HOSPITAL,10,,,,,100090,,
1110,原谅还是惩治,FBT_HOSPITAL,10,,,,,100100,,
1111,老人奇遇,FBT_HOSPITAL,10,,,,,100110,,
1112,老人奇遇,FBT_HOSPITAL,10,,,,,100120,,
1113,老人怪病,FBT_HOSPITAL,10,,,,,100130,,
1114,西域药商,FBT_HOSPITAL,10,,,,,100140,,
1115,野兽奇遇,FBT_HOSPITAL,10,,,,,100150,,
1116,新发明：易容术,FBT_HOSPITAL,10,,,,,100160,180,100125
1117,易容术的新应用,FBT_HOSPITAL,10,,,,,100170,,
1118,瘟疫救治,FBT_HOSPITAL,10,,,,,100180,,
1119,伤员救治,FBT_HOSPITAL,10,,,,,100190,,
1120,救治坏蛋,FBT_HOSPITAL,10,,,,,100200,,
1121,药材定价,FBT_HOSPITAL,10,,,,,100210,,
1122,计划生育,FBT_HOSPITAL,10,,,,,100220,,
1123,流感爆发,FBT_HOSPITAL,10,,,,,100230,,
1124,食物中毒事件,FBT_HOSPITAL,10,RESOURCE_LESS,FRT_ORDER,3000,50,100240,,
1125,食物中毒事件,FBT_HOSPITAL,10,,,,,100250,,
1126,寻找凶手,FBT_HOSPITAL,10,RESOURCE_GE,FRT_LABOUR,3000,50,100260,,
