level,need_craft,levelup_conditions.conditions.type,levelup_conditions.conditions.arg,levelup_conditions.conditions.arg,levelup_done_events.events.type,levelup_done_events.events.arg,levelup_done_events.events.arg,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,produce_events.events.type,produce_events.events.arg,produce_events.events.arg,produce_events.reserved,drops,drops,drops,default_manager,greeting,levelup_minutes,opened_position_count,craft_ranges,craft_ranges
1,YI_LI,COST_RESOURCE,FRT_MATERIAL,12,,,,ADD_RESOURCE,FRT_MATERIAL,3,,ADD_RESOURCE,FRT_MATERIAL,4,,ADD_RESOURCE,FRT_MATERIAL,5,,6037,6038,6039,480,,5,1,4,5
2,YI_LI,COST_RESOURCE,FRT_MATERIAL,30,,,,ADD_RESOURCE,FRT_MATERIAL,4,,ADD_RESOURCE,FRT_MATERIAL,5,,ADD_RESOURCE,FRT_MATERIAL,6,,6037,6038,6039,480,,15,1,4,5
3,YI_LI,COST_RESOURCE,FRT_MATERIAL,54,,,,ADD_RESOURCE,FRT_MATERIAL,5,,ADD_RESOURCE,FRT_MATERIAL,6,,ADD_RESOURCE,FRT_MATERIAL,7,,6040,6041,6042,480,,25,2,6,8
4,YI_LI,COST_RESOURCE,FRT_MATERIAL,84,,,,ADD_RESOURCE,FRT_MATERIAL,6,,ADD_RESOURCE,FRT_MATERIAL,7,,ADD_RESOURCE,FRT_MATERIAL,8,,6040,6041,6042,480,,35,2,6,8
5,YI_LI,COST_RESOURCE,FRT_MATERIAL,120,,,,ADD_RESOURCE,FRT_MATERIAL,7,,ADD_RESOURCE,FRT_MATERIAL,8,,ADD_RESOURCE,FRT_MATERIAL,9,,6040,6041,6042,480,,45,2,6,8
6,YI_LI,COST_RESOURCE,FRT_MATERIAL,162,,,,ADD_RESOURCE,FRT_MATERIAL,8,,ADD_RESOURCE,FRT_MATERIAL,9,,ADD_RESOURCE,FRT_MATERIAL,10,,6043,6044,6045,480,,55,3,10,12
7,YI_LI,COST_RESOURCE,FRT_MATERIAL,210,,,,ADD_RESOURCE,FRT_MATERIAL,9,,ADD_RESOURCE,FRT_MATERIAL,10,,ADD_RESOURCE,FRT_MATERIAL,11,,6043,6044,6045,480,,65,3,10,12
8,YI_LI,COST_RESOURCE,FRT_MATERIAL,264,,,,ADD_RESOURCE,FRT_MATERIAL,10,,ADD_RESOURCE,FRT_MATERIAL,11,,ADD_RESOURCE,FRT_MATERIAL,12,,6043,6044,6045,480,,75,3,10,12
9,YI_LI,COST_RESOURCE,FRT_MATERIAL,324,,,,ADD_RESOURCE,FRT_MATERIAL,11,,ADD_RESOURCE,FRT_MATERIAL,12,,ADD_RESOURCE,FRT_MATERIAL,13,,6046,6047,6048,480,,85,4,14,17
10,YI_LI,COST_RESOURCE,FRT_MATERIAL,390,,,,ADD_RESOURCE,FRT_MATERIAL,12,,ADD_RESOURCE,FRT_MATERIAL,13,,ADD_RESOURCE,FRT_MATERIAL,14,,6046,6047,6048,480,,95,4,14,17
11,YI_LI,COST_RESOURCE,FRT_MATERIAL,462,,,,ADD_RESOURCE,FRT_MATERIAL,13,,ADD_RESOURCE,FRT_MATERIAL,14,,ADD_RESOURCE,FRT_MATERIAL,15,,6046,6047,6048,480,,105,4,14,17
12,YI_LI,COST_RESOURCE,FRT_MATERIAL,540,,,,ADD_RESOURCE,FRT_MATERIAL,14,,ADD_RESOURCE,FRT_MATERIAL,15,,ADD_RESOURCE,FRT_MATERIAL,16,,6049,6050,6051,480,,115,5,20,23
13,YI_LI,COST_RESOURCE,FRT_MATERIAL,624,,,,ADD_RESOURCE,FRT_MATERIAL,15,,ADD_RESOURCE,FRT_MATERIAL,16,,ADD_RESOURCE,FRT_MATERIAL,17,,6049,6050,6051,480,,125,5,20,23
14,YI_LI,COST_RESOURCE,FRT_MATERIAL,714,,,,ADD_RESOURCE,FRT_MATERIAL,16,,ADD_RESOURCE,FRT_MATERIAL,17,,ADD_RESOURCE,FRT_MATERIAL,18,,6049,6050,6051,480,,135,5,20,23
15,YI_LI,COST_RESOURCE,FRT_MATERIAL,810,,,,ADD_RESOURCE,FRT_MATERIAL,17,,ADD_RESOURCE,FRT_MATERIAL,18,,ADD_RESOURCE,FRT_MATERIAL,19,,6052,6053,6054,480,,145,6,26,30
16,YI_LI,COST_RESOURCE,FRT_MATERIAL,912,,,,ADD_RESOURCE,FRT_MATERIAL,18,,ADD_RESOURCE,FRT_MATERIAL,19,,ADD_RESOURCE,FRT_MATERIAL,20,,6052,6053,6054,480,,155,6,26,30
17,YI_LI,COST_RESOURCE,FRT_MATERIAL,1020,,,,ADD_RESOURCE,FRT_MATERIAL,19,,ADD_RESOURCE,FRT_MATERIAL,20,,ADD_RESOURCE,FRT_MATERIAL,21,,6052,6053,6054,480,,165,6,26,30
18,YI_LI,COST_RESOURCE,FRT_MATERIAL,1134,,,,ADD_RESOURCE,FRT_MATERIAL,20,,ADD_RESOURCE,FRT_MATERIAL,21,,ADD_RESOURCE,FRT_MATERIAL,22,,6052,6053,6054,480,,175,6,26,30
19,YI_LI,COST_RESOURCE,FRT_MATERIAL,1254,,,,ADD_RESOURCE,FRT_MATERIAL,21,,ADD_RESOURCE,FRT_MATERIAL,22,,ADD_RESOURCE,FRT_MATERIAL,23,,6052,6053,6054,480,,185,6,26,30
20,YI_LI,COST_RESOURCE,FRT_MATERIAL,1380,,,,ADD_RESOURCE,FRT_MATERIAL,22,,ADD_RESOURCE,FRT_MATERIAL,23,,ADD_RESOURCE,FRT_MATERIAL,24,,6052,6053,6054,480,,195,6,26,30
21,YI_LI,COST_RESOURCE,FRT_MATERIAL,1512,,,,ADD_RESOURCE,FRT_MATERIAL,23,,ADD_RESOURCE,FRT_MATERIAL,24,,ADD_RESOURCE,FRT_MATERIAL,25,,6052,6053,6054,480,,205,6,26,30
22,YI_LI,COST_RESOURCE,FRT_MATERIAL,1650,,,,ADD_RESOURCE,FRT_MATERIAL,24,,ADD_RESOURCE,FRT_MATERIAL,25,,ADD_RESOURCE,FRT_MATERIAL,26,,6052,6053,6054,480,,215,6,26,30
23,YI_LI,COST_RESOURCE,FRT_MATERIAL,1794,,,,ADD_RESOURCE,FRT_MATERIAL,25,,ADD_RESOURCE,FRT_MATERIAL,26,,ADD_RESOURCE,FRT_MATERIAL,27,,6052,6053,6054,480,,225,6,26,30
24,YI_LI,COST_RESOURCE,FRT_MATERIAL,1944,,,,ADD_RESOURCE,FRT_MATERIAL,26,,ADD_RESOURCE,FRT_MATERIAL,27,,ADD_RESOURCE,FRT_MATERIAL,28,,6052,6053,6054,480,,235,6,26,30
25,YI_LI,COST_RESOURCE,FRT_MATERIAL,2100,,,,ADD_RESOURCE,FRT_MATERIAL,27,,ADD_RESOURCE,FRT_MATERIAL,28,,ADD_RESOURCE,FRT_MATERIAL,29,,6052,6053,6054,480,,245,6,26,30
26,YI_LI,COST_RESOURCE,FRT_MATERIAL,2262,,,,ADD_RESOURCE,FRT_MATERIAL,28,,ADD_RESOURCE,FRT_MATERIAL,29,,ADD_RESOURCE,FRT_MATERIAL,30,,6052,6053,6054,480,,255,6,26,30
27,YI_LI,COST_RESOURCE,FRT_MATERIAL,2430,,,,ADD_RESOURCE,FRT_MATERIAL,29,,ADD_RESOURCE,FRT_MATERIAL,30,,ADD_RESOURCE,FRT_MATERIAL,31,,6052,6053,6054,480,,265,6,26,30
28,YI_LI,COST_RESOURCE,FRT_MATERIAL,2604,,,,ADD_RESOURCE,FRT_MATERIAL,30,,ADD_RESOURCE,FRT_MATERIAL,31,,ADD_RESOURCE,FRT_MATERIAL,32,,6052,6053,6054,480,,275,6,26,30
29,YI_LI,COST_RESOURCE,FRT_MATERIAL,2784,,,,ADD_RESOURCE,FRT_MATERIAL,31,,ADD_RESOURCE,FRT_MATERIAL,32,,ADD_RESOURCE,FRT_MATERIAL,33,,6052,6053,6054,480,,285,6,26,30
30,YI_LI,COST_RESOURCE,FRT_MATERIAL,2970,,,,ADD_RESOURCE,FRT_MATERIAL,32,,ADD_RESOURCE,FRT_MATERIAL,33,,ADD_RESOURCE,FRT_MATERIAL,34,,6052,6053,6054,480,,295,6,26,30
31,YI_LI,COST_RESOURCE,FRT_MATERIAL,3162,,,,ADD_RESOURCE,FRT_MATERIAL,33,,ADD_RESOURCE,FRT_MATERIAL,34,,ADD_RESOURCE,FRT_MATERIAL,35,,6052,6053,6054,480,,305,6,26,30
32,YI_LI,COST_RESOURCE,FRT_MATERIAL,3360,,,,ADD_RESOURCE,FRT_MATERIAL,34,,ADD_RESOURCE,FRT_MATERIAL,35,,ADD_RESOURCE,FRT_MATERIAL,36,,6052,6053,6054,480,,315,6,26,30
33,YI_LI,COST_RESOURCE,FRT_MATERIAL,3564,,,,ADD_RESOURCE,FRT_MATERIAL,35,,ADD_RESOURCE,FRT_MATERIAL,36,,ADD_RESOURCE,FRT_MATERIAL,37,,6052,6053,6054,480,,325,6,26,30
34,YI_LI,COST_RESOURCE,FRT_MATERIAL,3774,,,,ADD_RESOURCE,FRT_MATERIAL,36,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,6052,6053,6054,480,,335,6,26,30
35,YI_LI,COST_RESOURCE,FRT_MATERIAL,3990,,,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,ADD_RESOURCE,FRT_MATERIAL,39,,6052,6053,6054,480,,345,6,26,30
36,YI_LI,FAIL,FIEF_BUILDING_LEVEL_MAX,,,,,ADD_RESOURCE,FRT_MATERIAL,37,,ADD_RESOURCE,FRT_MATERIAL,38,,ADD_RESOURCE,FRT_MATERIAL,39,,6052,6053,6054,480,,355,6,26,30
