id,appearance,drop_pttid,battle_pttid
1,icon/touxiang/touxiang_chengan,4000,4000
2,icon/touxiang/touxiang_chengde,4001,4000
3,icon/touxiang/touxiang_chiyunhai,4002,4000
4,icon/touxiang/touxiang_chengan,4003,4001
5,icon/touxiang/touxiang_chengde,4004,4001
6,icon/touxiang/touxiang_chiyunhai,4005,4001
7,icon/touxiang/touxiang_chengan,4006,4002
8,icon/touxiang/touxiang_chengde,4007,4002
9,icon/touxiang/touxiang_chiyunhai,4008,4002
10,icon/touxiang/touxiang_chengan,4009,4003
11,icon/touxiang/touxiang_chengde,4010,4003
12,icon/touxiang/touxiang_chiyunhai,4011,4003
13,icon/touxiang/touxiang_chengan,4012,4004
14,icon/touxiang/touxiang_chengde,4013,4004
15,icon/touxiang/touxiang_chiyunhai,4014,4004
16,icon/touxiang/touxiang_chengan,4015,4005
17,icon/touxiang/touxiang_chengde,4016,4005
18,icon/touxiang/touxiang_chiyunhai,4017,4005
