id,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col,grids.actor,grids.grid.row,grids.grid.col
1,2,1,1,207,1,2,202,1,3,210,2,1,215,2,2
2,229,1,1,223,1,2,211,1,3,204,2,1,2,2,3
3,203,1,1,201,1,2,218,1,3,107,2,1,1,3,1
4,101,1,1,225,1,2,221,1,3,214,2,1,1,3,2
5,104,1,1,220,1,2,226,1,3,106,2,1,2,3,3
6,222,1,1,110,1,2,227,1,3,1,2,2,103,2,3
7,102,1,1,212,1,2,206,1,3,1,2,2,213,3,1
8,224,1,1,1,1,2,109,1,3,205,2,2,228,3,2
9,209,1,1,216,1,2,219,1,3,1,2,2,208,3,3
10,108,1,1,105,1,2,230,1,3,2,2,3,217,3,1
11,215,1,1,207,1,2,109,1,3,2,2,3,214,3,2
12,217,1,1,205,1,2,209,1,3,101,2,3,2,3,3
13,213,1,1,2,1,2,201,1,3,203,3,1,230,3,2
14,223,1,1,108,1,2,204,1,3,227,3,1,1,3,3
15,224,1,1,210,1,2,2,1,3,102,3,2,221,3,3
16,212,1,1,226,1,2,2,2,1,106,2,2,208,2,3
17,225,1,1,1,1,2,103,2,1,228,2,2,229,3,1
18,216,1,1,110,1,2,222,2,1,219,2,2,1,3,2
19,1,1,1,206,1,2,202,2,1,104,2,2,107,3,3
20,218,1,1,1,1,2,211,2,1,220,2,3,105,3,1
21,221,1,1,215,1,2,2,2,1,219,2,3,213,3,2
22,107,1,1,102,1,2,222,2,1,1,2,3,225,3,3
23,220,1,1,210,1,2,230,2,1,214,3,1,1,3,2
24,1,1,1,106,1,2,204,2,1,205,3,1,207,3,3
25,105,1,1,2,1,2,101,2,1,208,3,2,224,3,3
26,2,1,1,201,1,2,217,2,2,211,2,3,209,3,1
27,2,1,1,104,1,2,227,2,2,223,2,3,212,3,2
28,229,1,1,218,1,2,103,2,2,226,2,3,2,3,3
29,1,1,1,228,1,2,216,2,2,202,3,1,203,3,2
30,110,1,1,1,1,2,109,2,2,206,3,1,108,3,3
31,202,1,1,2,1,2,101,2,2,206,3,2,104,3,3
32,102,1,1,2,1,2,227,2,3,201,3,1,219,3,2
33,103,1,1,213,1,2,1,2,3,109,3,1,228,3,3
34,211,1,1,108,1,2,1,2,3,110,3,2,208,3,3
35,224,1,1,209,1,2,229,3,1,204,3,2,2,3,3
36,221,1,1,1,1,3,225,2,1,107,2,2,205,2,3
37,220,1,1,222,1,3,215,2,1,226,2,2,1,3,1
38,210,1,1,2,1,3,105,2,1,217,2,2,106,3,2
39,212,1,1,207,1,3,203,2,1,230,2,2,2,3,3
40,1,1,1,216,1,3,214,2,1,218,2,3,223,3,1
41,212,1,1,106,1,3,226,2,1,229,2,3,1,3,2
42,1,1,1,202,1,3,204,2,1,203,2,3,201,3,3
43,210,1,1,107,1,3,1,2,1,101,3,1,205,3,2
44,104,1,1,213,1,3,215,2,1,2,3,1,103,3,3
45,218,1,1,2,1,3,228,2,1,208,3,2,227,3,3
46,206,1,1,108,1,3,1,2,2,102,2,3,214,3,1
47,219,1,1,2,1,3,220,2,2,230,2,3,109,3,2
48,110,1,1,222,1,3,223,2,2,2,2,3,209,3,3
49,211,1,1,224,1,3,1,2,2,216,3,1,225,3,2
50,217,1,1,207,1,3,221,2,2,1,3,1,105,3,3
51,201,1,1,109,1,3,2,2,2,108,3,2,228,3,3
52,103,1,1,217,1,3,2,2,3,102,3,1,211,3,2
53,2,1,1,229,1,3,224,2,3,215,3,1,209,3,3
54,227,1,1,2,1,3,104,2,3,230,3,2,206,3,3
55,216,1,1,218,1,3,210,3,1,1,3,2,219,3,3
56,110,1,1,220,2,1,207,2,2,1,2,3,107,3,1
57,226,1,1,208,2,1,1,2,2,101,2,3,222,3,2
58,1,1,1,105,2,1,204,2,2,213,2,3,221,3,3
59,223,1,1,212,2,1,2,2,2,203,3,1,225,3,2
60,2,1,1,106,2,1,202,2,2,214,3,1,205,3,3
61,205,1,1,109,2,1,227,2,2,101,3,2,2,3,3
62,2,1,1,219,2,1,220,2,3,206,3,1,212,3,2
63,210,1,1,107,2,1,2,2,3,201,3,1,230,3,3
64,214,1,1,2,2,1,229,2,3,204,3,2,224,3,3
65,222,1,1,2,2,1,209,3,1,106,3,2,102,3,3
66,1,1,1,215,2,2,208,2,3,202,3,1,104,3,2
67,221,1,1,1,2,2,207,2,3,110,3,1,228,3,3
68,211,1,1,218,2,2,213,2,3,216,3,2,1,3,3
69,223,1,1,108,2,2,105,3,1,2,3,2,103,3,3
70,225,1,1,217,2,3,203,3,1,1,3,2,226,3,3
71,2,1,2,227,1,3,204,2,1,215,2,2,207,2,3
72,2,1,2,208,1,3,103,2,1,108,2,2,210,3,1
73,214,1,2,1,1,3,206,2,1,223,2,2,202,3,2
74,2,1,2,109,1,3,102,2,1,211,2,2,225,3,3
75,1,1,2,105,1,3,216,2,1,226,2,3,212,3,1
76,104,1,2,2,1,3,217,2,1,107,2,3,229,3,2
77,201,1,2,218,1,3,110,2,1,221,2,3,2,3,3
78,106,1,2,1,1,3,222,2,1,203,3,1,101,3,2
79,209,1,2,228,1,3,224,2,1,220,3,1,1,3,3
80,205,1,2,219,1,3,230,2,1,213,3,2,1,3,3
81,216,1,2,214,1,3,104,2,2,221,2,3,2,3,1
82,230,1,2,212,1,3,209,2,2,1,2,3,109,3,2
83,201,1,2,210,1,3,223,2,2,2,2,3,218,3,3
84,227,1,2,106,1,3,208,2,2,204,3,1,1,3,2
85,1,1,2,206,1,3,228,2,2,222,3,1,229,3,3
86,203,1,2,225,1,3,213,2,2,2,3,2,219,3,3
87,2,1,2,202,1,3,108,2,3,101,3,1,107,3,2
88,226,1,2,103,1,3,102,2,3,2,3,1,205,3,3
89,211,1,2,1,1,3,224,3,1,207,3,2,217,3,3
90,110,1,2,1,2,1,215,2,2,105,2,3,220,3,1
91,211,1,2,219,2,1,2,2,2,221,2,3,222,3,2
92,210,1,2,2,2,1,223,2,2,226,2,3,224,3,3
93,208,1,2,209,2,1,2,2,2,230,3,1,108,3,2
