id,male_name,female_name,attribute_decos.decos.type,attribute_decos.decos.change_value,attribute_decos.decos.change_percent
1,敬礼,敬礼,ATTACK,50,
2,修己,修己,ATTACK,30,
3,静正,静正,ATTACK,20,
4,泽善,泽善,ATTACK,80,
5,侍俊,侍俊,ATTACK,50,
6,德宁,德宁,ATTACK,30,
7,抱朴,抱朴,ATTACK,100,
8,内纯,内纯,ATTACK,80,
9,治经,治经,ATTACK,50,
10,英杰,英杰,ATTACK,150,
11,右君,右君,ATTACK,120,
12,子夏,子夏,ATTACK,80,
13,元之,元之,ATTACK,200,
14,微之,微之,ATTACK,150,
15,寒之,寒之,ATTACK,100,
16,红杏,红杏,ATTACK,250,
17,半山,半山,ATTACK,180,
18,公度,公度,ATTACK,140,
19,孙贾,孙贾,ATTACK,300,
20,明仪,明仪,ATTACK,200,
21,季礼,季礼,ATTACK,150,
22,雅人,雅人,ATTACK,400,
23,睛妍,睛妍,ATTACK,320,
24,莹宣,莹宣,ATTACK,250,
25,婳祎,婳祎,ATTACK,500,
26,滢玮,滢玮,ATTACK,380,
27,婧琳,婧琳,ATTACK,320,
28,姝瑗,姝瑗,ATTACK,600,
29,思睿,思睿,ATTACK,500,
30,菲絮,菲絮,ATTACK,400,
31,婕珍,婕珍,ATTACK,700,
32,秀影,秀影,ATTACK,600,
33,晨芙,晨芙,ATTACK,500,
34,微云,微云,ATTACK,800,
35,三秦,三秦,ATTACK,650,
36,远长,远长,ATTACK,580,
37,行冲,行冲,ATTACK,900,
38,史匿,史匿,ATTACK,750,
39,庆旭,庆旭,ATTACK,600,
40,师夷,师夷,ATTACK,1000,
41,召康,召康,ATTACK,800,
42,乐天,乐天,ATTACK,700,
43,威强,威强,ATTACK,1100,
44,克祸,克祸,ATTACK,850,
45,肃天,肃天,ATTACK,750,
46,博文,博文,ATTACK,1200,
47,敏民,敏民,ATTACK,900,
48,纯穆,纯穆,ATTACK,800,
49,雷公,霖花,ATTACK,1300,
50,荆公,桑花,ATTACK,1000,
51,天公,漆花,ATTACK,900,
52,经纬,经纬,ATTACK,1400,
53,旌德,旌德,ATTACK,1200,
54,函挽,函挽,ATTACK,1000,
55,帝王,女帝,ATTACK,1500,
