id,title,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content,entries.title,entries.content
1,养成,概述,1.伙伴基础属性为生命，攻击，物防，法防，命中率，闪避率，暴击率，抗暴率。还有暴击伤害，增伤，免伤，治疗增益，受治疗增益等稀有属性，只能通过花魂副属性获得。\n2.伙伴的攻击分为物理攻击和法术攻击两种；主角兼顾两种攻击属性。您需要根据不同敌方选择不同的伙伴来完成战斗。\n3.伙伴战斗定位分为攻击，防御，辅助三种。\n4.伙伴需要靠阅历升级，伙伴等级无法超过主角等级。\n5.部分伙伴拥有皮肤，玩家可以通过通关副本关卡或支线关卡获得皮肤。,逆命劫,1.玩家通关主线章节或完成成就任务可以获得天书墨。\n2.使用天书墨可以在逆命劫中为主角改命，每点击三次，可以通过一劫。改命后，除了提升主角属性，还可以解锁强化主角的技能。,学识,1.伙伴可以通过消耗各种书籍注释帮忙领悟书的精髓。每读完一本书，伙伴属性都将大幅提升。\n2.书籍可以从扫荡副本，抓捕封地小偷，以及各种商店中获得。,主角技能,1.主角拥有攻击，防御，辅助三套技能，每套技能的第二个技能，各有三个技能供玩家选择。\n2.玩家可以在阵容界面根据不同阵容自由搭配主角的技能。,诰封,1.伙伴诰封后，可以解锁关键技能，强化技能，大幅提升战斗属性。\n2.诰封所需的道具，可以从抵抗封地外敌入侵，参加宴会，以及各种商店中获得。,,
2,诗会,诗会,1.玩家可以通过使用诗会函或豪华诗会函参加诗会或豪华诗会。\n2.玩家在诗会中能够获得良等、佳等伙伴或伙伴信物；玩家在豪华诗会中，能够获得佳等、绝等伙伴或伙伴信物。\n3.信物数量足够时，在花名册界面可以招募该伙伴。\n4.每日都能免费参与一次诗会和豪华诗会。\n5.诗会奖池概率：良等伙伴2%，良等伙伴信物68%，佳等伙伴信物25%，绝等伙伴信物5%。\n6.豪华诗会奖池概率：良等伙伴3.6%，佳等伙伴10%，绝等伙伴1.9%，佳等伙伴信物54%，绝等伙伴信物30%。,,,,,,,,,,
3,好友,好友,1.玩家可以和其他玩家结为好友，成为好友之后，彼此赠送礼物，协助抵御封地外敌入侵等可以增加友好度。\n2.友好度提高后，双方组队花冢和协助对方抵御封地外敌入侵都会获得战斗属性加成。\n3.玩家若删除一名好友，则该玩家也会从被删除玩家的好友列表中消失。,关注,玩家可以选择单方面的关注别的玩家，对方不会收到被你关注的提示信息。,黑名单,1.玩家可以将另一玩家放入黑名单。\n2.将好友放入黑名单会同时将此人从好友列表中移除。\n3.玩家将不会接收到黑名单玩家在世界、家族、组队、私聊和宴会中发送的任何信息。,送礼,赠送对方礼物会增加赠送者的慷慨值并且增加对方的魅力值。,友好度,1.组队战斗每次成功可以提高1点。\n2.协助抵御外敌入侵，每次成功可以提高1点。\n3.送礼获取友好度如下：\n玫瑰：友好度增加1点\n金兰：友好度增加11点\n同心结：友好度增加50点\n待月西厢：友好度增加88点\n甜蜜蜜：友好度增加99点\n西窗烛：友好度增加199点\n地老天荒: 友好度增加666点\n一往情深：友好度增加888点\n百年好合：友好度增加999点\n星之彼岸：友好度增加1314点\n悠悠我心：友好度增加2888点\n语笑嫣然：友好度增加3888点,,
4,互动,互动,1.主角官品越高，解锁的互动项目越多。\n2.互动分为正面和负面两种类型，正面互动可以对好友和陌生人使用，负面互动无法对好友使用。\n3.正九品级以下的官员处于新手保护阶段，无法对其使用负面宫斗。\n4.大部分互动的使用次数每日5点自动补满，提携等互动只有在官品变更后次数才会重置。\n5.部分互动需要消耗道具，道具可以在商城购买。,,,,,,,,,,
5,府邸,家具,1.玩家首次获得家具，可以提高对应建筑的收藏值。\n2.建筑收藏值提高后，可以提高该建筑的等级。\n3.玩家首次获得家具，需要消耗家具币或者完成指定成就；之后可以消耗金饼重复购买家具。\n4.玩家的官品越高，可以获得的家具种类越多。,派遣,1.玩家可以派遣伙伴到府邸各个建筑里面行动。派遣时间结束，可以领取奖励。\n2.奖励将由基础奖励和额外奖励组成；基础奖励是固定的，而额外奖励每天都会变化。\n3.基础奖励派遣任意伙伴均能获得；额外奖励，则必须派遣图鉴里对应生活六维的伙伴才能获得；并且伙伴的对应生活六维越高，额外奖励越多。\n4.额外奖励每天刷新的时间为05:00。\n5.玩家也可以前往好友府邸派遣伙伴，玩家每日只能在好友的每个建筑内派遣一次伙伴，每日05:00刷新次数限制。,,,,,,,,
6,封地,总览,1.在封地，每天会有各种事件等待你去处理，城里还有各种各样的小偷，抓捕他们会获得丰厚的奖励，而且你要小心外敌的入侵，他们的实力可不是你一个人可以搞定的，快点邀请你的小伙伴们一起抵御外敌吧。\n2.封地等级的高低由繁荣度决定，繁荣度越高，封地建筑的等级越高，奖励则越好，碰到对手的掉落奖励也越丰厚。\n3.封地的繁荣度会持续增长，但是增长速度由你封地的资金、人口、安定和物资四个属性决定，在四个属性总值确定的情况下，发展越均衡，即四个属性值越接近，则繁荣度增长速度越快。,外敌入侵,1.外敌入侵时间为每周二、周五19:30-20:30。\n2.外敌入侵期间内可以到自己或其他人的封地抵御强敌，敌人分三轮进攻。\n3.在外敌入侵时间内赶走了自己封地的外敌可以获得大量奖励。\n4.去别人的封地协助作战，根据造成的伤害量得到奖励（伤害越高奖励越好）。\n5.获得奖励的协助次数有限，消耗完次数之后，可以继续协助，但是无法获得奖励，可以通过金饼补充获得协助奖励的次数。\n6.稀有的外敌入侵会获得更好的奖励哦。,小偷,1.每日5:00出现五个小偷，14:00会再出现五个小偷，抓捕小偷可以获得对应奖励。\n2.小偷等级和封地等级相关。\n3.前一天没有被抓捕的小偷，第二天就会逃跑了哦。,外交事件,1.每天05:00，封地内的某个建筑会发生外交事件。\n2.外交事件需要邀请其他伙伴一起完成。\n3.根据地区的不同，参与者和邀请者都有机会获得额外奖励。\n4.奖励与自己所在的地区和主角的等级有关。,,,,
7,家族,除暴安民,1.玩家每天有固定的挑战家族副本次数，次数用完后不可继续挑战。\n2.每关通过后会统计副本伤害总量，通过邮件结算个人伤害排行贡献。\n3.最终击杀者会额外获得额外奖励，物品奖励进入奖池，权限者有权分配。\n4.每日5:00系统会自动分配申请的道具。\n5.副本怪物击杀后才可开启下个关卡的情报。\n6.副本重置后，将副本进度状态重新初始化;副本重置不影响已产生的掉落和奖励。,祈福树,1.每日玩家可以抢和发一定次数的福袋。\n2.贵族特权影响福袋抢和发的购买次数。\n3.每日5:00重置次数。\n4.福袋挂满后，福袋没有被领取完则无法再挂福袋。\n5.2小时内福袋没有领完则无法继续领取。,悬赏,1.玩家每天可以完成3次悬赏。\n2.帮助家族的其他人同样可以获得家族贡献。\n3.提交悬赏时会优先提交其他人帮助你的部分。\n4.每日5:00清空帮助内容并重置。,捐献,1.玩家每日中级捐献和高级捐献每日分别可进行一次家族捐献，低级捐献没有次数限制。\n2.捐献达一定进度全家族的人可以获得对应额度奖励。\n3.每日5:00重置捐献次数。,家族战,1.家族战每周四和周日进行。\n2.族长或者副族长可以在家族界面报名。\n3.家族战分为主将战，先锋战和合战，主将战胜利可以获得30点积分，先锋战每场胜利可以获得10积分，合战胜利可以获得50积分。\n4.合战由家族中没有任职的战力前20的玩家参与，合战开始时，由参战中最低的两名玩家最先开始对阵，战败则淘汰，当一方所有合战人员全部淘汰时，对方胜利。战斗继承血量，最多可以连胜三场，连胜三场后淘汰。\n5.战斗开始之前家族成员可以鼓舞，鼓舞会增加上阵家族伙伴的战斗属性。,,
8,花冢,花冢,1.通关花冢关卡，可以获得随机花魂，花蕾，及花魂突破材料。\n2.花冢战斗中，玩家释放技能击中敌方格子，可以点亮该格子；当玩家点亮九宫格时，会提高一级点亮等级（最高为五级）；点亮等级越高，战斗结束获得的奖励越好。\n3.玩家全灭敌方后，会进入奖励时间，敌方在此时会变为木桩，玩家可以在限制回合内尽情提高点亮等级，达到最大点亮等级，自动获胜。\n4.通过第5难度后，每天会随机两个特殊关，挑战特殊关会获得额外掉落。每天的挑战关胜利一次后将变回普通关。\n5.在特殊关战斗中，每回合敌方格子中都会刷出一个特殊点，当前回合命中三次特殊点，提高一级点击等级，命中五次，提高二级（最高五级）。\n6.花冢挑战失败不消耗挑战次数。\n7.花冢每日挑战次数会在每日05:00恢复。,,,,,,,,,,
9,列传,列传,1.每人每日总共可以挑战五次列传战斗关卡，每个列传关卡有独立的挑战次数上限，当总挑战次数用完后，可以使用金饼购买。\n2.成功挑战一次战斗关卡，消耗一次列传挑战次数和相应体力。剧情关卡不消耗挑战次数，挑战失败不消耗次数和体力。\n3.列传挑战总次数和关卡独立挑战次数将于每日05:00重置。,,,,,,,,,,
10,比武,比武,1.在比武战斗中，挑战方与被挑战方皆为自动战斗的方式。挑战方胜利后，如果被挑战方排名高于挑战方，双方交换排名位置。如果被挑战方排名低于挑战方，则双方排名不变。\n2.通过比武提升排名，可以获得丰厚的金饼奖励。\n3.比武结算时间为每日22:00-22:05。\n4.根据玩家当日的比武排名，奖励通过系统邮件形式发放。\n5.每人每日拥有十次比武挑战机会，当次数全部用完后，可以使用金饼购买次数。\n6.比武挑战次数于每日05:00重置。,每日奖励,比武每日结算奖励如下\n第1名：600金饼，100000银饼，800声望\n第2名：550金饼，95000银饼，775声望\n第3名：500金饼，90000银饼，750声望\n第4名：450金饼，85000银饼，725声望\n第5名：400金饼，80000银饼，700声望\n第6名：380金饼，75000银饼，680声望\n第7名：360金饼，70000银饼，660声望\n第8名：340金饼，65000银饼，640声望\n第9名：320金饼，60000银饼，620声望\n第10名：300金饼，55000银饼，600声望\n第11名：290金饼，50000银饼，580声望\n第12-21名：280金饼，45000银饼，560声望\n第22-31名：260金饼，40000银饼，540声望\n第32-51名：250金饼，35000银饼，520声望\n第52-71名：240金饼，30000银饼，500声望\n第72-101名：220金饼，25000银饼，475声望\n第102-201名：200金饼，22500银饼，450声望\n第202-301名：190金饼，20000银饼，400声望\n第302-501名：120金饼，16000银饼，350声望\n第502-701名：100金饼，14000银饼，300声望\n第702-1001名：90金饼，12000银饼，260声望\n第1002-2001名：80金饼，10000银饼，220声望\n第2002-3001名：50金饼，9000银饼，150声望\n第3002-5001名：50金饼，8000银饼，100声望\n第5002-7001名：45金饼，7000银饼，50声望\n第7002名以后：45金饼，5000银饼,,,,,,,,
