id,icon,name,male,arg,arg,need.part,need.pttid,repell
104001,ui/nielian/lianbuicon6_hongmonv,轻摇,False,eye_hongmo6/0,eye_hongmo6/0,,,
104002,ui/nielian/lianbuicon1_hongmonv,剪水,False,eye_hongmo1/0,eye_hongmo1/0,,,
104003,ui/nielian/lianbuicon2_hongmonv,玲珑,False,eye_hongmo2/0,eye_hongmo2/0,,,
104004,ui/nielian/lianbuicon3_hongmonv,姑洗,False,eye_hongmo3/0,eye_hongmo3/0,,,
104005,ui/nielian/lianbuicon4_hongmonv,初春,False,eye_hongmo4/0,eye_hongmo4/0,,,
104006,ui/nielian/lianbuicon5_hongmonv,启明,False,eye_hongmo5/0,eye_hongmo5/0,,,
104007,ui/nielian/lianbuicon7_hongmonv,冰月,False,eye_hongmo7/0,eye_hongmo7/0,,,
104008,ui/nielian/lianbuicon8_hongmonv,凌霜,False,eye_hongmo8/0,eye_hongmo8/0,,,
104009,ui/nielian/lianbuicon9_hongmonv,初开,False,eye_hongmo9/0,eye_hongmo9/0,,,
104010,ui/nielian/lianbuicon10_hongmonv,乾坤,False,eye_hongmo10/0,eye_hongmo10/0,,,
104011,ui/nielian/lianbuicon11_hongmonv,随风,False,eye_hongmo11/0,eye_hongmo11/0,,,
104012,ui/nielian/lianbuicon12_hongmonv,歧义,False,eye_hongmo12/0,eye_hongmo12/0,,,
104013,ui/nielian/lianbuicon13_hongmonv,槐木,False,eye_hongmo13/0,eye_hongmo13/0,,,
204001,ui/nielian/lianbuicon6_hongmonan,随风,True,eye_hongmo6/0,eye_hongmo6/0,,,
204002,ui/nielian/lianbuicon1_hongmonan,乾坤,True,eye_hongmo1/0,eye_hongmo1/0,,,
204003,ui/nielian/lianbuicon2_hongmonan,石榴,True,eye_hongmo2/0,eye_hongmo2/0,,,
204004,ui/nielian/lianbuicon3_hongmonan,极光,True,eye_hongmo3/0,eye_hongmo3/0,,,
204005,ui/nielian/lianbuicon4_hongmonan,荏苒,True,eye_hongmo4/0,eye_hongmo4/0,,,
204006,ui/nielian/lianbuicon5_hongmonan,荧惑,True,eye_hongmo5/0,eye_hongmo5/0,,,
204007,ui/nielian/lianbuicon7_hongmonan,霁月,True,eye_hongmo7/0,eye_hongmo7/0,,,
204008,ui/nielian/lianbuicon8_hongmonan,流苏,True,eye_hongmo8/0,eye_hongmo8/0,,,
204009,ui/nielian/lianbuicon9_hongmonan,歧义,True,eye_hongmo9/0,eye_hongmo9/1,,,
204010,ui/nielian/lianbuicon10_hongmonan,无忧,True,eye_hongmo10/0,eye_hongmo10/0,,,
204011,ui/nielian/lianbuicon11_hongmonan,醉墨,True,eye_hongmo11/0,eye_hongmo11/0,,,
204012,ui/nielian/lianbuicon12_hongmonan,雨巷,True,eye_hongmo12/0,eye_hongmo12/0,,,
204013,ui/nielian/lianbuicon13_hongmonan,槐木,True,eye_hongmo13/0,eye_hongmo13/0,,,
