id,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg
1001,COST_ITEM,50004,1,,,,,,,,,,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100004,HP_TOUFA,200004
1002,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50005,15,COST_ITEM,50004,10,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100005,HP_TOUFA,200005
1003,MAX_GPIN_GE,1,,COST_RESOURCE,GOLD,5000,COST_ITEM,50005,10,COST_ITEM,50008,10,COST_ITEM,50004,10,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100006,HP_TOUFA,200006
1004,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50014,5,COST_ITEM,50005,10,COST_ITEM,50004,5,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100008,HP_TOUFA,200008
1005,MAX_GPIN_GE,17,,COST_RESOURCE,GOLD,30000,COST_ITEM,50015,15,COST_ITEM,50007,15,COST_ITEM,50010,20,COST_ITEM,50014,15,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100010,HP_TOUFA,200010
1006,MAX_GPIN_GE,5,,COST_RESOURCE,GOLD,5000,COST_ITEM,50005,10,COST_ITEM,50004,10,COST_ITEM,50012,10,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100011,HP_TOUFA,200011
1007,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,5000,COST_ITEM,50005,10,COST_ITEM,50004,10,COST_ITEM,50008,10,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100017,HP_TOUFA,200017
1008,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50011,5,COST_ITEM,50014,10,COST_ITEM,50010,15,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100016,HP_TOUFA,200016
1009,MAX_GPIN_GE,9,,COST_RESOURCE,GOLD,20000,COST_ITEM,50015,15,COST_ITEM,50009,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100020,HP_TOUFA,200020
1010,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,15,COST_ITEM,50013,25,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100022,HP_TOUFA,200022
1011,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,10,COST_ITEM,50009,20,COST_ITEM,50012,30,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100027,HP_TOUFA,200027
1012,MAX_GPIN_GE,19,,COST_RESOURCE,GOLD,30000,COST_ITEM,50015,15,COST_ITEM,50010,30,COST_ITEM,50009,40,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100028,HP_TOUFA,200028
1013,MAX_GPIN_GE,15,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,10,COST_ITEM,50009,20,COST_ITEM,50012,30,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100029,HP_TOUFA,200029
1015,MAX_GPIN_GE,13,,COST_RESOURCE,GOLD,20000,COST_ITEM,50010,10,COST_ITEM,50009,20,,,,,,,ADD_HUANZHUANG_COLLECTION,HP_TOUFA,100021,HP_TOUFA,200021
