time,pttid
20180730,1
20180802,2
20180806,3
20180809,4
20180813,5
20180816,6
20180820,7
20180823,8
20180827,9
20180830,10
20180903,11
20180906,12
20180910,13
20180913,14
20180917,15
20180920,16
20180924,17
20180927,18
20181001,19
20181004,20
20181008,21
20181011,22
20181015,23
20181018,24
20181022,25
20181025,26
20181029,1
20181101,2
20181105,3
20181108,4
20181112,5
20181115,6
20181119,7
20181122,8
20181126,9
20181129,10
20181203,11
20181206,12
20181210,13
20181213,14
20181217,15
20181220,16
20181224,17
20181227,18
20181231,19
20190103,20
20190107,21
20190110,22
20190114,23
20190117,24
20190121,25
20190124,26
20190128,1
20190131,2
20190204,3
20190207,4
20190211,5
20190214,6
20190218,7
20190221,8
20190225,9
20190228,10
20190304,11
20190307,12
20190311,13
20190314,14
20190318,15
20190321,16
20190325,17
20190328,18
20190401,19
20190404,20
20190408,21
20190411,22
20190415,23
20190418,24
20190422,25
20190425,26
20190429,1
20190502,2
20190506,3
20190509,4
20190513,5
20190516,6
20190520,7
20190523,8
20190527,9
20190530,10
20190603,11
20190606,12
20190610,13
20190613,14
20190617,15
20190620,16
20190624,17
20190627,18
20190701,19
20190704,20
20190708,21
20190711,22
20190715,23
20190718,24
20190722,25
20190725,26
20190729,1
20190801,2
20190805,3
20190808,4
20190812,5
20190815,6
20190819,7
20190822,8
20190826,9
20190829,10
20190902,11
20190905,12
20190909,13
20190912,14
20190916,15
20190919,16
20190923,17
20190926,18
20190930,19
20191003,20
20191007,21
20191010,22
20191014,23
20191017,24
20191021,25
20191024,26
20191028,1
20191031,2
20191104,3
20191107,4
20191111,5
20191114,6
20191118,7
20191121,8
20191125,9
20191128,10
20191202,11
20191205,12
20191209,13
20191212,14
20191216,15
20191219,16
20191223,17
20191226,18
20191230,19
20200102,20
20200106,21
20200109,22
20200113,23
20200116,24
20200120,25
20200123,26
20200127,1
20200130,2
20200203,3
20200206,4
20200210,5
20200213,6
20200217,7
20200220,8
20200224,9
20200227,10
20200302,11
20200305,12
20200309,13
20200312,14
20200316,15
20200319,16
20200323,17
20200326,18
20200330,19
20200402,20
20200406,21
20200409,22
20200413,23
