type,female_icon,male_icon
HZ_FANHUA,ui/waiguan/tagIcon/hz_fanhua,ui/waiguan/tagIcon/hz_fanhua
HZ_JIANYUE,ui/waiguan/tagIcon/hz_jianyue,ui/waiguan/tagIcon/hz_jianyue
HZ_CHENGSHU,ui/waiguan/tagIcon/hz_chengshu,ui/waiguan/tagIcon/hz_chengshu
HZ_QINGCHUN,ui/waiguan/tagIcon/hz_qingchun,ui/waiguan/tagIcon/hz_qingchun
HZ_CAIZIJIAREN,ui/waiguan/tagIcon/hz_jiaren,ui/waiguan/tagIcon/hz_caizi
HZ_HUOPO,ui/waiguan/tagIcon/hz_huopo,ui/waiguan/tagIcon/hz_huopo
HZ_FENGLIUWUMEI,ui/waiguan/tagIcon/hz_wumei,ui/waiguan/tagIcon/hz_fengliu
HZ_TONGZHEN,ui/waiguan/tagIcon/hz_tongzhen,ui/waiguan/tagIcon/hz_tongzhen
HZ_BAONUAN,ui/waiguan/tagIcon/hz_baonuan,ui/waiguan/tagIcon/hz_baonuan
HZ_QINGLIANG,ui/waiguan/tagIcon/hz_qingliang,ui/waiguan/tagIcon/hz_qingliang
HZ_SHIWEN,ui/waiguan/tagIcon/hz_shiwen,ui/waiguan/tagIcon/hz_shiwen
HZ_RUYADUANZHUANG,ui/waiguan/tagIcon/hz_duanzhuang,ui/waiguan/tagIcon/hz_ruya
HZ_YONGMENGYINGZI,ui/waiguan/tagIcon/hz_yingzi,ui/waiguan/tagIcon/hz_yongmeng
FG_JIANGHU,ui/waiguan/tagIcon/fg_jianghu,ui/waiguan/tagIcon/fg_jianghu
FG_GUANCHANG,ui/waiguan/tagIcon/fg_gongting,ui/waiguan/tagIcon/fg_gongting
FG_XIUXIAN,ui/waiguan/tagIcon/fg_xiuxian,ui/waiguan/tagIcon/fg_xiuxian
FG_JIERI,ui/waiguan/tagIcon/fg_jieri,ui/waiguan/tagIcon/fg_jieri
FG_SHENGDIAN,ui/waiguan/tagIcon/fg_shengdian,ui/waiguan/tagIcon/fg_shengdian
FG_WUYI,ui/waiguan/tagIcon/fg_wuyi,ui/waiguan/tagIcon/fg_wuyi
FG_HUAYU,ui/waiguan/tagIcon/fg_huayu,ui/waiguan/tagIcon/fg_huayu
FG_DONGWU,ui/waiguan/tagIcon/fg_lingshou,ui/waiguan/tagIcon/fg_lingshou
FG_XINGZUO,ui/waiguan/tagIcon/fg_xingzuo,ui/waiguan/tagIcon/fg_xingzuo
FG_SHENGXIAO,ui/waiguan/tagIcon/fg_shengxiao,ui/waiguan/tagIcon/fg_shengxiao
FG_HUNFU,ui/waiguan/tagIcon/fg_hunfu,ui/waiguan/tagIcon/fg_hunfu
FG_SHOULIE,ui/waiguan/tagIcon/fg_shoulie,ui/waiguan/tagIcon/fg_shoulie
FG_CHUANYUE,ui/waiguan/tagIcon/fg_yiyu,ui/waiguan/tagIcon/fg_yiyu
FG_ZOUYUE,ui/waiguan/tagIcon/fg_zouyue,ui/waiguan/tagIcon/fg_zouyue
FG_ZHENGZHAN,ui/waiguan/tagIcon/fg_zhengzhan,ui/waiguan/tagIcon/fg_zhengzhan
FG_SHUMO,ui/waiguan/tagIcon/fg_shumo,ui/waiguan/tagIcon/fg_shumo
FG_YUANYOU,ui/waiguan/tagIcon/fg_youyuan,ui/waiguan/tagIcon/fg_youyuan
FG_XIJU,ui/waiguan/tagIcon/fg_xiju,ui/waiguan/tagIcon/fg_xiju
FG_YEXING,ui/waiguan/tagIcon/fg_yexing,ui/waiguan/tagIcon/fg_yexing
FG_YUNDONG,ui/waiguan/tagIcon/fg_yundong,ui/waiguan/tagIcon/fg_yundong
FG_DIWANG,ui/waiguan/tagIcon/fg_diwang,ui/waiguan/tagIcon/fg_diwang
