id,icon,name,desc,male,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,item.part,item.pttid,reward_events.events.type,reward_events.events.arg,reward_events.events.arg,attr_decos.decos.type,attr_decos.decos.change_value,attr_decos.decos.change_percent,attr_decos.decos.type,attr_decos.decos.change_value,attr_decos.decos.change_percent
1000,ui/hzicon/taozhuang/tznv_jinxiu,锦绣,锦绣,False,HP_TOUFA,100000,HP_YIFU,110000,,,,,,,ADD_ITEM,50004,5,ATTACK,30,,,,
1001,ui/hzicon/taozhuang/tznv_weiyang,未央,未央,False,HP_TOUFA,100001,HP_YIFU,110001,,,HP_SHOUCHI,140001,,,ADD_ITEM,50008,5,ATTACK,30,,,,
1002,ui/hzicon/taozhuang/tznv_baijiang,白江,白江,False,HP_TOUFA,100002,HP_YIFU,110002,,,HP_SHOUCHI,140002,HP_GUANSHI,101002,ADD_ITEM,50012,5,ATTACK,30,,,,
1003,ui/hzicon/taozhuang/tznv_huamei,画眉,画眉,False,HP_TOUFA,100003,HP_YIFU,110003,,,HP_SHOUCHI,140003,HP_GUANSHI,101003,ADD_ITEM,50004,5,HP,2000,,,,
1004,ui/hzicon/taozhuang/tznv_lingdong,灵动,灵动,False,HP_TOUFA,100004,HP_YIFU,110004,,,HP_SHOUCHI,140004,HP_GUANSHI,101004,ADD_ITEM,50008,5,HP,1000,,,,
1005,ui/hzicon/taozhuang/tznv_yemao,夜猫,夜猫,False,HP_TOUFA,100005,HP_YIFU,110005,HP_BEISHI,120005,,,HP_GUANSHI,101005,ADD_ITEM,50012,5,ATTACK,100,,,,
1006,ui/hzicon/taozhuang/tznv_huazhiming,花之茗,花之茗,False,HP_TOUFA,100006,HP_YIFU,110006,,,,,HP_TOUJIN,101006,ADD_ITEM,50004,5,PHYSICAL_DEFENCE,100,,MAGICAL_DEFENCE,100,
1007,ui/hzicon/taozhuang/tznv_mousi,谋思,谋思,False,HP_TOUFA,100007,HP_YIFU,110007,,,,,HP_TOUJIN,101007,ADD_ITEM,50008,5,ATTACK,200,,,,
1008,ui/hzicon/taozhuang/tznv_qingyu,清雨,清雨,False,HP_TOUFA,100008,HP_YIFU,110008,,,,,,,ADD_ITEM,50012,5,HP,500,,PHYSICAL_DEFENCE,100,
1009,ui/hzicon/taozhuang/tznv_mizong,秘踪,秘踪,False,HP_TOUFA,100009,HP_YIFU,110009,HP_BEISHI,120009,HP_SHOUCHI,140009,,,ADD_ITEM,50004,5,HP,500,,MAGICAL_DEFENCE,100,
1010,ui/hzicon/taozhuang/tznv_qingtian,青天,青天,False,HP_TOUFA,100010,HP_YIFU,110010,,,HP_SHOUCHI,140010,,,ADD_ITEM,50011,1,HP,5000,,,,
1011,ui/hzicon/taozhuang/tznv_moran,墨染,墨染,False,HP_TOUFA,100011,HP_YIFU,110011,HP_BEISHI,120011,HP_SHOUCHI,140011,,,ADD_ITEM,50012,5,HP,500,,ATTACK,50,
1012,ui/hzicon/taozhuang/tznv_xialu,侠路相逢,侠路相逢,False,HP_TOUFA,100012,HP_YIFU,110012,,,HP_SHOUCHI,140012,,,ADD_ITEM,50004,5,HP,500,,ATTACK,50,
1013,ui/hzicon/taozhuang/tznv_taohua,桃花,桃花,False,HP_TOUFA,100013,HP_YIFU,110013,,,HP_SHOUCHI,140013,HP_TOUJIN,101013,ADD_ITEM,50008,5,PHYSICAL_DEFENCE,200,,MAGICAL_DEFENCE,200,
1014,ui/hzicon/taozhuang/tznv_fanxing,繁星,繁星,False,HP_TOUFA,100014,HP_YIFU,110014,,,,,HP_GUANSHI,101014,ADD_ITEM,50012,5,HP,1000,,PHYSICAL_DEFENCE,200,
1015,ui/hzicon/taozhuang/tznv_huahuo,花火,花火,False,HP_TOUFA,100015,HP_YIFU,110015,HP_BEISHI,120015,,,HP_TOUJIN,101015,ADD_ITEM,50005,3,ATTACK,100,,,,
1016,ui/hzicon/taozhuang/tznv_gongxin,宫心,宫心,False,HP_TOUFA,100016,HP_YIFU,110016,HP_BEISHI,120016,HP_SHOUCHI,140016,,,ADD_ITEM,50013,3,HP,1000,,MAGICAL_DEFENCE,200,
1017,ui/hzicon/taozhuang/tznv_huancai,幻彩,幻彩,False,HP_TOUFA,100017,HP_YIFU,110017,,,,,HP_TOUJIN,101017,ADD_ITEM,50009,3,PHYSICAL_DEFENCE,200,,,,
1018,ui/hzicon/taozhuang/tznv_hongjian,红笺,红笺,False,HP_TOUFA,100018,HP_YIFU,110018,,,HP_SHOUCHI,140018,,,ADD_ITEM,50005,3,ATTACK,500,,,,
1019,ui/hzicon/taozhuang/tznv_ansheng,安生,安生,False,HP_TOUFA,100019,HP_YIFU,110019,,,HP_SHOUCHI,140019,,,ADD_ITEM,50013,3,MAGICAL_DEFENCE,200,,,,
1020,ui/hzicon/taozhuang/tznv_huangshi,皇室来宾,皇室来宾,False,HP_TOUFA,100020,HP_YIFU,110020,,,HP_SHOUCHI,140020,,,ADD_ITEM,50009,3,HP,1000,,ATTACK,100,
1021,ui/hzicon/taozhuang/tznv_shufang,淑芳,淑芳,False,HP_TOUFA,100021,HP_YIFU,110021,HP_BEISHI,120021,HP_SHOUCHI,140021,,,ADD_ITEM,50005,3,HP,1000,,ATTACK,100,
1022,ui/hzicon/taozhuang/tznv_wangdie,王蝶,王蝶,False,HP_TOUFA,100022,HP_YIFU,110022,HP_BEISHI,120022,,,,,ADD_ITEM,50013,3,ATTACK,200,,,,
1023,ui/hzicon/taozhuang/tznv_zhizi,执子,执子,False,HP_TOUFA,100023,HP_YIFU,110023,,,HP_SHOUCHI,140023,HP_GUANSHI,101023,ADD_ITEM,50015,1,PHYSICAL_DEFENCE,500,,MAGICAL_DEFENCE,500,
1024,ui/hzicon/taozhuang/tznv_changle,常乐,常乐,False,HP_TOUFA,100024,HP_YIFU,110024,,,HP_SHOUCHI,140024,HP_GUANSHI,101024,ADD_ITEM,50005,3,PHYSICAL_DEFENCE,400,,,,
1025,ui/hzicon/taozhuang/tznv_dingguo,定国,定国,False,HP_TOUFA,100025,HP_YIFU,110025,,,HP_SHOUCHI,140025,,,ADD_ITEM,50013,3,HP,1000,,,,
1026,ui/hzicon/taozhuang/tznv_jinyiwei,锦衣卫,锦衣卫,False,HP_TOUFA,100026,HP_YIFU,110026,HP_BEISHI,120026,HP_SHOUCHI,140026,HP_GUANSHI,101026,ADD_ITEM,50009,3,MAGICAL_DEFENCE,400,,,,
1027,ui/hzicon/taozhuang/tznv_yashi,雅士,雅士,False,HP_TOUFA,100027,HP_YIFU,110027,,,,,,,ADD_ITEM,50006,2,HP,2000,,,,
1028,ui/hzicon/taozhuang/tznv_longfen,龙凤,龙凤,False,HP_TOUFA,100028,HP_YIFU,110028,HP_BEISHI,120028,HP_SHOUCHI,140028,HP_GUANSHI,101028,ADD_ITEM,50007,1,HP,2500,,ATTACK,250,
1029,ui/hzicon/taozhuang/tznv_mengzhiyao,梦之瑶,梦之瑶,False,HP_TOUFA,100029,HP_YIFU,110029,HP_BEISHI,120029,HP_SHOUCHI,140029,,,ADD_ITEM,50014,2,ATTACK,200,,,,
1030,ui/hzicon/taozhuang/tznv_yelaifengyu,夜来风雨,夜来风雨,False,HP_TOUFA,100030,HP_YIFU,110030,HP_BEISHI,120030,HP_SHOUCHI,140030,,,ADD_ITEM,50015,1,HP,2500,,PHYSICAL_DEFENCE,500,
1031,ui/hzicon/taozhuang/tznv_linglong,玲珑,玲珑,False,HP_TOUFA,100031,HP_YIFU,110031,HP_BEISHI,120031,HP_SHOUCHI,140031,HP_GUANSHI,101031,ADD_ITEM,50010,2,HP,2000,,,,
1032,ui/hzicon/taozhuang/tznv_lujian,路见,路见,False,HP_TOUFA,100032,HP_YIFU,110032,HP_BEISHI,120032,HP_SHOUCHI,140032,,,ADD_ITEM,50014,2,ATTACK,200,,,,
1033,ui/hzicon/taozhuang/tznv_qiongyao,琼瑶,琼瑶,False,HP_TOUFA,100033,HP_YIFU,110033,,,HP_SHOUCHI,140033,HP_GUANSHI,101033,ADD_ITEM,50014,2,ATTACK,100,,,,
1034,ui/hzicon/taozhuang/tznv_yaoyue,邀月,邀月,False,HP_TOUFA,100034,HP_YIFU,110034,,,,,HP_GUANSHI,101034,ADD_ITEM,50014,2,HP,2500,,MAGICAL_DEFENCE,500,
1035,ui/hzicon/taozhuang/tznv_chiyan,通明,通明,False,HP_TOUFA,100035,HP_YIFU,110035,,,,,HP_GUANSHI,101035,ADD_ITEM,50008,5,ATTACK,30,,,,
1036,ui/hzicon/taozhuang/tznv_dingxiang,丁香,丁香,False,HP_TOUFA,100036,HP_YIFU,110036,,,,,,,ADD_ITEM,50008,5,ATTACK,30,,,,
1037,ui/hzicon/taozhuang/tznv_feitian,清月照影,清月照影,False,HP_TOUFA,100037,HP_YIFU,110037,HP_BEISHI,120037,HP_SHOUCHI,140037,,,ADD_ITEM,50009,3,ATTACK,30,,,,
1038,ui/hzicon/taozhuang/tznv_zifeng,紫风,紫风,False,HP_TOUFA,100038,HP_YIFU,110038,,,HP_SHOUCHI,140038,HP_GUANSHI,101038,ADD_ITEM,50008,5,ATTACK,30,,,,
2000,ui/hzicon/taozhuang/tznan_dingxiang,锦绣,锦绣,True,HP_TOUFA,200000,HP_YIFU,210000,,,,,,,ADD_ITEM,50004,5,ATTACK,30,,,,
