id,icon,name,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang,taozhuang
1,ui/tujian/jinxiuheshan_icon,锦绣河山,1000,2000,1017,2017,1034,2034,1035,2035,,
2,ui/tujian/shuxiangmendi_icon,书香门第,1001,2001,1002,2002,1019,2019,,,,
3,ui/tujian/xiusemanyuan_icon,秀色满园,1006,2006,1013,2013,1036,2036,,,,
4,ui/tujian/yingzisashuang_icon,英姿飒爽,1012,2012,1015,2015,1025,2025,1026,2026,1030,2030
5,ui/tujian/dajiafengfan_icon,大家风范,1003,2003,1007,2007,1016,2016,1024,2024,1028,2028
6,ui/tujian/fenggeluanwu_icon,凤歌鸾舞,1004,2004,1022,2022,1033,2033,1037,2037,,
7,ui/tujian/yuyinliaorao_icon,余音缭绕,1021,2021,1029,2029,,,,,,
8,ui/tujian/fenghuazhengmao_icon,风华正茂,1032,2032,,,,,,,,
9,ui/tujian/youyouchangye_icon,悠悠长夜,1005,2005,1009,2009,,,,,,
10,ui/tujian/ziyouzizai_icon,自由自在,1008,2008,1011,2011,1027,2027,,,,
11,ui/tujian/liyuandizi_icon,梨园弟子,1010,2010,,,,,,,,
12,ui/tujian/yiguofengqing_icon,异国风情,1020,2020,1031,2031,1038,2038,,,,
13,ui/tujian/huahaoyueyuan_icon,花好月圆,1023,2023,,,,,,,,
14,ui/tujian/jieriqingdian_icon,节日庆典,1018,2018,,,,,,,,
15,ui/tujian/qunxingcuican_icon,群星璀璨,1014,2014,,,,,,,,
