id,name,desc,icon,quality,stack_count,type,use_conditions.conditions.type,use_conditions.conditions.arg,use_conditions.conditions.arg,use_conditions.conditions.type,use_conditions.conditions.arg,use_conditions.conditions.arg,max_use_count,use_events.events.type,use_events.events.arg,use_events.events.arg,use_events.events.type,use_events.events.arg,use_events.events.arg,target_events.events.type,target_events.events.arg,target_events.events.arg,sell_events.events.type,sell_events.events.arg,sell_events.events.arg,direct_use,tags,origins,origins,origins,origins,buy_desc,everyday_use_count
1,桂花糕,平城特产桂花糕，烹时飘香十里，食用后可补充25点体力。,icon/item/icon_tilis,4,999,ITEM,COST_ITEM,1,1,RESOURCE_NOT_REACH_MAX,POWER,,,ADD_RESOURCE,POWER,25,,,,,,,ADD_RESOURCE,GOLD,100,True,,5,,,,,80
2,阅历读本,粗略记载了些人生阅历的读本，使用后获得1000点阅历。,icon/item/nanmutaben,2,999,ITEM,COST_ITEM,2,1,,,,99,ADD_RESOURCE,ACTOR_EXP,1000,,,,,,,ADD_RESOURCE,GOLD,100,True,,5,54,,,,
3,阅历杂论,承载了人生百态，丰富阅历故事的杂论集，使用后获得5000点阅历。,icon/item/qingshitaben,3,999,ITEM,COST_ITEM,3,1,,,,99,ADD_RESOURCE,ACTOR_EXP,5000,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
4,阅历精选,精选了王侯将相成功人生阅历的文集，使用后获得20000点阅历。,icon/item/luanyutaben,4,999,ITEM,COST_ITEM,4,1,,,,99,ADD_RESOURCE,ACTOR_EXP,20000,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
5,阅历新解,阅遍各色人生后，获得对人生全新的理解，使用后获得50000点阅历。,icon/item/jinlingtaben,5,999,ITEM,COST_ITEM,5,1,,,,99,ADD_RESOURCE,ACTOR_EXP,50000,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
6,银饼荷包,使用后获得10000银饼，有一定几率为30000或100000银币。,icon/item/jixianghebao,3,999,ITEM,COST_ITEM,6,1,,,,99,DROP,50011,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,5,54,,,,
7,素心荷包,素心方能安生，寓意悠远，使用后获得25000银饼。,icon/item/suxinhebao,3,999,ITEM,COST_ITEM,7,1,,,,99,ADD_RESOURCE,GOLD,25000,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
8,鱼跃荷包,鱼跃龙门，飞黄腾达，使用后获得50000银饼。,icon/item/yuyuehebao,4,999,ITEM,COST_ITEM,8,1,,,,99,ADD_RESOURCE,GOLD,50000,,,,,,,ADD_RESOURCE,GOLD,100,True,,50,,,,,
9,风羽荷包,绣着风中的羽毛，做工精致，使用后获得100000银饼。,icon/item/fengyuhebao,5,999,ITEM,COST_ITEM,9,1,,,,99,ADD_RESOURCE,GOLD,100000,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
10,天香锦囊,芳香独特的锦囊，一看知道里面有一堆好东西，使用后获得10金饼。,icon/item/tianxiangjinnang,4,999,ITEM,COST_ITEM,10,1,,,,99,ADD_RESOURCE,DIAMOND,10,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
11,海衣锦囊,像蓝蓝大海穿着的衣裳，里面有不少好东西呢，使用后获得50金饼。,icon/item/haiyijinnang,4,999,ITEM,COST_ITEM,11,1,,,,99,ADD_RESOURCE,DIAMOND,50,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
12,花月锦囊,春江花月，甜蜜无声，出自豪门手笔，使用后获得100金饼。,icon/item/huayuejinnang,4,999,ITEM,COST_ITEM,12,1,,,,99,ADD_RESOURCE,DIAMOND,100,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
13,山河锦囊,装着锦绣山河的宝物袋，使用后获得200金饼。,icon/item/shanhejinnang,5,999,ITEM,COST_ITEM,13,1,,,,99,ADD_RESOURCE,DIAMOND,200,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
14,御酒,上等百年御用佳酿，使用后补充10点活力。,icon/resource/huoli,4,999,ITEM,COST_ITEM,14,1,RESOURCE_NOT_REACH_MAX,VIGOR,,,ADD_RESOURCE,VIGOR,10,,,,,,,ADD_RESOURCE,GOLD,100,True,,5,,,,,
15,绿色花魂礼包,用翡翠色丝绸包裹着花魂，打开前没人知道里面是什么花魂，使用后随机获得1种绿色花魂。,icon/item/huahunlibao_1,2,999,ITEM,COST_ITEM,15,1,,,,10,DROP,20005,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,56,54,,,,
16,首周礼包(男),七日活动中积分累计足够而获得的时装礼包，打开后获得繁星套装。,icon/item/giftbox_2,5,2,ITEM,COST_ITEM,16,1,,,,,DROP,32001,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
17,首周礼包(女),七日活动中积分累计足够而获得的时装礼包，打开后获得繁星套装。,icon/item/giftbox_2,5,2,ITEM,COST_ITEM,17,1,,,,,DROP,32002,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
18,聘礼,聘礼。,icon/item/fudai,2,2,OTHER_SYSTEM,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,,,,,,
19,花魂养成礼包,使用后必定获得5个晶沙，有一定几率额外获得1个花晶石。可用于花魂强化。,icon/item/giftbox_6,4,999,ITEM,COST_ITEM,19,1,,,,10,DROP,50002,5,DROP,50003,1,,,,ADD_RESOURCE,GOLD,100,True,,56,54,,,,
20,蓝色花魂礼包,用蓝色丝绸包裹着花魂，打开前没人知道里面是什么花魂，使用后随机获得1种蓝色花魂。,icon/item/huahunlibao_2,3,999,ITEM,COST_ITEM,20,1,,,,10,DROP,20006,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,56,,,,,
21,紫色花魂礼包,用紫色丝绸包裹着花魂，打开前没人知道里面是什么花魂，使用后随机获得1种紫色花魂。,icon/item/huahunlibao_3,4,999,ITEM,COST_ITEM,21,1,,,,10,DROP,20007,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,56,,,,,
22,金色花魂礼包,用金色丝绸包裹着花魂，打开前没人知道里面是什么花魂，使用后随机获得1种金色花魂。,icon/item/huahunlibao_4,5,999,ITEM,COST_ITEM,22,1,,,,10,DROP,20008,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,56,,,,,
23,桔梗套装礼包,打开后可获得一整套（6件）紫色桔梗花魂。,icon/item/huahunlibao_3,4,999,ITEM,COST_ITEM,23,1,,,,,DROP,50007,1,,,,,,,ADD_RESOURCE,GOLD,100,True,,,,,,,
24,化花灵符,神奇的灵符，拥有化花之力，可以重塑金色花魂的副属性。,icon/item/xilian,5,999,MATERIAL,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,100,,,56,,,,,
