xinwu,compose_conditions.conditions.type,compose_conditions.conditions.arg,compose_conditions.conditions.arg,compose_events.events.type,compose_events.events.arg,compose_events.events.arg,decompose_conditions.conditions.type,decompose_conditions.conditions.arg,decompose_conditions.conditions.arg,decompose_conditions.conditions.type,decompose_conditions.conditions.arg,decompose_conditions.conditions.arg,decompose_events.events.type,decompose_events.events.arg,decompose_events.events.arg
101,COST_RESOURCE,EQUIPMENT_SOUL_A,25,ADD_ITEM,101,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
102,COST_RESOURCE,EQUIPMENT_SOUL_A,30,ADD_ITEM,102,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
103,COST_RESOURCE,EQUIPMENT_SOUL_A,25,ADD_ITEM,103,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
104,COST_RESOURCE,EQUIPMENT_SOUL_A,25,ADD_ITEM,104,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
105,COST_RESOURCE,EQUIPMENT_SOUL_A,25,ADD_ITEM,105,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
106,COST_RESOURCE,EQUIPMENT_SOUL_A,30,ADD_ITEM,106,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
107,COST_RESOURCE,EQUIPMENT_SOUL_A,30,ADD_ITEM,107,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
108,COST_RESOURCE,EQUIPMENT_SOUL_A,25,ADD_ITEM,108,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
109,COST_RESOURCE,EQUIPMENT_SOUL_A,30,ADD_ITEM,109,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
110,COST_RESOURCE,EQUIPMENT_SOUL_A,30,ADD_ITEM,110,5,HAS_ACTOR,101,,COST_ITEM,101,1,ADD_RESOURCE,EQUIPMENT_SOUL_A,6
201,COST_RESOURCE,EQUIPMENT_SOUL_A,10,ADD_ITEM,201,5,HAS_ACTOR,201,,COST_ITEM,201,1,ADD_RESOURCE,EQUIPMENT_SOUL_B,5
