id,icon,name,desc,type,decos.decos.type,decos.decos.value,decos.decos.change_percent,levelup_jade,origins,quality
10001,icon/jade/hongseyuanshi,初级红玉原石,低级红玉原石，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,5,,10002,,2
10002,icon/jade/hongseyuanshi,中级红玉原石,中级红玉原石，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,15,,10003,,2
10003,icon/jade/hongseyuanshi,高级红玉原石,高级红玉原石，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,45,,10004,,2
10004,icon/jade/hongseyuanyu,初级红玉圆玉,低级红玉圆玉，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,135,,10005,,3
10005,icon/jade/hongseyuanyu,中级红玉圆玉,中级红玉圆玉，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,338,,10006,,3
10006,icon/jade/hongseyuanyu,高级红玉圆玉,高级红玉圆玉，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,844,,10007,,3
10007,icon/jade/hongseyupei,初级红玉玉佩,低级红玉玉佩，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,2110,,10008,,4
10008,icon/jade/hongseyupei,中级红玉玉佩,中级红玉玉佩，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,3160,,10009,,4
10009,icon/jade/hongseyupei,高级红玉玉佩,高级红玉玉佩，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,4750,,10010,,4
10010,icon/jade/hongseyudiao,初级红玉玉雕,低级红玉玉雕，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,7120,,10011,,5
10011,icon/jade/hongseyudiao,中级红玉玉雕,中级红玉玉雕，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,8540,,10012,,5
10012,icon/jade/hongseyudiao,高级红玉玉雕,高级红玉玉雕，佩戴在宝宝身上，可提升宝宝的攻击属性。,ATTACK,ATTACK,10250,,,,5
10101,icon/jade/lanseyuanshi,初级蓝玉原石,低级蓝玉原石，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,5,,10102,,2
10102,icon/jade/lanseyuanshi,中级蓝玉原石,中级蓝玉原石，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,15,,10103,,2
10103,icon/jade/lanseyuanshi,高级蓝玉原石,高级蓝玉原石，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,45,,10104,,2
10104,icon/jade/lanseyuanyu,初级蓝玉圆玉,低级蓝玉圆玉，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,135,,10105,,3
10105,icon/jade/lanseyuanyu,中级蓝玉圆玉,中级蓝玉圆玉，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,338,,10106,,3
10106,icon/jade/lanseyuanyu,高级蓝玉圆玉,高级蓝玉圆玉，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,844,,10107,,3
10107,icon/jade/lanseyupei,初级蓝玉玉佩,低级蓝玉玉佩，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,2110,,10108,,4
10108,icon/jade/lanseyupei,中级蓝玉玉佩,中级蓝玉玉佩，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,3160,,10109,,4
10109,icon/jade/lanseyupei,高级蓝玉玉佩,高级蓝玉玉佩，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,4750,,10110,,4
10110,icon/jade/lanseyudiao,初级蓝玉玉雕,低级蓝玉玉雕，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,7120,,10111,,5
10111,icon/jade/lanseyudiao,中级蓝玉玉雕,中级蓝玉玉雕，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,8540,,10112,,5
10112,icon/jade/lanseyudiao,高级蓝玉玉雕,高级蓝玉玉雕，佩戴在宝宝身上，可提升宝宝的双防属性。,PHYSICAL_DEFENCE,PHYSICAL_DEFENCE,10250,,,,5
10201,icon/jade/feicuiyuanshi,初级翡翠原石,低级翡翠原石，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,36,,10202,,2
10202,icon/jade/feicuiyuanshi,中级翡翠原石,中级翡翠原石，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,108,,10203,,2
10203,icon/jade/feicuiyuanshi,高级翡翠原石,高级翡翠原石，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,324,,10204,,2
10204,icon/jade/feicuiyuanyu,初级翡翠圆玉,低级翡翠圆玉，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,972,,10205,,3
10205,icon/jade/feicuiyuanyu,中级翡翠圆玉,中级翡翠圆玉，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,2430,,10206,,3
10206,icon/jade/feicuiyuanyu,高级翡翠圆玉,高级翡翠圆玉，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,6080,,10207,,3
10207,icon/jade/feicuiyupei,初级翡翠玉佩,低级翡翠玉佩，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,15200,,10208,,4
10208,icon/jade/feicuiyupei,中级翡翠玉佩,中级翡翠玉佩，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,22800,,10209,,4
10209,icon/jade/feicuiyupei,高级翡翠玉佩,高级翡翠玉佩，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,34200,,10210,,4
10210,icon/jade/feicuiyudiao,初级翡翠玉雕,低级翡翠玉雕，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,51300,,10211,,5
10211,icon/jade/feicuiyudiao,中级翡翠玉雕,中级翡翠玉雕，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,61500,,10212,,5
10212,icon/jade/feicuiyudiao,高级翡翠玉雕,高级翡翠玉雕，佩戴在宝宝身上，可提升宝宝的生命上限。,HP,HP,73800,,,,5
10301,icon/jade/chengyuyuanshi,初级橙玉原石,低级橙玉原石，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,38,,10302,,2
10302,icon/jade/chengyuyuanshi,中级橙玉原石,中级橙玉原石，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,56,,10303,,2
10303,icon/jade/chengyuyuanshi,高级橙玉原石,高级橙玉原石，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,85,,10304,,2
10304,icon/jade/chengyuyuanyu,初级橙玉圆玉,低级橙玉圆玉，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,127,,10305,,3
10305,icon/jade/chengyuyuanyu,中级橙玉圆玉,中级橙玉圆玉，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,178,,10306,,3
10306,icon/jade/chengyuyuanyu,高级橙玉圆玉,高级橙玉圆玉，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,250,,10307,,3
10307,icon/jade/chengyuyupei,初级橙玉玉佩,低级橙玉玉佩，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,350,,10308,,4
10308,icon/jade/chengyuyupei,中级橙玉玉佩,中级橙玉玉佩，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,455,,10309,,4
10309,icon/jade/chengyuyupei,高级橙玉玉佩,高级橙玉玉佩，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,591,,10310,,4
10310,icon/jade/chengyuyudiao,初级橙玉玉雕,低级橙玉玉雕，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,769,,10311,,5
10311,icon/jade/chengyuyudiao,中级橙玉玉雕,中级橙玉玉雕，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,923,,10312,,5
10312,icon/jade/chengyuyudiao,高级橙玉玉雕,高级橙玉玉雕，佩戴在宝宝身上，可提升宝宝的暴击率。,BOOM_RATE,BOOM_RATE,1107,,,,5
10401,icon/jade/xuanyuyuanshi,初级玄玉原石,低级玄玉原石，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,38,,10402,,2
10402,icon/jade/xuanyuyuanshi,中级玄玉原石,中级玄玉原石，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,56,,10403,,2
10403,icon/jade/xuanyuyuanshi,高级玄玉原石,高级玄玉原石，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,85,,10404,,2
10404,icon/jade/xuanyuyuanyu,初级玄玉圆玉,低级玄玉圆玉，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,127,,10405,,3
10405,icon/jade/xuanyuyuanyu,中级玄玉圆玉,中级玄玉圆玉，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,178,,10406,,3
10406,icon/jade/xuanyuyuanyu,高级玄玉圆玉,高级玄玉圆玉，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,250,,10407,,3
10407,icon/jade/xuanyuyupei,初级玄玉玉佩,低级玄玉玉佩，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,350,,10408,,4
10408,icon/jade/xuanyuyupei,中级玄玉玉佩,中级玄玉玉佩，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,455,,10409,,4
10409,icon/jade/xuanyuyupei,高级玄玉玉佩,高级玄玉玉佩，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,591,,10410,,4
10410,icon/jade/xuanyuyudiao,初级玄玉玉雕,低级玄玉玉雕，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,769,,10411,,5
10411,icon/jade/xuanyuyudiao,中级玄玉玉雕,中级玄玉玉雕，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,923,,10412,,5
10412,icon/jade/xuanyuyudiao,高级玄玉玉雕,高级玄玉玉雕，佩戴在宝宝身上，可提升宝宝的抗暴率。,ANTI_BOOM,ANTI_BOOM,1107,,,,5
10501,icon/jade/ziyuyuanshi,初级紫玉原石,低级紫玉原石，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,19,,10502,,2
10502,icon/jade/ziyuyuanshi,中级紫玉原石,中级紫玉原石，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,28,,10503,,2
10503,icon/jade/ziyuyuanshi,高级紫玉原石,高级紫玉原石，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,42,,10504,,2
10504,icon/jade/ziyuyuanyu,初级紫玉圆玉,低级紫玉圆玉，佩戴在宝宝身上，可提升宝宝的基础命中。,HIT_RATE,HIT_RATE,64,,10505,,3
