item,apply_ce.conditions.conditions.type,apply_ce.conditions.conditions.arg,apply_ce.conditions.conditions.arg,apply_ce.reserved
2,COST_RESOURCE,LEAGUE_DONATION,20,
3,COST_RESOURCE,LEAGUE_DONATION,100,
4,COST_RESOURCE,LEAGUE_DONATION,400,
5,COST_RESOURCE,LEAGUE_DONATION,1000,
6,COST_RESOURCE,LEAGUE_DONATION,60,
7,COST_RESOURCE,LEAGUE_DONATION,100,
8,COST_RESOURCE,LEAGUE_DONATION,200,
9,COST_RESOURCE,LEAGUE_DONATION,425,
19,COST_RESOURCE,LEAGUE_DONATION,180,
20,COST_RESOURCE,LEAGUE_DONATION,650,
21,COST_RESOURCE,LEAGUE_DONATION,3500,
22,COST_RESOURCE,LEAGUE_DONATION,12000,
32,COST_RESOURCE,LEAGUE_DONATION,80,
33,COST_RESOURCE,LEAGUE_DONATION,125,
34,COST_RESOURCE,LEAGUE_DONATION,165,
35,COST_RESOURCE,LEAGUE_DONATION,400,
36,COST_RESOURCE,LEAGUE_DONATION,80,
37,COST_RESOURCE,LEAGUE_DONATION,125,
38,COST_RESOURCE,LEAGUE_DONATION,165,
39,COST_RESOURCE,LEAGUE_DONATION,400,
40,COST_RESOURCE,LEAGUE_DONATION,80,
41,COST_RESOURCE,LEAGUE_DONATION,125,
42,COST_RESOURCE,LEAGUE_DONATION,165,
43,COST_RESOURCE,LEAGUE_DONATION,400,
51,COST_RESOURCE,LEAGUE_DONATION,220,
52,COST_RESOURCE,LEAGUE_DONATION,650,
53,COST_RESOURCE,LEAGUE_DONATION,3000,
54,COST_RESOURCE,LEAGUE_DONATION,220,
55,COST_RESOURCE,LEAGUE_DONATION,650,
56,COST_RESOURCE,LEAGUE_DONATION,3000,
57,COST_RESOURCE,LEAGUE_DONATION,220,
58,COST_RESOURCE,LEAGUE_DONATION,650,
59,COST_RESOURCE,LEAGUE_DONATION,3000,
60,COST_RESOURCE,LEAGUE_DONATION,220,
61,COST_RESOURCE,LEAGUE_DONATION,650,
62,COST_RESOURCE,LEAGUE_DONATION,3000,
79,COST_RESOURCE,LEAGUE_DONATION,20,
80,COST_RESOURCE,LEAGUE_DONATION,25,
81,COST_RESOURCE,LEAGUE_DONATION,70,
82,COST_RESOURCE,LEAGUE_DONATION,180,
83,COST_RESOURCE,LEAGUE_DONATION,80,
84,COST_RESOURCE,LEAGUE_DONATION,160,
85,COST_RESOURCE,LEAGUE_DONATION,600,
94,COST_RESOURCE,LEAGUE_DONATION,1000,
8007,COST_RESOURCE,LEAGUE_DONATION,4500,
8008,COST_RESOURCE,LEAGUE_DONATION,4998,
8009,COST_RESOURCE,LEAGUE_DONATION,6666,
92,COST_RESOURCE,LEAGUE_DONATION,400,
24,COST_RESOURCE,LEAGUE_DONATION,80,
