id,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,actor,ui_bg,ui_title,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,battle_pttids,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,lose_events.events.type,lose_events.events.arg,lose_events.events.arg,win_le.events.type,win_le.events.arg,win_le.events.arg,lose_le.events.type,lose_le.events.arg,lose_le.events.arg
1,LCT_LEVEL_GE,1,,103,ui/jiazu/chanye_1,ui/jiazu/chanyeming_1,30000,30015,30030,30045,30060,30075,30090,30105,30120,30135,30150,30165,30180,30195,30210,30225,30240,30255,30270,30285,30300,30315,30330,30345,30360,30375,30390,30405,30420,30435,30450,30465,30480,30495,30510,30525,30540,30555,30570,30585,30600,30615,30630,30645,30660,30675,30690,30705,30720,30735,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,500,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130000,,,,
2,LCT_PASS_CAMPAIGN,1,,104,ui/jiazu/chanye_2,ui/jiazu/chanyeming_2,30001,30016,30031,30046,30061,30076,30091,30106,30121,30136,30151,30166,30181,30196,30211,30226,30241,30256,30271,30286,30301,30316,30331,30346,30361,30376,30391,30406,30421,30436,30451,30466,30481,30496,30511,30526,30541,30556,30571,30586,30601,30616,30631,30646,30661,30676,30691,30706,30721,30736,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,500,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130001,,,,
3,LCT_PASS_CAMPAIGN,2,,105,ui/jiazu/chanye_3,ui/jiazu/chanyeming_3,30002,30017,30032,30047,30062,30077,30092,30107,30122,30137,30152,30167,30182,30197,30212,30227,30242,30257,30272,30287,30302,30317,30332,30347,30362,30377,30392,30407,30422,30437,30452,30467,30482,30497,30512,30527,30542,30557,30572,30587,30602,30617,30632,30647,30662,30677,30692,30707,30722,30737,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,500,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130002,,,,
4,LCT_PASS_CAMPAIGN,3,,105,ui/jiazu/chanye_4,ui/jiazu/chanyeming_4,30003,30018,30033,30048,30063,30078,30093,30108,30123,30138,30153,30168,30183,30198,30213,30228,30243,30258,30273,30288,30303,30318,30333,30348,30363,30378,30393,30408,30423,30438,30453,30468,30483,30498,30513,30528,30543,30558,30573,30588,30603,30618,30633,30648,30663,30678,30693,30708,30723,30738,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,500,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130003,,,,
5,LCT_PASS_CAMPAIGN,4,,105,ui/jiazu/chanye_5,ui/jiazu/chanyeming_5,30004,30019,30034,30049,30064,30079,30094,30109,30124,30139,30154,30169,30184,30199,30214,30229,30244,30259,30274,30289,30304,30319,30334,30349,30364,30379,30394,30409,30424,30439,30454,30469,30484,30499,30514,30529,30544,30559,30574,30589,30604,30619,30634,30649,30664,30679,30694,30709,30724,30739,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,600,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130004,,,,
6,LCT_PASS_CAMPAIGN,5,,105,ui/jiazu/chanye_6,ui/jiazu/chanyeming_6,30005,30020,30035,30050,30065,30080,30095,30110,30125,30140,30155,30170,30185,30200,30215,30230,30245,30260,30275,30290,30305,30320,30335,30350,30365,30380,30395,30410,30425,30440,30455,30470,30485,30500,30515,30530,30545,30560,30575,30590,30605,30620,30635,30650,30665,30680,30695,30710,30725,30740,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,600,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130005,,,,
7,LCT_PASS_CAMPAIGN,6,,105,ui/jiazu/chanye_7,ui/jiazu/chanyeming_7,30006,30021,30036,30051,30066,30081,30096,30111,30126,30141,30156,30171,30186,30201,30216,30231,30246,30261,30276,30291,30306,30321,30336,30351,30366,30381,30396,30411,30426,30441,30456,30471,30486,30501,30516,30531,30546,30561,30576,30591,30606,30621,30636,30651,30666,30681,30696,30711,30726,30741,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,600,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130006,,,,
8,LCT_PASS_CAMPAIGN,7,,105,ui/jiazu/chanye_8,ui/jiazu/chanyeming_8,30007,30022,30037,30052,30067,30082,30097,30112,30127,30142,30157,30172,30187,30202,30217,30232,30247,30262,30277,30292,30307,30322,30337,30352,30367,30382,30397,30412,30427,30442,30457,30472,30487,30502,30517,30532,30547,30562,30577,30592,30607,30622,30637,30652,30667,30682,30697,30712,30727,30742,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,600,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130007,,,,
9,LCT_PASS_CAMPAIGN,8,,105,ui/jiazu/chanye_9,ui/jiazu/chanyeming_9,30008,30023,30038,30053,30068,30083,30098,30113,30128,30143,30158,30173,30188,30203,30218,30233,30248,30263,30278,30293,30308,30323,30338,30353,30368,30383,30398,30413,30428,30443,30458,30473,30488,30503,30518,30533,30548,30563,30578,30593,30608,30623,30638,30653,30668,30683,30698,30713,30728,30743,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,800,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130008,,,,
10,LCT_PASS_CAMPAIGN,9,,105,ui/jiazu/chanye_10,ui/jiazu/chanyeming_10,30009,30024,30039,30054,30069,30084,30099,30114,30129,30144,30159,30174,30189,30204,30219,30234,30249,30264,30279,30294,30309,30324,30339,30354,30369,30384,30399,30414,30429,30444,30459,30474,30489,30504,30519,30534,30549,30564,30579,30594,30609,30624,30639,30654,30669,30684,30699,30714,30729,30744,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,LEAGUE_DONATION,800,ADD_RESOURCE,LEAGUE_DONATION,50,LET_DROP,130009,,,,
