level,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.pttid,quests.weight,quests.count
1,50001,100,50002,100,,,,,,,,,,,,,,,,,,,,,2
2,50001,100,50002,100,50003,100,50004,100,,,,,,,,,,,,,,,,,3
3,50001,100,50002,100,50003,100,50004,100,,,,,,,,,,,,,,,,,4
4,50001,100,50002,100,50003,100,50004,100,,,,,,,,,,,,,,,,,4
5,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,,,,,,,,,,,,,5
6,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,,,,,,,,,,,,,5
7,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,50007,100,50008,100,,,,,,,,,6
8,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,50007,100,50008,100,,,,,,,,,6
9,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,50007,100,50008,100,50009,100,50010,100,,,,,7
10,50001,100,50002,100,50003,100,50004,100,50005,100,50006,100,50007,100,50008,100,50009,100,50010,100,50011,100,50012,100,8
