id,events.odds,events.weight,events.events.events.type,events.events.events.arg,events.events.events.arg,events.odds,events.weight,events.events.events.type,events.events.events.arg,events.events.events.arg,events.odds,events.weight,events.events.events.type,events.events.events.arg,events.events.events.arg,events.odds,events.weight,events.events.events.type,events.events.events.arg,events.events.events.arg
130000,1000,,LET_ADD_ALLOCATABLE_ITEM,3,10,,,,,,,,,,,,,,,
130001,1000,,LET_ADD_ALLOCATABLE_ITEM,84,10,,,,,,,,,,,,,,,
130002,1000,,LET_ADD_ALLOCATABLE_ITEM,92,10,,,,,,,,,,,,,,,
130003,1000,,LET_ADD_ALLOCATABLE_ITEM,51,3,1000,,LET_ADD_ALLOCATABLE_ITEM,54,3,1000,,LET_ADD_ALLOCATABLE_ITEM,57,3,1000,,LET_ADD_ALLOCATABLE_ITEM,60,3
130004,1000,,LET_ADD_ALLOCATABLE_ITEM,84,6,1000,,LET_ADD_ALLOCATABLE_ITEM,19,6,,,,,,,,,,
130005,1000,,LET_ADD_ALLOCATABLE_ITEM,35,5,1000,,LET_ADD_ALLOCATABLE_ITEM,39,5,1000,,LET_ADD_ALLOCATABLE_ITEM,43,5,,,,,
130006,1000,,LET_ADD_ALLOCATABLE_ITEM,52,1,1000,,LET_ADD_ALLOCATABLE_ITEM,55,1,1000,,LET_ADD_ALLOCATABLE_ITEM,58,1,1000,,LET_ADD_ALLOCATABLE_ITEM,61,1
130007,1000,,LET_ADD_ALLOCATABLE_ITEM,94,10,,,,,,,,,,,,,,,
130008,,3,LET_ADD_ALLOCATABLE_ITEM,8007,1,,2,LET_ADD_ALLOCATABLE_ITEM,8008,1,,1,LET_ADD_ALLOCATABLE_ITEM,8009,1,,,,,
130009,,1,LET_ADD_ALLOCATABLE_ITEM,53,1,,1,LET_ADD_ALLOCATABLE_ITEM,56,1,,1,LET_ADD_ALLOCATABLE_ITEM,59,1,,1,LET_ADD_ALLOCATABLE_ITEM,62,1
130010,1000,,LET_ADD_ALLOCATABLE_ITEM,35,1,1000,,LET_ADD_ALLOCATABLE_ITEM,39,1,1000,,LET_ADD_ALLOCATABLE_ITEM,43,1,,,,,
130011,,1,LET_ADD_ALLOCATABLE_ITEM,53,1,,1,LET_ADD_ALLOCATABLE_ITEM,56,1,,1,LET_ADD_ALLOCATABLE_ITEM,59,1,,1,LET_ADD_ALLOCATABLE_ITEM,62,1
130012,1000,,LET_ADD_ALLOCATABLE_ITEM,85,1,1000,,LET_ADD_ALLOCATABLE_ITEM,82,10,,,,,,,,,,
130013,1000,,LET_ADD_ALLOCATABLE_ITEM,85,1,1000,,LET_ADD_ALLOCATABLE_ITEM,82,10,,,,,,,,,,
130014,1000,,LET_ADD_ALLOCATABLE_ITEM,21,3,1000,,LET_ADD_ALLOCATABLE_ITEM,24,30,,,,,,,,,,
