id,server.ip,server.port,server.channel_ids
1,10.1.2.27,21343,0
2,jxwydir.ksgame.com,7002,100000
3,jxwydir.ksgame.com,7002,100001
4,jxwydir.ksgame.com,7002,100002
5,jxwydir.ksgame.com,7002,100003
6,jxwydir.ksgame.com,7002,100004
7,jxwydir.ksgame.com,7002,100005
8,jxwydir.ksgame.com,7002,100006
9,jxwydir.ksgame.com,7002,100007
10,jxwydir.ksgame.com,7002,100008
11,jxwydir.ksgame.com,7002,100009
12,jxwydir.ksgame.com,7002,100010
13,jxwydir.ksgame.com,7002,100011
14,jxwydir.ksgame.com,7002,100012
15,jxwydir.ksgame.com,7002,100013
16,jxwydir.ksgame.com,7002,100014
17,jxwydir.ksgame.com,7002,100015
18,jxwydir.ksgame.com,7002,100016
19,jxwydir.ksgame.com,7002,100017
20,jxwydir.ksgame.com,7002,100018
21,jxwydir.ksgame.com,7002,100019
22,jxwydir.ksgame.com,7002,100020
23,jxwydir.ksgame.com,7002,100021
24,jxwydir.ksgame.com,7002,100022
25,jxwydir.ksgame.com,7002,100023
26,jxwydir.ksgame.com,7002,100024
27,jxwydir.ksgame.com,7002,100025
28,jxwydir.ksgame.com,7002,100026
29,jxwydir.ksgame.com,7002,100027
30,jxwydir.ksgame.com,7002,100028
31,jxwydir.ksgame.com,7002,100034
32,jxwydir.ksgame.com,7002,100037
33,jxwydir.ksgame.com,7002,100038
