id,actor,prestige_level,invite_conditions.conditions.type,invite_conditions.conditions.arg,invite_conditions.conditions.arg,huanzhuang,huanzhuang,huanzhuang,host_challenge_events.events.events.type,host_challenge_events.events.events.arg,host_challenge_events.events.events.arg,host_challenge_events.reserved,host_challenge_events.events.events.type,host_challenge_events.events.events.arg,host_challenge_events.events.events.arg,host_challenge_events.reserved,host_challenge_events.events.events.type,host_challenge_events.events.events.arg,host_challenge_events.events.events.arg,host_challenge_events.reserved,guest_challenge_events.events.events.type,guest_challenge_events.events.events.arg,guest_challenge_events.events.events.arg,host_challenge_events.reserved,guest_challenge_events.events.events.type,guest_challenge_events.events.events.arg,guest_challenge_events.events.events.arg,host_challenge_events.reserved,guest_challenge_events.events.events.type,guest_challenge_events.events.events.arg,guest_challenge_events.events.events.arg,host_challenge_events.reserved,challenge_activity,challenge_atmosphere,atmosphere
1,209,1,COST_ITEM,6905,1,20001,20001,20001,ADD_ITEM,209,2,,ADD_ITEM,209,1,,ADD_ITEM,2,1,,ADD_ITEM,209,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,100,5,10
2,210,1,COST_ITEM,6905,1,20002,20002,20002,ADD_ITEM,210,2,,ADD_ITEM,210,1,,ADD_ITEM,2,1,,ADD_ITEM,210,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,100,5,10
3,201,1,COST_ITEM,6905,1,20003,20003,20003,ADD_ITEM,201,2,,ADD_ITEM,201,1,,ADD_ITEM,2,1,,ADD_ITEM,201,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,100,5,10
4,213,1,COST_ITEM,6905,1,20004,20004,20004,ADD_ITEM,213,2,,ADD_ITEM,213,1,,ADD_ITEM,2,1,,ADD_ITEM,213,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,100,5,10
5,208,2,COST_ITEM,6905,1,20005,20005,20005,ADD_ITEM,208,2,,ADD_ITEM,208,1,,ADD_ITEM,2,1,,ADD_ITEM,208,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,130,5,15
6,230,2,COST_ITEM,6905,1,20006,20006,20006,ADD_ITEM,230,2,,ADD_ITEM,230,1,,ADD_ITEM,2,1,,ADD_ITEM,230,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,130,5,15
7,203,2,COST_ITEM,6905,1,20007,20007,20007,ADD_ITEM,203,2,,ADD_ITEM,203,1,,ADD_ITEM,2,1,,ADD_ITEM,203,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,130,5,15
8,207,2,COST_ITEM,6905,1,20008,20008,20008,ADD_ITEM,207,2,,ADD_ITEM,207,1,,ADD_ITEM,2,1,,ADD_ITEM,207,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,130,5,15
9,202,3,COST_ITEM,6905,1,20009,20009,20009,ADD_ITEM,202,2,,ADD_ITEM,202,1,,ADD_ITEM,2,1,,ADD_ITEM,202,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,150,5,20
10,206,3,COST_ITEM,6905,1,20010,20010,20010,ADD_ITEM,206,2,,ADD_ITEM,206,1,,ADD_ITEM,2,1,,ADD_ITEM,206,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,150,5,20
11,211,3,COST_ITEM,6905,1,20011,20011,20011,ADD_ITEM,211,2,,ADD_ITEM,211,1,,ADD_ITEM,2,1,,ADD_ITEM,211,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,150,5,20
12,212,3,COST_ITEM,6905,1,20012,20012,20012,ADD_ITEM,212,2,,ADD_ITEM,212,1,,ADD_ITEM,2,1,,ADD_ITEM,212,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,150,5,20
13,106,4,COST_ITEM,6906,1,20013,20013,20013,ADD_ITEM,106,2,,ADD_ITEM,106,1,,ADD_ITEM,2,1,,ADD_ITEM,106,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
14,104,4,COST_ITEM,6906,1,20014,20014,20014,ADD_ITEM,104,2,,ADD_ITEM,104,1,,ADD_ITEM,2,1,,ADD_ITEM,104,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
15,108,4,COST_ITEM,6906,1,20015,20015,20015,ADD_ITEM,108,2,,ADD_ITEM,108,1,,ADD_ITEM,2,1,,ADD_ITEM,108,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
16,105,4,COST_ITEM,6906,1,20016,20016,20016,ADD_ITEM,105,2,,ADD_ITEM,105,1,,ADD_ITEM,2,1,,ADD_ITEM,105,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
17,103,4,COST_ITEM,6906,1,20017,20017,20017,ADD_ITEM,103,2,,ADD_ITEM,103,1,,ADD_ITEM,2,1,,ADD_ITEM,103,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
18,102,4,COST_ITEM,6906,1,20018,20018,20018,ADD_ITEM,102,2,,ADD_ITEM,102,1,,ADD_ITEM,2,1,,ADD_ITEM,102,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,200,5,40
19,502,5,COST_ITEM,6907,1,20019,20019,20019,ADD_ITEM,90,3,,ADD_ITEM,90,1,,ADD_ITEM,2,1,,ADD_ITEM,90,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,60
20,501,5,COST_ITEM,6907,1,20020,20020,20020,ADD_ITEM,90,3,,ADD_ITEM,90,1,,ADD_ITEM,2,1,,ADD_ITEM,90,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,60
21,213,1,COST_ITEM,6905,1,20004,20004,20004,ADD_ITEM,213,2,,ADD_ITEM,213,1,,ADD_ITEM,2,1,,ADD_ITEM,213,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,10
22,230,1,COST_ITEM,6905,1,20006,20006,20006,ADD_ITEM,230,2,,ADD_ITEM,230,1,,ADD_ITEM,2,1,,ADD_ITEM,230,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,15
23,206,1,COST_ITEM,6905,1,20010,20010,20010,ADD_ITEM,206,2,,ADD_ITEM,206,1,,ADD_ITEM,2,1,,ADD_ITEM,206,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,20
24,212,1,COST_ITEM,6905,1,20012,20012,20012,ADD_ITEM,212,2,,ADD_ITEM,212,1,,ADD_ITEM,2,1,,ADD_ITEM,212,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,20
25,106,1,COST_ITEM,6906,1,20013,20013,20013,ADD_ITEM,106,2,,ADD_ITEM,106,1,,ADD_ITEM,2,1,,ADD_ITEM,106,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,40
26,104,1,COST_ITEM,6906,1,20014,20014,20014,ADD_ITEM,104,2,,ADD_ITEM,104,1,,ADD_ITEM,2,1,,ADD_ITEM,104,1,,ADD_RESOURCE,COUPON_A,1,,ADD_ITEM,2,1,,250,5,40
