id,content,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere,boxes.answer,boxes.activity,boxes.events.events.type,boxes.events.events.arg,boxes.events.events.arg,boxes.atmosphere
1,一钩新月挂西楼,禾,70,DROP,15000,1,15,星,30,,,,5,恋,30,,,,5
2,爱将余热献光明,熹,70,DROP,15000,1,15,淝,30,,,,5,旬,30,,,,5
3,八角楼旁水相连,淞,70,DROP,15000,1,15,原,30,,,,5,忿,30,,,,5
4,爱心几度付流水,沉,70,DROP,15000,1,15,检,30,,,,5,稿,30,,,,5
5,爱心寄与笔底情,写,70,DROP,15000,1,15,忍,30,,,,5,蓄,30,,,,5
6,八月天气帝王相,朕,70,DROP,15000,1,15,由,30,,,,5,淆,30,,,,5
7,八月珠桥江水流,腔,70,DROP,15000,1,15,校,30,,,,5,夙,30,,,,5
8,八字桥头水平流,兴,70,DROP,15000,1,15,怂,30,,,,5,丕,30,,,,5
9,巴山夜雨涨秋池,洲,70,DROP,15000,1,15,酊,30,,,,5,妲,30,,,,5
10,白帆半挂依疏柳,棉,70,DROP,15000,1,15,垄,30,,,,5,爸,30,,,,5
11,白首逢春又一年,秽,70,DROP,15000,1,15,淡,30,,,,5,件,30,,,,5
12,白首偕老同心结,恬,70,DROP,15000,1,15,淹,30,,,,5,世,30,,,,5
13,白首雄心向未来,侏,70,DROP,15000,1,15,佚,30,,,,5,绒,30,,,,5
14,白头到老一甲子,辞,70,DROP,15000,1,15,飞,30,,,,5,全,30,,,,5
15,白云深处僧寺残,储,70,DROP,15000,1,15,汨,30,,,,5,瞟,30,,,,5
16,百花头上梅初开,晦,70,DROP,15000,1,15,胥,30,,,,5,理,30,,,,5
17,羊左相交共一心,差,70,DROP,15000,1,15,协,30,,,,5,水,30,,,,5
18,半窗残月有蛩声,穹,70,DROP,15000,1,15,贺,30,,,,5,大,30,,,,5
19,半钩明月钓清溪,心,70,DROP,15000,1,15,平,30,,,,5,怡,30,,,,5
20,半江帆影波底月,恐,70,DROP,15000,1,15,此,30,,,,5,各,30,,,,5
21,半帘春色系中原,棉,70,DROP,15000,1,15,淋,30,,,,5,住,30,,,,5
22,半林黄叶露秋色,楮,70,DROP,15000,1,15,赔,30,,,,5,勾,30,,,,5
23,半疏绿竹西归见,缆,70,DROP,15000,1,15,又,30,,,,5,殳,30,,,,5
24,半写江村对愁眉,深,70,DROP,15000,1,15,姚,30,,,,5,青,30,,,,5
25,半掩村桥半拂溪,淋,70,DROP,15000,1,15,李,30,,,,5,朋,30,,,,5
26,半遮香扇下东楼,榻,70,DROP,15000,1,15,曲,30,,,,5,毋,30,,,,5
27,包头残花落叶末,苟,70,DROP,15000,1,15,喷,30,,,,5,木,30,,,,5
28,北定中原人归一统,宿,70,DROP,15000,1,15,旺,30,,,,5,夕,30,,,,5
29,北斗阑干映千帆,悉,70,DROP,15000,1,15,桂,30,,,,5,木,30,,,,5
30,不到黄昏梦未成,林,70,DROP,15000,1,15,巫,30,,,,5,裳,30,,,,5
31,不顾白头要进取,最,70,DROP,15000,1,15,待,30,,,,5,内,30,,,,5
32,不受尘埃半点侵,社,70,DROP,15000,1,15,棉,30,,,,5,爽,30,,,,5
33,残花片片落空庭,庇,70,DROP,15000,1,15,借,30,,,,5, 怡,30,,,,5
34,残叶翻飞落笔端,毡,70,DROP,15000,1,15,恐,30,,,,5,州,30,,,,5
35,池边桃花招蝶舞,滦,70,DROP,15000,1,15,惑,30,,,,5,炎,30,,,,5
36,池边叶影动寒蟾,湖,70,DROP,15000,1,15,坊,30,,,,5,木,30,,,,5
37,池头定有右军来,浑,70,DROP,15000,1,15,翩,30,,,,5,喜,30,,,,5
38,出兵前后巧安排,岳,70,DROP,15000,1,15,江,30,,,,5,松,30,,,,5
39,出口纵横皆成章,故,70,DROP,15000,1,15,丝,30,,,,5,流,30,,,,5
