id,unlock.recipe,unlock.level_times,unlock.level_times,unlock.level_times,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,level_events.events.events.type,level_events.events.events.arg,level_events.events.events.arg,level_events.reserved,level_events.events.events.type,level_events.events.events.arg,level_events.events.events.arg,level_events.reserved,level_events.events.events.type,level_events.events.events.arg,level_events.events.events.arg,level_events.reserved,difficulty
1,2,0,1,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6204,15,,,,,,,DROP,8201,1,,ADD_ITEM,6101,1,,ADD_ITEM,6910,10,,1
2,3,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6001,3,,,,,,,DROP,8202,1,,ADD_ITEM,6102,1,,ADD_ITEM,6910,10,,1
3,4,0,3,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6001,2,COST_ITEM,6203,3,,,,DROP,8203,1,,ADD_ITEM,6103,1,,ADD_ITEM,6910,10,,1
4,5,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6201,5,COST_ITEM,6204,4,,,,DROP,8204,1,,ADD_ITEM,6104,1,,ADD_ITEM,6910,10,,2
5,6,1,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6003,2,COST_ITEM,6201,3,,,,DROP,8205,1,,ADD_ITEM,6106,1,,ADD_ITEM,6910,10,,1
6,7,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6003,3,,,,,,,DROP,8206,1,,ADD_ITEM,6107,1,,ADD_ITEM,6910,10,,2
7,8,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6004,3,,,,,,,DROP,8207,1,,ADD_ITEM,6108,1,,ADD_ITEM,6910,10,,2
8,9,0,3,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6004,2,COST_ITEM,6204,3,,,,DROP,8208,1,,ADD_ITEM,6109,1,,ADD_ITEM,6910,10,,2
9,10,2,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6006,2,COST_ITEM,6203,4,,,,DROP,8209,1,,ADD_ITEM,6113,1,,ADD_ITEM,6910,10,,1
10,11,0,3,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6006,2,COST_ITEM,6206,2,,,,DROP,8210,1,,ADD_ITEM,6114,1,,ADD_ITEM,6910,10,,2
11,12,2,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6208,6,,,,,,,DROP,8211,1,,ADD_ITEM,6115,1,,ADD_ITEM,6910,10,,2
12,13,2,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6005,2,COST_ITEM,6001,2,,,,DROP,8212,1,,ADD_ITEM,6116,1,,ADD_ITEM,6910,10,,2
13,14,0,3,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6005,2,COST_ITEM,6208,2,,,,DROP,8213,1,,ADD_ITEM,6117,1,,ADD_ITEM,6910,10,,2
14,15,3,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6206,4,COST_ITEM,6203,4,,,,DROP,8214,1,,ADD_ITEM,6118,1,,ADD_ITEM,6910,10,,2
15,16,3,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6008,1,COST_ITEM,6003,2,COST_ITEM,6208,2,DROP,8215,1,,ADD_ITEM,6119,1,,ADD_ITEM,6910,10,,2
16,17,0,1,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6008,1,COST_ITEM,6004,2,COST_ITEM,6205,2,DROP,8216,1,,ADD_ITEM,6120,1,,ADD_ITEM,6910,10,,3
17,18,3,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6009,2,COST_ITEM,6209,2,,,,DROP,8217,1,,ADD_ITEM,6125,1,,ADD_ITEM,6910,10,,2
18,19,3,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6009,2,COST_ITEM,6210,2,,,,DROP,8218,1,,ADD_ITEM,6126,1,,ADD_ITEM,6910,10,,2
19,20,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6010,2,COST_ITEM,6008,1,COST_ITEM,6209,1,DROP,8219,1,,ADD_ITEM,6127,1,,ADD_ITEM,6910,10,,3
20,21,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6010,2,COST_ITEM,6012,1,,,,DROP,8220,1,,ADD_ITEM,6128,1,,ADD_ITEM,6910,10,,3
21,22,3,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6012,2,COST_ITEM,6210,2,,,,DROP,8221,1,,ADD_ITEM,6129,1,,ADD_ITEM,6910,10,,2
22,23,1,0,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6012,2,COST_ITEM,6209,2,,,,DROP,8222,1,,ADD_ITEM,6130,1,,ADD_ITEM,6910,10,,3
23,24,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6210,4,COST_ITEM,6205,4,,,,DROP,8223,1,,ADD_ITEM,6131,1,,ADD_ITEM,6910,10,,3
24,25,0,2,0,COST_RESOURCE,VIGOR,1,COST_ITEM,6212,6,,,,,,,DROP,8224,1,,ADD_ITEM,6132,1,,ADD_ITEM,6910,10,,3
