id,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,events.events.type,events.events.arg,events.events.arg
1,COST_ITEM,6100,30,,,,,,,ADD_ITEM,6904,1
2,COST_ITEM,6910,10,,,,,,,ADD_RESOURCE,MANSION_FURNITURE_COIN,100
3,COST_ITEM,6100,50,,,,,,,ADD_ITEM,89,1
4,COST_ITEM,6002,10,,,,,,,ADD_ITEM,6100,25
5,COST_ITEM,6002,5,COST_ITEM,6003,5,COST_ITEM,6004,5,ADD_ITEM,32,5
6,COST_ITEM,6007,5,,,,,,,ADD_ITEM,6100,25
7,COST_ITEM,6007,5,COST_ITEM,6005,5,COST_ITEM,6008,5,ADD_ITEM,33,3
8,COST_ITEM,6011,5,,,,,,,ADD_ITEM,6100,25
9,COST_ITEM,6011,5,COST_ITEM,6010,5,COST_ITEM,6012,5,ADD_ITEM,34,3
10,COST_ITEM,6016,5,,,,,,,ADD_ITEM,6100,80
11,COST_ITEM,6202,20,,,,,,,ADD_ITEM,8000,25
12,COST_ITEM,6202,10,COST_ITEM,6203,10,COST_ITEM,6204,10,ADD_ITEM,40,5
13,COST_ITEM,6207,10,,,,,,,ADD_ITEM,8000,25
14,COST_ITEM,6207,10,COST_ITEM,6206,10,COST_ITEM,6208,10,ADD_ITEM,41,3
15,COST_ITEM,6211,10,,,,,,,ADD_ITEM,8000,50
16,COST_ITEM,6211,10,COST_ITEM,6210,10,COST_ITEM,6212,10,ADD_ITEM,42,3
17,COST_ITEM,6216,10,,,,,,,ADD_ITEM,8000,80
