id,name,conditions.conditions.type,conditions.conditions.arg,conditions.conditions.arg,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture,furniture
1,山茶主厅,,,,101001,101002,101003,101004,101005,101006,101007,101008,101009,101010,101011,101012,101013,101014,101015,102001,102002,102003,102004,102005,102006,102007,103001,103002,103003,105001,106001,107001,108002,,
2,西域主厅,GPIN_LIMIT,>=,6,101045,101046,101047,101048,101049,101050,101051,101052,101053,101054,102027,102028,102029,102030,102031,102032,102033,102034,103016,103017,103018,103019,103020,105004,105005,106004,107004,108004,,,
3,和式主厅,GPIN_LIMIT,>=,12,101066,101067,101068,101069,101070,101071,101072,101073,101074,101075,101076,101077,101078,101079,102039,102040,102041,102042,102043,103028,103029,103030,103031,107006,108006,,,,,,
4,星空主厅,GPIN_LIMIT,>=,16,101055,101056,101057,101058,101059,101060,101061,101062,101063,101064,101065,102035,102036,102037,102038,103021,103022,103023,103024,103025,103026,103027,105006,106005,107005,108005,,,,,
5,典雅主厅,GPIN_LIMIT,>=,18,101016,101017,101018,101019,101020,101021,101022,101023,101024,101025,101026,101027,102008,102009,102010,102011,102012,102013,102014,102015,102016,103004,103005,103006,103007,103008,103009,105002,106002,107002,108003
6,淡雅池边,GPIN_LIMIT,>=,1,201001,201004,201005,202002,202003,202004,203001,203003,204001,,,,,,,,,,,,,,,,,,,,,,
7,雪景池边,GPIN_LIMIT,>=,6,201015,201016,201017,201018,201019,202012,202013,202014,202015,203010,203011,204004,,,,,,,,,,,,,,,,,,,
8,和式池边,GPIN_LIMIT,>=,12,201011,201012,201013,201014,202007,202008,202009,202010,202011,203008,203009,204003,,,,,,,,,,,,,,,,,,,
9,夜景池边,GPIN_LIMIT,>=,16,201020,201021,201022,201023,201024,202016,202017,202018,202019,202020,202021,203012,203013,204005,,,,,,,,,,,,,,,,,
10,典雅池边,GPIN_LIMIT,>=,18,201006,201007,201008,201009,201010,202005,202006,203004,203005,203006,203007,204002,,,,,,,,,,,,,,,,,,,
11,淳朴厨房,GPIN_LIMIT,>=,1,301001,301003,301004,301005,301006,302001,302002,303001,303002,303003,305001,306001,307001,,,,,,,,,,,,,,,,,,
12,西域厨房,GPIN_LIMIT,>=,6,301025,301026,301027,301028,301029,302010,302011,302012,303015,303016,305005,306005,307005,,,,,,,,,,,,,,,,,,
13,和式厨房,GPIN_LIMIT,>=,12,301020,301021,301022,301023,301024,302007,302008,302009,303010,303011,303012,303013,303014,305004,306004,307004,,,,,,,,,,,,,,,
14,星空厨房,GPIN_LIMIT,>=,16,301014,301015,301016,301017,301018,301019,302005,302006,303007,303008,303009,305003,306003,307003,,,,,,,,,,,,,,,,,
15,典雅厨房,GPIN_LIMIT,>=,18,301007,301008,301009,301010,301011,301012,301013,302003,302004,303004,303005,303006,305002,,,,,,,,,,,,,,,,,,
16,朴素农家,GPIN_LIMIT,>=,1,401001,402001,402002,402003,403001,403002,403003,404001,404002,,,,,,,,,,,,,,,,,,,,,,
17,雪景农家,GPIN_LIMIT,>=,6,401007,401008,401009,402019,402020,402021,402022,402023,402024,403006,404005,,,,,,,,,,,,,,,,,,,,
18,和式农家,GPIN_LIMIT,>=,12,401002,401003,401004,402004,402005,402006,402007,402008,402009,402010,403004,404003,,,,,,,,,,,,,,,,,,,
19,夜景农家,GPIN_LIMIT,>=,16,401010,402025,402026,402027,402028,402029,402030,402031,402032,402033,403007,404006,,,,,,,,,,,,,,,,,,,
20,典雅农家,GPIN_LIMIT,>=,18,401005,401006,402011,402012,402013,402014,402015,402016,402017,402018,403005,404004,,,,,,,,,,,,,,,,,,,
