id,name,icon,appearance,type,fancy,buildings.building,buildings.allowed_areas,buildings.init_pos.x,buildings.init_pos.y,collision_group,z_level,attach_areas,anchors.x,anchors.y,anchors.x,anchors.y,size.width,size.height,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,collision_points.x,collision_points.y,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,sub_furniture,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,buy_conditions.conditions.type,buy_conditions.conditions.arg,buy_conditions.conditions.arg,max_count
101001,月洞门,zhuting_1001,zhuting_1001,1,158,MBT_HALL,1,,,,20,,0,0,705,0,705,539,0,0,0,539,705,539,705,0,588,0,585,458,122,458,122,0,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3800,COST_RESOURCE,DIAMOND,100,20
101002,八仙桌,zhuting_1002,zhuting_1002,1,106,MBT_HALL,1,,,,20,,0,0,218,0,218,173,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
101003,红木书桌,zhuting_1003,zhuting_1003,1,106,MBT_HALL,1,,,,20,,0,0,134,0,134,242,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
101004,红木书椅,zhuting_1004,zhuting_1004,1,106,MBT_HALL,1,,,,20,,0,0,125,0,125,177,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
101005,多宝格,zhuting_1005,zhuting_1005,1,0,MBT_HALL,1,986,228,,20,,0,0,168,0,168,343,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101006,储物柜,zhuting_1006,zhuting_1006,1,158,MBT_HALL,1,,,,20,,0,0,182,0,182,376,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3800,COST_RESOURCE,DIAMOND,100,20
101007,贵妃榻,zhuting_1007,zhuting_1007,1,190,MBT_HALL,1,,,,20,,0,0,500,0,500,94,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,4600,COST_RESOURCE,DIAMOND,100,20
101008,画缸,zhuting_1008,zhuting_1008,1,63,MBT_HALL,1,,,,20,,0,0,55,0,55,179,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1500,COST_RESOURCE,DIAMOND,100,20
101009,几案,zhuting_1009,zhuting_1009,1,63,MBT_HALL,1,,,,20,,0,0,360,0,360,200,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1500,COST_RESOURCE,DIAMOND,100,20
101010,落地灯,zhuting_1010,zhuting_1010,1,74,MBT_HALL,1,,,,20,,0,0,123,0,123,363,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1800,COST_RESOURCE,DIAMOND,100,20
101011,盆饰,zhuting_1011,zhuting_1011,1,53,MBT_HALL,1,,,,20,,0,0,216,0,216,453,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1300,COST_RESOURCE,DIAMOND,100,20
101012,大屏风,zhuting_1012,zhuting_1012,1,106,MBT_HALL,1,,,,20,,0,15,365,15,365,393,0,20,365,20,365,393,0,393,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2500,COST_RESOURCE,DIAMOND,100,20
101013,小屏风,zhuting_1013,zhuting_1013,1,84,MBT_HALL,1,,,,20,,0,0,105,0,105,393,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2000,COST_RESOURCE,DIAMOND,100,20
101014,太师椅,zhuting_1014,zhuting_1014,1,95,MBT_HALL,1,,,,20,,0,0,105,0,105,174,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2300,COST_RESOURCE,DIAMOND,100,20
101015,澡盆,zhuting_1015,zhuting_1015,1,95,MBT_HALL,1,,,,20,,0,20,366,20,366,453,0,20,366,20,366,453,0,453,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2300,COST_RESOURCE,DIAMOND,100,20
101016,名画缸,zhuting_1016,zhuting_1016,1,90,MBT_HALL,1,,,,20,,0,0,146,0,146,176,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101017,楠木书椅,zhuting_1017,zhuting_1017,1,150,MBT_HALL,1,,,,20,,0,0,142,0,142,191,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2400,COST_RESOURCE,DIAMOND,100,20
101018,楠木书桌,zhuting_1018,zhuting_1018,1,224,MBT_HALL,1,,,,20,,0,0,139,0,139,250,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3600,COST_RESOURCE,DIAMOND,100,20
101019,会客椅,zhuting_1019,zhuting_1019,1,209,MBT_HALL,1,,,,20,,0,0,126,0,126,195,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3300,COST_RESOURCE,DIAMOND,100,20
101020,会客桌,zhuting_1020,zhuting_1020,1,224,MBT_HALL,1,,,,20,,0,0,230,0,230,228,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3600,COST_RESOURCE,DIAMOND,100,20
101021,仙鹤灯,zhuting_1021,zhuting_1021,1,194,MBT_HALL,1,,,,20,,0,0,110,0,110,305,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,3100,COST_RESOURCE,DIAMOND,100,20
101022,楠木柜,zhuting_1022,zhuting_1022,1,179,MBT_HALL,1,,,,20,,0,0,273,0,273,356,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2900,COST_RESOURCE,DIAMOND,100,20
101023,插花瓷瓶,zhuting_1023,zhuting_1023,1,120,MBT_HALL,1,,,,20,,0,0,248,0,248,301,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1900,COST_RESOURCE,DIAMOND,100,20
101024,缺月格,zhuting_1024,zhuting_1024,1,120,MBT_HALL,1,,,,20,,0,0,263,0,263,326,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1900,COST_RESOURCE,DIAMOND,100,20
101025,楠木榻,zhuting_1025,zhuting_1025,1,179,MBT_HALL,1,,,,20,,0,0,524,0,524,229,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,2900,COST_RESOURCE,DIAMOND,100,20
101026,群鹤图屏风,zhuting_1026,zhuting_1026,1,90,MBT_HALL,1,,,,20,,0,0,512,0,512,433,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1400,COST_RESOURCE,DIAMOND,100,20
101027,楠木几案,zhuting_1027,zhuting_1027,1,75,MBT_HALL,1,,,,20,,0,0,124,0,124,153,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,1200,COST_RESOURCE,DIAMOND,100,20
101028,粉系椅,zhuting_1028,zhuting_1028,1,0,MBT_HALL,1,,,,20,,0,0,178,0,178,234,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101029,穿越电话桌,zhuting_1029,zhuting_1029,1,0,MBT_HALL,1,,,,20,,0,0,206,0,206,336,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
101030,红皮沙发左,zhuting_1030,zhuting_1030,1,0,MBT_HALL,1,,,,20,,0,0,187,0,187,208,,,,,,,,,,,,,,,,,,,,,,,,COST_RESOURCE,MANSION_FURNITURE_COIN,0,COST_RESOURCE,DIAMOND,100,20
