id,icon,name,male,arg,need.part,need.pttid,repell
102001,ui/nielian/lianbuicon6_meimaonv,峨眉,False,meimao6/0,,,
102002,ui/nielian/lianbuicon1_meimaonv,毓秀,False,meimao1/0,,,
102003,ui/nielian/lianbuicon2_meimaonv,芳菲,False,meimao2/0,,,
102004,ui/nielian/lianbuicon3_meimaonv,忘川,False,meimao3/0,,,
102005,ui/nielian/lianbuicon4_meimaonv,晨曦,False,meimao4/0,,,
102006,ui/nielian/lianbuicon5_meimaonv,春兰,False,meimao5/0,,,
102007,ui/nielian/lianbuicon7_meimaonv,静香,False,meimao7/0,,,
102008,ui/nielian/lianbuicon8_meimaonv,江柳,False,meimao8/0,,,
102009,ui/nielian/lianbuicon9_meimaonv,月夕,False,meimao9/0,,,
202001,ui/nielian/lianbuicon6_meimaonan,无缺,True,meimao6/0,,,
202002,ui/nielian/lianbuicon1_meimaonan,万古,True,meimao1/0,,,
202003,ui/nielian/lianbuicon2_meimaonan,才思,True,meimao2/0,,,
202004,ui/nielian/lianbuicon3_meimaonan,隐世,True,meimao3/0,,,
202005,ui/nielian/lianbuicon4_meimaonan,天马,True,meimao4/0,,,
202006,ui/nielian/lianbuicon5_meimaonan,星移,True,meimao5/0,,,
202007,ui/nielian/lianbuicon7_meimaonan,长虹,True,meimao7/0,,,
202008,ui/nielian/lianbuicon8_meimaonan,空谷,True,meimao8/0,,,
202009,ui/nielian/lianbuicon9_meimaonan,铁石,True,meimao9/0,,,
202010,ui/nielian/lianbuicon10_meimaonan,卧虎,True,meimao10/0,,,
202011,ui/nielian/lianbuicon11_meimaonan,神机,True,meimao11/0,,,
202012,ui/nielian/lianbuicon12_meimaonan,咫尺,True,meimao12/0,,,
202013,ui/nielian/lianbuicon13_meimaonan,烈火,True,meimao13/0,,,
