id,pictures,pictures,desc
1,sprites/pictureXinShou/jyyd_xxxy,,星星相印
2,sprites/pictureXinShou/jyyd_xylx,,心有灵犀
3,sprites/pictureXinShou/jyyd_lfhm,,鸾凤和鸣
4,sprites/pictureXinShou/jyyd_hlxh1,sprites/pictureXinShou/jyyd_hlxh2,红鸾星魂
5,sprites/pictureXinShou/jjyd_jz,,家具引导
6,sprites/pictureXinShou/jyyd_jbyh,,宴会引导
7,sprites/pictureXinShou/jxtyd_pf1,sprites/pictureXinShou/jxtyd_pf2,锦绣台
8,sprites/pictureXinShou/fdyd_fd,,封地
9,sprites/pictureXinShou/jzyd_jzz,,家族战
10,sprites/pictureXinShou/jzyd_jz,,家族
