id,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars,chars
1,赵,钱,孙,李,周,吴,郑,王,冯,陈,褚,卫,蒋,沈,韩,杨,朱,秦,尤,许,何,吕,施,张,孔,曹,严,华,金,魏,陶,姜,戚,谢,邹,喻,居,衡,步,都,耿,满,弘,匡,国,文,寇,广,禄,阙,东,欧,殳,沃,利,蔚,越,夔,隆,师,巩,厍,聂,晁,勾,敖,融,冷,訾,辛,简,饶,空,曾,毋,沙,乜,养,鞠,须,丰,巢,关,蒯,相,查,后,荆,红,游,竺,权,逮,盍,益,桓,公,万俟,司马,上官,欧阳,夏侯,诸葛,闻人,东方,赫连,皇甫,尉迟,公羊,澹台,公冶,宗政,濮阳,淳于,单于,太叔,申屠,公孙,仲孙,轩辕,令狐,徐离,宇文,长孙,慕容,司徒,司空,公良,拓拔,有琴,梁丘,左丘,东门,西门,商牟,佘佴,伯赏,南宫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,纯,爽,琬,茗,羽,希,毓,悦,昭,冰,宁,欣,飘,育,滢,筠,柔,竹,霭,凝,晓,欢,霄,枫,芸,菲,寒,伊,馥,娴,莺,凡,佳,嘉,琼,勤,媛,艳,瑞,珍,贞,莉,桂,娣,叶,璧,璐,娅,琦,晶,妍,茜,素,珊,莎,黛,青,倩,婷,颖,露,瑶,怡,婵,君,琴,蕊,薇,雁,蓓,仪,荷,丹,眉,爱,菁,琳,岚,苑,婕,馨,瑗,琰,韵,园,艺,咏,卿,聪,澜,巧,娜,翠,姣,婉,妹,霞,静,淑,惠,珠,香,月,兰,凤,雅,芝,玉,玲,芬,芳,燕,彩,春,菊,云,莲,真,环,雪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,纯,爽,琬,茗,羽,希,毓,悦,昭,冰,宁,欣,飘,育,滢,筠,柔,竹,霭,凝,晓,欢,霄,枫,芸,菲,寒,伊,馥,娴,莺,凡,佳,嘉,琼,勤,媛,艳,瑞,珍,贞,莉,桂,娣,叶,璧,璐,娅,琦,晶,妍,茜,素,珊,莎,黛,青,倩,婷,颖,露,瑶,怡,婵,君,琴,蕊,薇,雁,蓓,仪,荷,丹,眉,爱,菁,琳,岚,苑,婕,馨,瑗,琰,韵,园,艺,咏,卿,聪,澜,巧,娜,翠,姣,婉,妹,霞,静,淑,惠,珠,香,月,兰,凤,雅,芝,玉,玲,芬,芳,燕,彩,春,菊,云,莲,真,环,雪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,赵,钱,孙,李,周,吴,郑,王,冯,陈,褚,卫,蒋,沈,韩,杨,朱,秦,尤,许,何,吕,施,张,孔,曹,严,华,金,魏,陶,姜,戚,谢,邹,喻,柏,水,窦,章,云,苏,潘,葛,奚,范,彭,郎,鲁,韦,昌,马,苗,凤,花,方,俞,任,袁,柳,酆,鲍,史,唐,费,廉,岑,薛,雷,贺,倪,汤,滕,殷,罗,毕,郝,邬,安,常,乐,于,时,傅,皮,卞,齐,康,伍,余,元,卜,顾,孟,平,黄,和,穆,萧,尹,姚,邵,湛,汪,祁,毛,禹,狄,米,贝,明,臧,计,伏,成,戴,谈,宋,茅,庞,熊,纪,舒,屈,项,祝,董,梁,杜,阮,蓝,闵,席,季,麻,强,贾,路,娄,危,江,童,颜,郭,梅,盛,林,刁,钟,徐,邱,骆,高,夏,蔡,田,樊,胡,凌,霍,虞,万,房,裘,缪,干,解,应,宗,丁,宣,贲,邓,郁,单,杭,洪,包,诸,左,石,崔,吉,钮,龚,程,嵇,邢,滑,裴,陆,荣,翁,荀,羊,于,惠,甄,曲,家,封,芮,羿,储,靳,汲,邴,糜,松,井,段,富,巫,乌,焦,巴,弓,牧,隗,山,谷,车,侯,宓,蓬,全,郗,班,仰,秋,仲,伊,宫,宁,仇,栾,暴,甘,钭,历,戎,祖,武,符,刘,景,詹,束,龙,叶,幸,司,韶,郜,黎,蓟,溥,印,宿,白,怀,蒲,邰,从,鄂,索,咸,籍,赖,卓,蔺,屠,蒙,池,乔,阳,郁,胥,能,苍,双,闻,莘,党,翟,谭,贡,劳,逄,姬,申,扶,堵,冉,宰,郦,雍,却,璩,桑,桂,濮,牛,寿,通,边,扈,燕,冀,浦,尚,农,温,别,庄,晏,柴,瞿,阎,充,慕,连,习,宦,艾,鱼,容,向,古,易,慎,戈,廖,庾,终,暨,居,衡,步,都,耿,满,弘,匡,国,文,寇,广,禄,阙,东,欧,殳,沃,利,蔚,越,夔,隆,师,巩,厍,聂,晁,勾,敖,融,冷,訾,辛,简,饶,空,曾,毋,沙,乜,养,鞠,须,丰,巢,关,蒯,相,查,后,荆,红,游,竺,权,逮,盍,益,桓,公,万俟,司马,上官,欧阳,夏侯,诸葛,闻人,东方,赫连,皇甫,尉迟,公羊,澹台,公冶,宗政,濮阳,淳于,单于,太叔,申屠,公孙,仲孙,轩辕,令狐,徐离,宇文,长孙,慕容,司徒,司空,公良,拓拔,有琴,梁丘,左丘,东门,西门,商牟,佘佴,伯赏,南宫
5,,嘉,哲,俊,博,乐,晨,宇,泽,子,凡,悦,思,奕,依,浩,泓,冰,凯,淇,淳,一,洁,清,吉,源,渊,和,函,宜,云,琪,宣,沂,健,信,欣,可,洋,荣,榕,含,佑,明,雄,梅,英,义,淑,卿,乾,亦,昊,芸,天,岚,尧,鸿,棋,孜,宸,林,乔,琦,丞,安,毅,凌,泉,坤,晴,竹,恒,渝,菁,龄,弘,佩,勋,宁,元,栋,江,卓,春,晋,逸,沅,倩,昱,绮,海,圣,承,民,智,棠,容,羚,峰,新,恩,羽,旭,维,家,泰,诗,谚,阳,彬,书,苓,汉,坚,耘,喆,国,仑,良,裕,融,致,富,德,易,虹,纲,奇,平,真,之,桦,玫,强,焘,沛,汶,锋,彦,延,庭,冠,益,劭,钧,亭,瀚,桓,东,瑾,达,群,先,洲,溢,基,森,学,文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,嘉,哲,俊,博,乐,晨,宇,泽,子,凡,悦,思,奕,依,浩,泓,冰,凯,淇,淳,一,洁,清,吉,源,渊,和,函,宜,云,琪,宣,沂,健,信,欣,可,洋,荣,榕,含,佑,明,雄,梅,英,义,淑,卿,乾,亦,昊,芸,天,岚,尧,鸿,棋,孜,宸,林,乔,琦,丞,安,毅,凌,泉,坤,晴,竹,恒,渝,菁,龄,弘,佩,勋,宁,元,栋,江,卓,春,晋,逸,沅,倩,昱,绮,海,圣,承,民,智,棠,容,羚,峰,新,恩,羽,旭,维,家,泰,诗,谚,阳,彬,书,苓,汉,坚,耘,喆,国,仑,良,裕,融,致,富,德,易,虹,纲,奇,平,真,之,桦,玫,强,焘,沛,汶,锋,彦,延,庭,冠,益,劭,钧,亭,瀚,桓,东,瑾,达,群,先,洲,溢,基,森,学,文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,柏,水,窦,章,云,苏,潘,葛,奚,范,彭,郎,鲁,韦,昌,马,苗,凤,花,方,俞,任,袁,柳,酆,鲍,史,唐,费,廉,岑,薛,雷,贺,倪,汤,滕,殷,罗,毕,郝,邬,安,常,乐,于,时,傅,皮,卞,齐,康,伍,余,元,卜,顾,孟,平,黄,和,穆,萧,尹,姚,邵,湛,汪,祁,毛,禹,狄,米,贝,明,臧,计,伏,成,戴,谈,宋,茅,庞,熊,纪,舒,屈,项,祝,董,梁,杜,阮,蓝,闵,席,季,麻,强,贾,路,娄,危,江,童,颜,郭,梅,盛,林,刁,钟,徐,邱,骆,高,夏,蔡,田,樊,胡,凌,霍,虞,万,房,裘,缪,干,解,应,宗,丁,宣,贲,邓,郁,单,杭,洪,包,诸,左,石,崔,吉,钮,龚,程,嵇,邢,滑,裴,陆,荣,翁,荀,羊,于,惠,甄,曲,家,封,芮,羿,储,靳,汲,邴,糜,松,井,段,富,巫,乌,焦,巴,弓,牧,隗,山,谷,车,侯,宓,蓬,全,郗,班,仰,秋,仲,伊,宫,宁,仇,栾,暴,甘,钭,历,戎,祖,武,符,刘,景,詹,束,龙,叶,幸,司,韶,郜,黎,蓟,溥,印,宿,白,怀,蒲,邰,从,鄂,索,咸,籍,赖,卓,蔺,屠,蒙,池,乔,阳,郁,胥,能,苍,双,闻,莘,党,翟,谭,贡,劳,逄,姬,申,扶,堵,冉,宰,郦,雍,却,璩,桑,桂,濮,牛,寿,通,边,扈,燕,冀,浦,尚,农,温,别,庄,晏,柴,瞿,阎,充,慕,连,习,宦,艾,鱼,容,向,古,易,慎,戈,廖,庾,终,暨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,纯,爽,琬,茗,羽,希,毓,悦,昭,冰,宁,欣,飘,育,滢,筠,柔,竹,霭,凝,晓,欢,霄,枫,芸,菲,寒,伊,馥,娴,莺,凡,佳,嘉,琼,勤,媛,艳,瑞,珍,贞,莉,桂,娣,叶,璧,璐,娅,琦,晶,妍,茜,素,珊,莎,黛,青,倩,婷,颖,露,瑶,怡,婵,君,琴,蕊,薇,雁,蓓,仪,荷,丹,眉,爱,菁,琳,岚,苑,婕,馨,瑗,琰,韵,园,艺,咏,卿,聪,澜,巧,娜,翠,姣,婉,妹,霞,静,淑,惠,珠,香,月,兰,凤,雅,芝,玉,玲,芬,芳,燕,彩,春,菊,云,莲,真,环,雪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,纯,爽,琬,茗,羽,希,毓,悦,昭,冰,宁,欣,飘,育,滢,筠,柔,竹,霭,凝,晓,欢,霄,枫,芸,菲,寒,伊,馥,娴,莺,凡,佳,嘉,琼,勤,媛,艳,瑞,珍,贞,莉,桂,娣,叶,璧,璐,娅,琦,晶,妍,茜,素,珊,莎,黛,青,倩,婷,颖,露,瑶,怡,婵,君,琴,蕊,薇,雁,蓓,仪,荷,丹,眉,爱,菁,琳,岚,苑,婕,馨,瑗,琰,韵,园,艺,咏,卿,聪,澜,巧,娜,翠,姣,婉,妹,霞,静,淑,惠,珠,香,月,兰,凤,雅,芝,玉,玲,芬,芳,燕,彩,春,菊,云,莲,真,环,雪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,赵,钱,孙,李,周,吴,郑,王,冯,陈,褚,卫,蒋,沈,韩,杨,朱,秦,尤,许,何,吕,施,张,孔,曹,严,华,金,魏,陶,姜,戚,谢,邹,喻,居,衡,步,都,耿,满,弘,匡,国,文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
