id,type,arg,desc,icon,title
1,OT_SHOP,100,易容商店购买,,
2,OT_SHOP,101,易容商店购买,,
3,OT_SHOP,200,服饰商店购买,,
4,OT_SHOP,201,服饰商店购买,,
5,OT_SHOP,320,商店购买,,
6,OT_SHOP,420,礼物商店购买,,
7,OT_SHOP,520,竞技场商店购买,,
8,OT_SHOP,620,家族商店购买,,
9,OT_ADVENTURE_EPISODE_NEW,,副本,,
10,OT_ADVENTURE_EPISODE,1,副本第1章,,
11,OT_ADVENTURE_EPISODE,2,副本第2章,,
12,OT_ADVENTURE_EPISODE,3,副本第3章,,
13,OT_ADVENTURE_EPISODE,4,副本第4章,,
14,OT_ADVENTURE_EPISODE,5,副本第5章,,
15,OT_ADVENTURE_EPISODE,6,副本第6章,,
16,OT_ADVENTURE_EPISODE,7,副本第7章,,
17,OT_ADVENTURE_EPISODE,8,副本第8章,,
18,OT_ADVENTURE_EPISODE,9,副本第9章,,
19,OT_ADVENTURE_EPISODE,10,副本第10章,,
20,OT_ADVENTURE_EPISODE,11,副本第11章,,
21,OT_ADVENTURE_EPISODE,12,副本第12章,,
22,OT_ADVENTURE_EPISODE,13,副本第13章,,
23,OT_ADVENTURE_EPISODE,14,副本第14章,,
24,OT_ADVENTURE_EPISODE,15,副本第15章,,
25,OT_ADVENTURE_EPISODE,16,副本第16章,,
26,OT_ADVENTURE_EPISODE,17,副本第17章,,
27,OT_ADVENTURE_EPISODE,18,副本第18章,,
28,OT_ADVENTURE_EPISODE,19,副本第19章,,
29,OT_ADVENTURE_EPISODE,20,副本第20章,,
30,OT_ADVENTURE_EPISODE,21,副本第21章,,
31,OT_ADVENTURE_EPISODE,22,副本第22章,,
32,OT_ADVENTURE_EPISODE,23,副本第23章,,
33,OT_ADVENTURE_EPISODE,24,副本第24章,,
34,OT_ADVENTURE_EPISODE,25,副本第25章,,
35,OT_ADVENTURE_EPISODE,26,副本第26章,,
36,OT_ADVENTURE_EPISODE,27,副本第27章,,
37,OT_ADVENTURE_EPISODE,27,副本第28章,,
38,OT_ADVENTURE_EPISODE,29,副本第29章,,
39,OT_ADVENTURE_EPISODE,30,副本第30章,,
40,OT_ADVENTURE_EPISODE,31,副本第31章,,
41,OT_ADVENTURE_EPISODE,32,副本第32章,,
42,OT_ADVENTURE_EPISODE,33,副本第33章,,
43,OT_ADVENTURE_EPISODE,34,副本第34章,,
44,OT_ADVENTURE_EPISODE,35,副本第35章,,
45,OT_ADVENTURE_EPISODE,36,副本第36章,,
46,OT_ADVENTURE_EPISODE,37,副本第37章,,
47,OT_ADVENTURE_EPISODE,38,副本第38章,,
48,OT_ADVENTURE_EPISODE,39,副本第39章,,
49,OT_ADVENTURE_EPISODE,40,副本第40章,,
50,OT_SHOP,720,锦绣礼券购买,,
51,OT_SHOP,820,星语商店购买,,
52,OT_SHOP,920,府邸商店购买,,
53,OT_SHOP,1020,珍宝阁购买,,
54,OT_SHOP,300,每日特惠购买,,
55,OT_SHOP,430,材料商店购买,,
56,OT_SHOP,330,花魂商店购买,,
100,OT_HUANZHUANG_COMPOSE,,尚衣署制作,,
180,OT_MANSION_BUILDING,MBT_HALL,府邸主厅,,
181,OT_MANSION_BUILDING,MBT_POND,府邸池塘,,
182,OT_MANSION_BUILDING,MBT_POND,府邸池塘-派遣伙伴,,
183,OT_MANSION_BUILDING,MBT_POND,府邸池塘-钓鱼,,
184,OT_MANSION_BUILDING,MBT_MAP,府邸地图,,
185,OT_MANSION_BUILDING,MBT_KITCHEN,府邸厨房,,
186,OT_MANSION_BUILDING,MBT_KITCHEN,府邸厨房-派遣伙伴,,
187,OT_MANSION_BUILDING,MBT_BEDROOM,府邸卧室,,
188,OT_MANSION_BUILDING,MBT_VEGETABLE_PLOT,府邸菜地,,
189,OT_FIEF,,封地,,
190,OT_FIEF,,在封地抵御外敌入侵:海贼,,
191,OT_FIEF,,在封地抵御外敌入侵:海贼,,
192,OT_FIEF,,在封地抵御外敌入侵:叛军,,
193,OT_FIEF,,在封地抵御外敌入侵:叛军,,
194,OT_FIEF,,在封地抵御外敌入侵:山贼,,
195,OT_FIEF,,在封地抵御外敌入侵:山贼,,
196,OT_FIEF,,在封地抵御外敌入侵:蛮族,,
197,OT_FIEF,,在封地抵御外敌入侵:蛮族,,
198,OT_FIEF,,击败封地盗贼可能获得,,
199,OT_FIEF_BUILDING,FBT_HOSPITAL,封地医馆,,
200,OT_FIEF_BUILDING,FBT_BAR,封地酒馆,,
201,OT_FIEF_BUILDING,FBT_COFC,封地商会,,
202,OT_FIEF_BUILDING,FBT_GUARD,封地城防,,
203,OT_FIEF_BUILDING,FBT_CLOTH,封地布庄,,
204,OT_FIEF_BUILDING,FBT_MINE,封地矿山,,
205,OT_ACHIEVEMENT,,成就,,
206,OT_ACHIEVEMENT,,完成成就获得,,
207,OT_ACTOR_DEVELOP,,角色信息,,
208,OT_EQUIPMENT,,可通过花魂-葬花获得,,
209,OT_FRIEND,,好友,,
210,OT_LEAGUE,,家族,,
211,OT_LEAGUE,,完成家族悬赏任务有可能获得,,
212,OT_LOTTERY,,招募-参加诗会有可能获得,,
213,OT_LOTTERY,,招募-参加普通诗会有可能获得,,
214,OT_LOTTERY,,招募-参加豪华诗会有可能获得,,
215,OT_MANSION_BANQUET,,参加宴会可能获得,,
216,OT_MANSION_BANQUET,,参加宴会可能获得,,
217,OT_MANSION_BANQUET,,参加宴会可能获得,,
218,OT_MANSION_BANQUET,,通过宴会活跃度兑换,,
219,OT_LIEMING,,挑战花冢可能获得,,
220,OT_ARENA,,竞技场,,
221,OT_LIEZHUAN,,列传,,
222,OT_HUANZHUANG_PVP,,锦绣台,,
223,OT_GONGDOU,,互动,,
224,OT_ITEM_PAY,POWER,弹出桂花糕购买,,
300,OT_CHAOTANG,,前往朝堂,,
301,OT_CHAOTANG,1,从九品排名,,
302,OT_CHAOTANG,2,正九品排名,,
303,OT_CHAOTANG,3,从八品排名,,
304,OT_CHAOTANG,4,正八品排名,,
305,OT_CHAOTANG,5,从七品排名,,
306,OT_CHAOTANG,6,正七品排名,,
307,OT_CHAOTANG,7,从六品排名,,
308,OT_CHAOTANG,8,正六品排名,,
309,OT_CHAOTANG,9,从五品排名,,
310,OT_CHAOTANG,10,正五品排名,,
311,OT_CHAOTANG,11,从四品排名,,
312,OT_CHAOTANG,12,正四品排名,,
313,OT_CHAOTANG,13,从三品排名,,
314,OT_CHAOTANG,14,正三品排名,,
315,OT_CHAOTANG,15,从二品排名,,
316,OT_CHAOTANG,16,正二品排名,,
317,OT_CHAOTANG,17,从一品排名,,
318,OT_CHAOTANG,18,正一品排名,,
319,OT_CHAOTANG,19,极品,,
320,OT_CHAOTANG,0,当前官品排名,,
321,OT_JINSHENG,,前往晋升,,
322,OT_JINSHENG,0,前往晋升考核,,
323,OT_ADVENTURE_EPISODE_NEW,,完成副本关卡是获得经验最主要的方式，扫荡副本更可以获得大量的经验，想提高等级，一定记得来扫荡喔。,icon/xitong/minpai_6,副本扫荡
