id,options_array,options_array,options_array,options_array,options_array,options_array
1,401002,401003,,,,
2,401005,401006,401007,,,
3,403002,403003,,,,
4,404002,404003,,,,
5,404005,404006,,,,
6,404009,404012,,,,
7,404010,404011,404013,404014,,
8,406002,406003,,,,
9,408003,408004,,,,
10,411004,411007,411010,,,
11,411005,411006,411008,411009,411011,411012
12,421004,421005,,,,
13,423004,423005,,,,
14,424003,424004,,,,
15,426006,426007,,,,
16,428002,428003,,,,
17,430004,430005,430006,,,
18,501002,501003,,,,
19,501005,501006,501007,,,
20,503002,503003,,,,
21,504002,504003,,,,
22,504005,504006,,,,
23,504009,504012,,,,
24,504010,504011,504013,504014,,
25,506002,506003,,,,
26,508002,508003,,,,
27,511004,511007,511010,,,
28,511005,511006,511008,511009,511011,511012
29,521004,521005,,,,
30,523004,523005,,,,
31,524003,524004,,,,
32,526006,526007,,,,
33,528002,528003,,,,
34,530004,530005,530006,,,
35,803002,803003,,,,
36,808004,808005,,,,
37,819003,819004,,,,
38,819006,819007,,,,
39,903002,903003,,,,
40,908004,908005,,,,
41,919003,919004,,,,
42,919006,919007,,,,
43,4000102,4000103,,,,
44,4000202,4000203,,,,
45,4000302,4000303,,,,
46,4001102,4001103,,,,
47,4001302,4001303,,,,
48,4001402,4001403,,,,
49,4001502,4001503,,,,
50,4002402,4002403,,,,
51,4002502,4002503,,,,
52,4003302,4003303,,,,
53,4003602,4003603,,,,
54,4004102,4004103,,,,
55,4004202,4004203,,,,
56,4004302,4004303,,,,
57,4004402,4004403,,,,
58,4004502,4004503,,,,
59,4004602,4004603,,,,
60,4007102,4007105,,,,
61,4007103,4007104,4007106,4007107,,
62,4007202,4007203,,,,
63,4007302,4007303,,,,
64,4007402,4007403,,,,
65,4007502,4007503,,,,
66,4007602,4007603,,,,
67,4008102,4008103,,,,
68,4008202,4008203,,,,
69,4008302,4008303,,,,
70,4008402,4008403,,,,
71,4008502,4008503,,,,
72,4008602,4008603,,,,
73,4009602,4009603,,,,
74,4010102,4010104,,,,
75,4010103,4010105,,,,
76,4010502,4010503,,,,
77,4011102,4011103,,,,
78,4011202,4011203,,,,
79,4012102,4012103,,,,
80,4013102,4013103,,,,
81,4013202,4013203,,,,
82,5000102,5000103,,,,
83,5000202,5000203,,,,
84,5000302,5000303,,,,
85,5001102,5001103,,,,
86,5001302,5001303,,,,
87,5001402,5001403,,,,
88,5001502,5001503,,,,
89,5002402,5002403,,,,
90,5002502,5002503,,,,
91,5003302,5003303,,,,
92,5003602,5003603,,,,
93,5004102,5004103,,,,
94,5004202,5004203,,,,
95,5004302,5004303,,,,
96,5004402,5004403,,,,
97,5004502,5004503,,,,
98,5004602,5004603,,,,
99,5007102,5007105,,,,
100,5007103,5007104,5007106,5007107,,
101,5007202,5007203,,,,
102,5007302,5007303,,,,
103,5007402,5007403,,,,
104,5007502,5007503,,,,
105,5007602,5007603,,,,
106,5008102,5008103,,,,
107,5008202,5008203,,,,
108,5008302,5008303,,,,
109,5008402,5008403,,,,
110,5008502,5008503,,,,
111,5008602,5008603,,,,
112,5009602,5009603,,,,
113,5010102,5010104,,,,
114,5010103,5010105,,,,
115,5010502,5010503,,,,
116,5011102,5011103,,,,
117,5011202,5011203,,,,
118,5012102,5012103,,,,
119,5013102,5013103,,,,
120,5013202,5013203,,,,
