id,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg,options.content,options.plot_pttid,options.conditions.conditions.type,options.conditions.conditions.arg,options.conditions.conditions.arg,options.events.events.type,options.events.events.arg,options.events.events.arg,options.fief_events.events.type,options.fief_events.events.arg,options.fief_events.events.arg,options.battle.pttid,options.battle.origin,options.battle.win_events.events.type,options.battle.win_events.events.arg,options.battle.win_events.events.arg,options.battle.win_plot,options.battle.lose_events.events.type,options.battle.lose_events.events.arg,options.battle.lose_events.events.arg,options.battle.lose_plot,options.appearance.sprite,options.appearance.spine,options.appearance.position.x,options.appearance.position.y,options.plot_events.events.type,options.plot_events.events.arg,options.unlock_conditions.conditions.type,options.unlock_conditions.conditions.arg,options.unlock_conditions.conditions.arg
10100,激烈反抗,601101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,等待机会,601102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,让白芷紫烟先走！,601601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仇还没有报，我不能死，先救我出去！,601602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,强硬,602101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,以退为进,602102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201,内心激荡不已，狠狠地瞪着他,602501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,强忍住内心的仇恨，扭头不看他,602502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10400,法师是个骗子,604501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是母亲请我去的,604502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,左边,605201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,右边,605202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510,上树寻路,605203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先过河看看,605204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10520,进山洞避雨,605205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,顶着雨前进,605206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,不认识,608601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好像见过,608602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11800,去矿洞里躲避,618501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四处搜寻,618502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
