id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.auto,actions.time,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
20110,,60001100,70001100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20210,,60002100,70002100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20310,,60003100,70003100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20410,,60004100,70004100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20510,,60005100,70005100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
20610,,60006100,70006100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
60001100,,,,BACKGROUND,sprites/zhuchengqipao,,MUSIC,music/chenzhong1,,,ACTOR_ANIMATION,308,left_appear,,,,,,,,,NAME,阿紫,SUBTITLE,听说了没有，昨天叱云南将军回平城了。,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,309,right_appear,,,,,,,,,NAME,欧阳岚,SUBTITLE,这次诛杀北凉叛贼，叱云将军功不可没，真是大快人心！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAME,阿紫,SUBTITLE,听说那河西王府没留一个活口，啧啧啧。,,,,,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,308,left_disappear,,ACTOR_ANIMATION,309,right_disappear,,,,,NAME,我,SUBTITLE,在他们看来我北凉就是十恶不赦的叛贼吗？我一定要为北凉平冤昭雪！,,,,,,,,,,,,,,,,,True
60002100,,,,BACKGROUND,sprites/zhuchengqipao,,MUSIC,music/xuanyi1,,,ACTOR_ANIMATION,307,left_appear,,,,,,,,,NAME,于音,SUBTITLE,哎！从刚刚进尚书府的马车上下来的不是南平王和南安王吗？,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,306,right_appear,,,,,,,,,NAME,洛水荷,SUBTITLE,什么？真遗憾，我都没瞧见！,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,309,middle_appear,,ACTOR_ANIMATION,307,left_disappear,,ACTOR_ANIMATION,306,right_disappear,,,,,NAME,欧阳岚,SUBTITLE,李尚书他大儿子李敏峰据说讨伐北凉有功，这下怕是要飞黄腾达了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
60003100,,,,BACKGROUND,sprites/zhuchengqipao,,MUSIC,music/tuili,,,ACTOR_ANIMATION,306,left_appear,,,,,,,,,NAME,洛水荷,SUBTITLE,啧啧啧，好端端一个花灯节，居然闹鬼了。,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,228,right_appear,,,,,,,,,NAME,明叔,SUBTITLE,我早看那个李敏峰不像个好人！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
60004100,,,,BACKGROUND,sprites/zhuchengqipao,,MUSIC,music/jinzhang5,,,ACTOR_ANIMATION,302,left_appear,,,,,,,,,NAME,白法师,SUBTITLE,可不得了，那尚书府最近真是祸事连连。,,,,,,,,,,,,,,,,,ACTOR_ANIMATION,226,right_appear,,,,,,,,,NAME,张安寿,SUBTITLE,又发生什么大事了？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAME,白法师,SUBTITLE,我今天看到李家的老二被押进天牢了，还不知道具体缘由呢。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
