id,name,female_plot,male_plot,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.actions.type,actions.actions.arg,actions.actions.arg,actions.actions.arg,actions.auto,actions.time,next_plot,events.events.type,events.events.arg,events.events.arg,fief_events.events.type,fief_events.events.arg,fief_events.events.arg,lock_option
310101,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,frown,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,去去去，别随便靠过来，我们没这么熟。,soundeffects/liminde_hanxuan1,,,,,,,,,,,
310102,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,sad,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,外面刚下雨了，你没淋湿吧？,soundeffects/liminde_hanxuan2,,,,,,,,,,,
310103,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,你要是有什么心事，和我说，我会帮你保守秘密的。,soundeffects/liminde_hanxuan3,,,,,,,,,,,
310104,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,frown,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,这……太贵重了吧。你等着，我一定找更好的礼物送给你。,soundeffects/liminde_xieli1,,,,,,,,,,,
310105,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,你和别人比起来，确实不太一样。,soundeffects/liminde_xieli2,,,,,,,,,,,
310106,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,不能拿回去吗？那、那我姑且帮你保存着吧。,soundeffects/liminde_xieli3,,,,,,,,,,,
310107,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,干什么啊？兄弟姐妹也没你这样的……,soundeffects/liminde_tiaoxi1,,,,,,,,,,,
310108,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,frown,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,专心习武的时候，切勿打扰。,soundeffects/liminde_tiaoxi3,,,,,,,,,,,
310109,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,smile,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,大丈夫顶天立地，绝不低头……你、你还不快把手放下来。,soundeffects/liminde_tiaoxi2,,,,,,,,,,,
310110,,,,BACKGROUND,sprites/juqing_huayuan1,,,MUSIC,music/richang1,open,,ACTOR_SPINE_ANIMATION,101,shy,,LIGHT_ACTOR,101,,,NAME,李敏德,,,SUBTITLE,现在外面正下着雨，你要不要呆一会再走。,soundeffects/liminde_hanxuan4,,,,,,,,,,,
